date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PADBURY,diesel,88.9,88.9,88.9,88.9,2
2002-01-02,PADBURY,diesel,88.9,88.9,88.9,88.9,2
2002-01-03,PADBURY,diesel,87.9,88.4,88.9,87.9,2
2002-01-04,PADBURY,diesel,87.9,88.4,88.9,87.9,2
2002-01-05,PADBURY,diesel,87.9,88.4,88.9,87.9,2
2002-01-06,PADBURY,diesel,87.9,88.4,88.9,87.9,2
2002-01-07,PADBURY,diesel,87.9,88.4,88.9,87.9,2
2002-01-08,PADBURY,diesel,87.9,88.4,88.9,87.9,2
2002-01-09,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-10,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-11,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-12,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-13,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-14,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-15,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-16,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-17,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-18,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-19,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-20,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-21,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-22,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-23,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-24,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-25,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-26,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-27,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-28,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-29,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-30,PADBURY,diesel,86.9,87.4,87.9,86.9,2
2002-01-31,PADBURY,diesel,86.9,86.9,86.9,86.9,2
2002-02-01,PADBURY,diesel,86.9,86.9,86.9,86.9,2
2002-02-02,PADBURY,diesel,86.9,86.9,86.9,86.9,2
2002-02-03,PADBURY,diesel,86.9,86.9,86.9,86.9,2
2002-02-04,PADBURY,diesel,86.9,86.9,86.9,86.9,2
2002-02-05,PADBURY,diesel,83.9,85.4,86.9,83.9,2
2002-02-06,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-07,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-08,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-09,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-10,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-11,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-12,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-13,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-14,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-15,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-16,PADBURY,diesel,83.9,83.9,83.9,83.9,2
2002-02-17,PADBURY,diesel,83.9,83.9,83.9,83.9,2
