date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PADBURY,premium_95,87.9,87.9,87.9,87.9,1
2002-01-02,PADBURY,premium_95,86.5,86.5,86.5,86.5,1
2002-01-03,PADBURY,premium_95,84.9,84.9,84.9,84.9,1
2002-01-04,PADBURY,premium_95,82.9,82.9,82.9,82.9,1
2002-01-05,PADBURY,premium_95,82.5,82.5,82.5,82.5,1
2002-01-06,PADBURY,premium_95,82.5,82.5,82.5,82.5,1
2002-01-07,PADBURY,premium_95,82.3,82.3,82.3,82.3,1
2002-01-08,PADBURY,premium_95,81.2,81.2,81.2,81.2,1
2002-01-09,PADBURY,premium_95,91.9,91.9,91.9,91.9,1
2002-01-10,PADBURY,premium_95,90.9,90.9,90.9,90.9,1
2002-01-11,PADBURY,premium_95,89.7,89.7,89.7,89.7,1
2002-01-12,PADBURY,premium_95,88.2,88.2,88.2,88.2,1
2002-01-13,PADBURY,premium_95,86.5,86.5,86.5,86.5,1
2002-01-14,PADBURY,premium_95,85.4,85.4,85.4,85.4,1
2002-01-15,PADBURY,premium_95,84.5,84.5,84.5,84.5,1
2002-01-16,PADBURY,premium_95,83.4,83.4,83.4,83.4,1
2002-01-17,PADBURY,premium_95,89.9,89.9,89.9,89.9,1
2002-01-18,PADBURY,premium_95,87.9,87.9,87.9,87.9,1
2002-01-19,PADBURY,premium_95,86.9,86.9,86.9,86.9,1
2002-01-20,PADBURY,premium_95,85.7,85.7,85.7,85.7,1
2002-01-21,PADBURY,premium_95,84.5,84.5,84.5,84.5,1
2002-01-22,PADBURY,premium_95,83.5,83.5,83.5,83.5,1
2002-01-23,PADBURY,premium_95,82.9,82.9,82.9,82.9,1
2002-01-24,PADBURY,premium_95,81.9,81.9,81.9,81.9,1
2002-01-25,PADBURY,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,PADBURY,premium_95,87.8,87.8,87.8,87.8,1
2002-01-27,PADBURY,premium_95,86.3,86.3,86.3,86.3,1
2002-01-28,PADBURY,premium_95,85.2,85.2,85.2,85.2,1
2002-01-29,PADBURY,premium_95,83.9,83.9,83.9,83.9,1
2002-01-30,PADBURY,premium_95,82.9,82.9,82.9,82.9,1
2002-01-31,PADBURY,premium_95,81.9,81.9,81.9,81.9,1
2002-02-01,PADBURY,premium_95,86.5,86.5,86.5,86.5,1
2002-02-02,PADBURY,premium_95,85.9,85.9,85.9,85.9,1
2002-02-03,PADBURY,premium_95,84.5,84.5,84.5,84.5,1
2002-02-04,PADBURY,premium_95,83.5,83.5,83.5,83.5,1
2002-02-05,PADBURY,premium_95,83.2,83.2,83.2,83.2,1
2002-02-06,PADBURY,premium_95,82.9,82.9,82.9,82.9,1
2002-02-07,PADBURY,premium_95,81.9,81.9,81.9,81.9,1
2002-02-08,PADBURY,premium_95,81.7,81.7,81.7,81.7,1
2002-02-09,PADBURY,premium_95,81.7,81.7,81.7,81.7,1
2002-02-10,PADBURY,premium_95,81.7,81.7,81.7,81.7,1
2002-02-11,PADBURY,premium_95,81.7,81.7,81.7,81.7,1
2002-02-12,PADBURY,premium_95,92.9,92.9,92.9,92.9,1
2002-02-13,PADBURY,premium_95,90.9,90.9,90.9,90.9,1
2002-02-14,PADBURY,premium_95,89.3,89.3,89.3,89.3,1
2002-02-15,PADBURY,premium_95,88.4,88.4,88.4,88.4,1
2002-02-16,PADBURY,premium_95,86.9,86.9,86.9,86.9,1
2002-02-17,PADBURY,premium_95,85.9,85.9,85.9,85.9,1
2002-02-18,PADBURY,premium_95,85.9,85.9,85.9,85.9,1
2002-02-19,PADBURY,premium_95,85.9,85.9,85.9,85.9,1
2002-02-20,PADBURY,premium_95,95.9,95.9,95.9,95.9,1
2002-02-21,PADBURY,premium_95,92.9,92.9,92.9,92.9,1
2002-02-22,PADBURY,premium_95,91.5,91.5,91.5,91.5,1
2002-02-23,PADBURY,premium_95,88.9,88.9,88.9,88.9,1
2002-02-24,PADBURY,premium_95,87.5,87.5,87.5,87.5,1
2002-02-25,PADBURY,premium_95,86.5,86.5,86.5,86.5,1
2002-02-26,PADBURY,premium_95,85.5,85.5,85.5,85.5,1
2002-02-27,PADBURY,premium_95,84.3,84.3,84.3,84.3,1
2002-02-28,PADBURY,premium_95,84.3,84.3,84.3,84.3,1
2003-01-01,PADBURY,premium_95,98.9,98.9,98.9,98.9,1
2003-01-02,PADBURY,premium_95,97.5,97.5,97.5,97.5,1
2003-01-03,PADBURY,premium_95,96.5,96.5,96.5,96.5,1
2003-01-04,PADBURY,premium_95,95.9,95.9,95.9,95.9,1
2003-01-05,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-06,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-07,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-08,PADBURY,premium_95,95.5,95.5,95.5,95.5,1
2003-01-09,PADBURY,premium_95,103.9,103.9,103.9,103.9,1
2003-01-10,PADBURY,premium_95,102.9,102.9,102.9,102.9,1
2003-01-11,PADBURY,premium_95,101.5,101.5,101.5,101.5,1
2003-01-12,PADBURY,premium_95,100.5,100.5,100.5,100.5,1
2003-01-13,PADBURY,premium_95,98.9,98.9,98.9,98.9,1
2003-01-14,PADBURY,premium_95,96.5,96.5,96.5,96.5,1
2003-01-15,PADBURY,premium_95,96.5,96.5,96.5,96.5,1
2003-01-16,PADBURY,premium_95,96.5,96.5,96.5,96.5,1
2003-01-17,PADBURY,premium_95,96.5,96.5,96.5,96.5,1
2003-01-18,PADBURY,premium_95,95.5,95.5,95.5,95.5,1
2003-01-19,PADBURY,premium_95,103.9,103.9,103.9,103.9,1
2003-01-20,PADBURY,premium_95,101.4,101.4,101.4,101.4,1
2003-01-21,PADBURY,premium_95,101.4,101.4,101.4,101.4,1
2003-01-22,PADBURY,premium_95,100.5,100.5,100.5,100.5,1
2003-01-23,PADBURY,premium_95,98.9,98.9,98.9,98.9,1
2003-01-24,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-25,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-26,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-27,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-28,PADBURY,premium_95,96.9,96.9,96.9,96.9,1
2003-01-29,PADBURY,premium_95,96.5,96.5,96.5,96.5,1
2003-01-30,PADBURY,premium_95,104.9,104.9,104.9,104.9,1
2003-01-31,PADBURY,premium_95,103.9,103.9,103.9,103.9,1
2003-02-01,PADBURY,premium_95,101.3,101.3,101.3,101.3,1
2003-02-02,PADBURY,premium_95,99.5,99.5,99.5,99.5,1
2003-02-03,PADBURY,premium_95,99.5,99.5,99.5,99.5,1
2003-02-04,PADBURY,premium_95,100.5,100.5,100.5,100.5,1
2003-02-05,PADBURY,premium_95,100.9,100.9,100.9,100.9,1
2003-02-06,PADBURY,premium_95,99.9,99.9,99.9,99.9,1
2003-02-07,PADBURY,premium_95,99.9,99.9,99.9,99.9,1
2003-02-08,PADBURY,premium_95,104.9,104.9,104.9,104.9,1
2003-02-09,PADBURY,premium_95,101.5,101.5,101.5,101.5,1
2003-02-10,PADBURY,premium_95,101.5,101.5,101.5,101.5,1
2003-02-11,PADBURY,premium_95,101.5,101.5,101.5,101.5,1
2003-02-12,PADBURY,premium_95,101.5,101.5,101.5,101.5,1
2003-02-13,PADBURY,premium_95,108.9,108.9,108.9,108.9,1
2003-02-14,PADBURY,premium_95,103.5,103.5,103.5,103.5,1
2003-02-15,PADBURY,premium_95,108.9,108.9,108.9,108.9,1
2003-02-16,PADBURY,premium_95,107.9,107.9,107.9,107.9,1
2003-02-17,PADBURY,premium_95,106.9,106.9,106.9,106.9,1
2003-02-18,PADBURY,premium_95,104.9,104.9,104.9,104.9,1
2003-02-19,PADBURY,premium_95,105.5,105.5,105.5,105.5,1
