date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2005-01-01,PEARSALL,diesel,103.8,103.8,103.8,103.8,1
2005-01-02,PEARSALL,diesel,103.8,103.8,103.8,103.8,1
2005-01-03,PEARSALL,diesel,103.8,103.8,103.8,103.8,1
2005-01-04,PEARSALL,diesel,103.8,103.8,103.8,103.8,1
2005-01-05,PEARSALL,diesel,103.8,103.8,103.8,103.8,1
2005-01-06,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-01-07,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-01-08,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-09,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-10,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-11,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-12,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-13,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-14,PEARSALL,diesel,101.7,101.7,101.7,101.7,1
2005-01-15,PEARSALL,diesel,101.7,101.7,101.7,101.7,1
2005-01-16,PEARSALL,diesel,101.7,101.7,101.7,101.7,1
2005-01-17,PEARSALL,diesel,101.7,101.7,101.7,101.7,1
2005-01-18,PEARSALL,diesel,101.7,101.7,101.7,101.7,1
2005-01-19,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-20,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-21,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-22,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-23,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-24,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-25,PEARSALL,diesel,100.9,100.9,100.9,100.9,1
2005-01-26,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-27,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-28,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-29,PEARSALL,diesel,101.9,101.9,101.9,101.9,1
2005-01-30,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-01-31,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-01,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-02,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-03,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-04,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-05,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-06,PEARSALL,diesel,104.5,104.5,104.5,104.5,1
2005-02-07,PEARSALL,diesel,104.5,104.5,104.5,104.5,1
2005-02-08,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-09,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-10,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-11,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-12,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-13,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-14,PEARSALL,diesel,103.5,103.5,103.5,103.5,1
2005-02-15,PEARSALL,diesel,103.5,103.5,103.5,103.5,1
2005-02-16,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-17,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-18,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-19,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-20,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-21,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-22,PEARSALL,diesel,102.9,102.9,102.9,102.9,1
2005-02-23,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-24,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-25,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-26,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-27,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2005-02-28,PEARSALL,diesel,103.9,103.9,103.9,103.9,1
2006-01-01,PEARSALL,diesel,123.9,123.9,123.9,123.9,1
2006-01-02,PEARSALL,diesel,123.9,123.9,123.9,123.9,1
2006-01-03,PEARSALL,diesel,124.9,124.9,124.9,124.9,1
2006-01-04,PEARSALL,diesel,124.9,124.9,124.9,124.9,1
2006-01-05,PEARSALL,diesel,124.9,124.9,124.9,124.9,1
2006-01-06,PEARSALL,diesel,124.9,124.9,124.9,124.9,1
2006-01-07,PEARSALL,diesel,127.9,127.9,127.9,127.9,1
2006-01-08,PEARSALL,diesel,127.9,127.9,127.9,127.9,1
2006-01-09,PEARSALL,diesel,124.9,124.9,124.9,124.9,1
2006-01-10,PEARSALL,diesel,124.9,124.9,124.9,124.9,1
2006-01-11,PEARSALL,diesel,125.9,125.9,125.9,125.9,1
2006-01-12,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-13,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-14,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-15,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-16,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-17,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-18,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-19,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-20,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-21,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-22,PEARSALL,diesel,128.9,128.9,128.9,128.9,1
2006-01-23,PEARSALL,diesel,126.9,126.9,126.9,126.9,1
2006-01-24,PEARSALL,diesel,128.9,128.9,128.9,128.9,1
2006-01-25,PEARSALL,diesel,128.9,128.9,128.9,128.9,1
2006-01-26,PEARSALL,diesel,128.9,128.9,128.9,128.9,1
