date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2005-01-01,PEARSALL,lpg,47.9,47.9,47.9,47.9,1
2005-01-02,PEARSALL,lpg,46.9,46.9,46.9,46.9,1
2005-01-03,PEARSALL,lpg,45.5,45.5,45.5,45.5,1
2005-01-04,PEARSALL,lpg,44.5,44.5,44.5,44.5,1
2005-01-05,PEARSALL,lpg,44.5,44.5,44.5,44.5,1
2005-01-06,PEARSALL,lpg,43.5,43.5,43.5,43.5,1
2005-01-07,PEARSALL,lpg,42.9,42.9,42.9,42.9,1
2005-01-08,PEARSALL,lpg,42.5,42.5,42.5,42.5,1
2005-01-09,PEARSALL,lpg,41.9,41.9,41.9,41.9,1
2005-01-10,PEARSALL,lpg,41.9,41.9,41.9,41.9,1
2005-01-11,PEARSALL,lpg,47.9,47.9,47.9,47.9,1
2005-01-12,PEARSALL,lpg,47.5,47.5,47.5,47.5,1
2005-01-13,PEARSALL,lpg,45.5,45.5,45.5,45.5,1
2005-01-14,PEARSALL,lpg,45.5,45.5,45.5,45.5,1
2005-01-15,PEARSALL,lpg,43.5,43.5,43.5,43.5,1
2005-01-16,PEARSALL,lpg,41.5,41.5,41.5,41.5,1
2005-01-17,PEARSALL,lpg,41.5,41.5,41.5,41.5,1
2005-01-18,PEARSALL,lpg,40.9,40.9,40.9,40.9,1
2005-01-19,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-01-20,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-01-21,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-01-22,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-01-23,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-01-24,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-01-25,PEARSALL,lpg,48.3,48.3,48.3,48.3,1
2005-01-26,PEARSALL,lpg,48.3,48.3,48.3,48.3,1
2005-01-27,PEARSALL,lpg,47.5,47.5,47.5,47.5,1
2005-01-28,PEARSALL,lpg,45.9,45.9,45.9,45.9,1
2005-01-29,PEARSALL,lpg,44.9,44.9,44.9,44.9,1
2005-01-30,PEARSALL,lpg,43.5,43.5,43.5,43.5,1
2005-01-31,PEARSALL,lpg,42.9,42.9,42.9,42.9,1
2005-02-01,PEARSALL,lpg,41.9,41.9,41.9,41.9,1
2005-02-02,PEARSALL,lpg,40.9,40.9,40.9,40.9,1
2005-02-03,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-04,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-05,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-06,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-07,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-08,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-09,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-10,PEARSALL,lpg,39.9,39.9,39.9,39.9,1
2005-02-11,PEARSALL,lpg,48.2,48.2,48.2,48.2,1
2005-02-12,PEARSALL,lpg,46.9,46.9,46.9,46.9,1
2005-02-13,PEARSALL,lpg,46.5,46.5,46.5,46.5,1
2005-02-14,PEARSALL,lpg,44.9,44.9,44.9,44.9,1
2005-02-15,PEARSALL,lpg,44.9,44.9,44.9,44.9,1
2005-02-16,PEARSALL,lpg,43.5,43.5,43.5,43.5,1
2005-02-17,PEARSALL,lpg,43.5,43.5,43.5,43.5,1
2005-02-18,PEARSALL,lpg,41.5,41.5,41.5,41.5,1
2005-02-19,PEARSALL,lpg,39.5,39.5,39.5,39.5,1
2005-02-20,PEARSALL,lpg,39.5,39.5,39.5,39.5,1
2005-02-21,PEARSALL,lpg,38.5,38.5,38.5,38.5,1
2005-02-22,PEARSALL,lpg,38.5,38.5,38.5,38.5,1
2005-02-23,PEARSALL,lpg,38.5,38.5,38.5,38.5,1
2005-02-24,PEARSALL,lpg,38.5,38.5,38.5,38.5,1
2005-02-25,PEARSALL,lpg,48.5,48.5,48.5,48.5,1
2005-02-26,PEARSALL,lpg,48.5,48.5,48.5,48.5,1
2005-02-27,PEARSALL,lpg,46.5,46.5,46.5,46.5,1
2005-02-28,PEARSALL,lpg,44.9,44.9,44.9,44.9,1
2006-01-01,PEARSALL,lpg,53.9,53.9,53.9,53.9,1
2006-01-02,PEARSALL,lpg,53.9,53.9,53.9,53.9,1
2006-01-03,PEARSALL,lpg,53.5,53.5,53.5,53.5,1
2006-01-04,PEARSALL,lpg,52.9,52.9,52.9,52.9,1
2006-01-05,PEARSALL,lpg,52.9,52.9,52.9,52.9,1
2006-01-06,PEARSALL,lpg,59.5,59.5,59.5,59.5,1
2006-01-07,PEARSALL,lpg,57.9,57.9,57.9,57.9,1
2006-01-08,PEARSALL,lpg,57.9,57.9,57.9,57.9,1
2006-01-09,PEARSALL,lpg,57.5,57.5,57.5,57.5,1
2006-01-10,PEARSALL,lpg,57.5,57.5,57.5,57.5,1
2006-01-11,PEARSALL,lpg,57.5,57.5,57.5,57.5,1
2006-01-12,PEARSALL,lpg,56.9,56.9,56.9,56.9,1
2006-01-13,PEARSALL,lpg,56.5,56.5,56.5,56.5,1
2006-01-14,PEARSALL,lpg,55.9,55.9,55.9,55.9,1
2006-01-15,PEARSALL,lpg,55.9,55.9,55.9,55.9,1
2006-01-16,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-17,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-18,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-19,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-20,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-21,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-22,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-23,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-24,PEARSALL,lpg,55.5,55.5,55.5,55.5,1
2006-01-25,PEARSALL,lpg,62.5,62.5,62.5,62.5,1
2006-01-26,PEARSALL,lpg,62.5,62.5,62.5,62.5,1
2006-01-27,PEARSALL,lpg,61.5,61.5,61.5,61.5,1
2006-01-28,PEARSALL,lpg,61.5,61.5,61.5,61.5,1
2006-01-29,PEARSALL,lpg,60.5,60.5,60.5,60.5,1
2006-01-30,PEARSALL,lpg,60.5,60.5,60.5,60.5,1
2006-01-31,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-01,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-02,PEARSALL,lpg,59.5,59.5,59.5,59.5,1
2006-02-03,PEARSALL,lpg,58.5,58.5,58.5,58.5,1
2006-02-04,PEARSALL,lpg,58.5,58.5,58.5,58.5,1
2006-02-05,PEARSALL,lpg,58.5,58.5,58.5,58.5,1
2006-02-06,PEARSALL,lpg,58.5,58.5,58.5,58.5,1
2006-02-07,PEARSALL,lpg,65.5,65.5,65.5,65.5,1
2006-02-08,PEARSALL,lpg,65.5,65.5,65.5,65.5,1
2006-02-09,PEARSALL,lpg,64.9,64.9,64.9,64.9,1
2006-02-10,PEARSALL,lpg,64.9,64.9,64.9,64.9,1
2006-02-11,PEARSALL,lpg,63.9,63.9,63.9,63.9,1
2006-02-12,PEARSALL,lpg,63.5,63.5,63.5,63.5,1
2006-02-13,PEARSALL,lpg,62.9,62.9,62.9,62.9,1
2006-02-14,PEARSALL,lpg,62.5,62.5,62.5,62.5,1
2006-02-15,PEARSALL,lpg,61.9,61.9,61.9,61.9,1
2006-02-16,PEARSALL,lpg,61.5,61.5,61.5,61.5,1
2006-02-17,PEARSALL,lpg,60.9,60.9,60.9,60.9,1
2006-02-18,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-19,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-20,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-21,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-22,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-23,PEARSALL,lpg,59.9,59.9,59.9,59.9,1
2006-02-24,PEARSALL,lpg,65.9,65.9,65.9,65.9,1
2006-02-25,PEARSALL,lpg,64.9,64.9,64.9,64.9,1
2006-02-26,PEARSALL,lpg,64.5,64.5,64.5,64.5,1
2006-02-27,PEARSALL,lpg,64.5,64.5,64.5,64.5,1
2006-02-28,PEARSALL,lpg,62.9,62.9,62.9,62.9,1
2007-01-01,PEARSALL,lpg,49.9,49.9,49.9,49.9,1
2007-01-02,PEARSALL,lpg,49.5,49.5,49.5,49.5,1
2007-01-03,PEARSALL,lpg,49.5,49.5,49.5,49.5,1
2007-01-04,PEARSALL,lpg,54.9,54.9,54.9,54.9,1
2007-01-05,PEARSALL,lpg,54.9,54.9,54.9,54.9,1
2007-01-06,PEARSALL,lpg,54.9,54.9,54.9,54.9,1
2007-01-07,PEARSALL,lpg,53.9,53.9,53.9,53.9,1
2007-01-08,PEARSALL,lpg,53.9,53.9,53.9,53.9,1
2007-01-09,PEARSALL,lpg,52.9,52.9,52.9,52.9,1
2007-01-10,PEARSALL,lpg,52.9,52.9,52.9,52.9,1
2007-01-11,PEARSALL,lpg,51.5,51.5,51.5,51.5,1
2007-01-12,PEARSALL,lpg,51.5,51.5,51.5,51.5,1
2007-01-13,PEARSALL,lpg,50.9,50.9,50.9,50.9,1
2007-01-14,PEARSALL,lpg,50.9,50.9,50.9,50.9,1
2007-01-15,PEARSALL,lpg,50.9,50.9,50.9,50.9,1
2007-01-16,PEARSALL,lpg,50.9,50.9,50.9,50.9,1
