date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PERTH,premium_95,86.7,88.2,88.9,86.7,5
2002-01-02,PERTH,premium_95,85.9,87.1,88.9,85.9,5
2002-01-03,PERTH,premium_95,84.7,86.0,88.9,84.7,5
2002-01-04,PERTH,premium_95,83.9,85.3,88.9,83.9,5
2002-01-05,PERTH,premium_95,82.7,84.3,88.9,82.7,5
2002-01-06,PERTH,premium_95,82.7,84.3,88.9,82.7,5
2002-01-07,PERTH,premium_95,82.3,84.1,88.9,82.3,5
2002-01-08,PERTH,premium_95,84.7,90.5,92.9,84.7,5
2002-01-09,PERTH,premium_95,84.7,90.7,92.4,84.7,5
2002-01-10,PERTH,premium_95,84.7,89.8,91.5,84.7,5
2002-01-11,PERTH,premium_95,87.9,89.4,90.9,87.9,5
2002-01-12,PERTH,premium_95,86.5,87.7,88.5,86.5,5
2002-01-13,PERTH,premium_95,85.7,87.0,88.5,85.7,5
2002-01-14,PERTH,premium_95,84.3,86.0,88.5,84.3,5
2002-01-15,PERTH,premium_95,82.8,84.9,88.5,82.8,5
2002-01-16,PERTH,premium_95,82.8,84.2,88.5,82.8,5
2002-01-17,PERTH,premium_95,82.8,89.0,90.6,82.8,5
2002-01-18,PERTH,premium_95,86.9,88.3,89.5,86.9,5
2002-01-19,PERTH,premium_95,85.3,86.7,87.7,85.3,5
2002-01-20,PERTH,premium_95,84.9,86.6,87.7,84.9,5
2002-01-21,PERTH,premium_95,83.7,85.2,86.5,83.7,5
2002-01-22,PERTH,premium_95,82.7,83.2,84.5,82.7,5
2002-01-23,PERTH,premium_95,81.9,82.7,84.5,81.9,5
2002-01-24,PERTH,premium_95,81.8,87.8,90.9,81.8,5
2002-01-25,PERTH,premium_95,82.4,88.1,89.9,82.4,5
2002-01-26,PERTH,premium_95,85.9,87.5,88.5,85.9,5
2002-01-27,PERTH,premium_95,84.7,86.1,86.9,84.7,5
2002-01-28,PERTH,premium_95,82.7,84.5,86.5,82.7,5
2002-01-29,PERTH,premium_95,83.3,85.2,87.7,83.3,5
2002-01-30,PERTH,premium_95,82.2,83.3,86.5,82.2,5
2002-01-31,PERTH,premium_95,80.8,82.5,86.5,80.8,5
2002-02-01,PERTH,premium_95,82.7,89.0,91.9,82.7,5
2002-02-02,PERTH,premium_95,82.7,89.0,91.9,82.7,5
2002-02-03,PERTH,premium_95,83.9,86.6,87.5,83.9,5
2002-02-04,PERTH,premium_95,83.9,85.0,86.5,83.9,5
2002-02-05,PERTH,premium_95,82.5,83.7,86.5,82.5,5
2002-02-06,PERTH,premium_95,81.3,83.1,86.5,81.3,5
2002-02-07,PERTH,premium_95,80.7,82.7,86.5,80.7,5
2002-02-08,PERTH,premium_95,80.7,82.9,86.5,80.7,5
2002-02-09,PERTH,premium_95,80.7,82.8,86.5,80.7,5
2002-02-10,PERTH,premium_95,80.7,82.8,86.5,80.7,5
2002-02-11,PERTH,premium_95,86.5,92.1,95.9,86.5,5
2002-02-12,PERTH,premium_95,89.5,91.5,92.7,89.5,5
2002-02-13,PERTH,premium_95,88.5,90.4,92.7,88.5,5
2002-02-14,PERTH,premium_95,87.5,88.7,89.5,87.5,5
2002-02-15,PERTH,premium_95,87.5,88.0,89.5,87.5,5
2002-02-16,PERTH,premium_95,85.9,86.7,87.5,85.9,5
2002-02-17,PERTH,premium_95,83.7,85.7,87.5,83.7,5
2002-02-18,PERTH,premium_95,84.5,85.9,87.5,84.5,5
2002-02-19,PERTH,premium_95,86.9,93.3,96.9,86.9,5
2002-02-20,PERTH,premium_95,88.7,94.4,95.9,88.7,5
2002-02-21,PERTH,premium_95,90.7,93.6,95.5,90.7,5
2002-02-22,PERTH,premium_95,88.9,90.9,93.5,88.9,5
2002-02-23,PERTH,premium_95,87.8,88.8,89.5,87.8,5
2002-02-24,PERTH,premium_95,87.5,88.1,89.5,87.5,5
2002-02-25,PERTH,premium_95,87.8,88.2,89.5,87.8,5
2002-02-26,PERTH,premium_95,84.9,87.0,89.5,84.9,5
2002-02-27,PERTH,premium_95,84.5,86.2,89.5,84.5,5
2002-02-28,PERTH,premium_95,84.5,86.2,89.5,84.5,5
2003-01-01,PERTH,premium_95,98.3,98.6,99.7,98.3,5
2003-01-02,PERTH,premium_95,96.5,97.2,99.7,96.5,5
2003-01-03,PERTH,premium_95,95.9,97.0,99.7,95.9,5
2003-01-04,PERTH,premium_95,94.9,95.5,96.7,94.9,5
2003-01-05,PERTH,premium_95,94.9,95.5,96.7,94.9,5
2003-01-06,PERTH,premium_95,94.9,95.5,96.7,94.9,5
2003-01-07,PERTH,premium_95,94.5,95.2,96.7,94.5,5
2003-01-08,PERTH,premium_95,95.9,96.3,97.7,95.9,5
2003-01-09,PERTH,premium_95,95.9,101.9,104.9,95.9,5
2003-01-10,PERTH,premium_95,99.7,101.8,102.5,99.7,5
2003-01-11,PERTH,premium_95,99.3,101.1,101.7,99.3,5
2003-01-12,PERTH,premium_95,99.1,99.9,101.7,99.1,5
2003-01-13,PERTH,premium_95,97.9,99.3,101.7,97.9,5
2003-01-14,PERTH,premium_95,96.9,98.1,99.7,96.9,5
2003-01-15,PERTH,premium_95,96.5,97.1,99.7,96.5,5
2003-01-16,PERTH,premium_95,95.5,96.1,97.7,95.5,5
2003-01-17,PERTH,premium_95,96.5,101.8,104.9,96.5,5
2003-01-18,PERTH,premium_95,96.5,102.6,104.9,96.5,5
2003-01-19,PERTH,premium_95,99.7,103.2,104.9,99.7,5
2003-01-20,PERTH,premium_95,99.5,103.2,104.9,99.5,5
2003-01-21,PERTH,premium_95,99.5,103.2,104.9,99.5,5
2003-01-22,PERTH,premium_95,99.5,103.2,104.9,99.5,5
2003-01-23,PERTH,premium_95,98.4,101.2,101.9,98.4,5
2003-01-24,PERTH,premium_95,97.4,101.0,101.9,97.4,5
2003-01-25,PERTH,premium_95,97.4,99.2,99.9,97.4,5
2003-01-26,PERTH,premium_95,97.4,99.2,99.9,97.4,5
2003-01-27,PERTH,premium_95,97.4,98.6,98.9,97.4,5
2003-01-28,PERTH,premium_95,97.4,98.6,98.9,97.4,5
2003-01-29,PERTH,premium_95,97.4,103.4,106.9,97.4,5
2003-01-30,PERTH,premium_95,97.4,102.8,104.7,97.4,5
2003-01-31,PERTH,premium_95,101.2,103.1,103.9,101.2,5
2003-02-01,PERTH,premium_95,100.7,101.1,101.3,100.7,5
2003-02-02,PERTH,premium_95,100.2,100.5,100.7,100.2,5
2003-02-03,PERTH,premium_95,98.9,99.5,100.7,98.9,5
2003-02-04,PERTH,premium_95,98.7,99.2,100.7,98.7,5
2003-02-05,PERTH,premium_95,98.7,99.2,100.7,98.7,5
2003-02-06,PERTH,premium_95,98.7,99.2,100.7,98.7,5
2003-02-07,PERTH,premium_95,98.7,102.8,104.9,98.7,5
2003-02-08,PERTH,premium_95,100.7,103.0,103.9,100.7,5
2003-02-09,PERTH,premium_95,100.7,102.2,102.9,100.7,5
2003-02-10,PERTH,premium_95,100.7,101.3,101.5,100.7,5
2003-02-11,PERTH,premium_95,100.7,100.9,101.2,100.7,5
2003-02-12,PERTH,premium_95,100.7,100.9,100.9,100.7,5
2003-02-13,PERTH,premium_95,99.7,100.7,100.9,99.7,5
2003-02-14,PERTH,premium_95,99.7,101.3,102.2,99.7,5
2003-02-15,PERTH,premium_95,102.7,106.8,108.9,102.7,5
2003-02-16,PERTH,premium_95,102.7,106.2,107.9,102.7,5
2003-02-17,PERTH,premium_95,102.7,105.6,106.9,102.7,5
2003-02-18,PERTH,premium_95,102.7,104.4,104.9,102.7,5
2003-02-19,PERTH,premium_95,102.7,109.2,112.9,102.7,5
2003-02-20,PERTH,premium_95,105.7,110.4,111.9,105.7,5
2003-02-21,PERTH,premium_95,105.7,109.2,110.7,105.7,5
2003-02-22,PERTH,premium_95,107.7,108.5,108.9,107.7,5
2003-02-23,PERTH,premium_95,107.7,107.8,107.9,107.7,5
