date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2007-01-25,PIARA WATERS,premium_98,116.4,116.4,116.4,116.4,1
2007-01-26,PIARA WATERS,premium_98,115.0,115.0,115.0,115.0,1
2007-01-27,PIARA WATERS,premium_98,115.0,115.0,115.0,115.0,1
2007-01-28,PIARA WATERS,premium_98,114.4,114.4,114.4,114.4,1
2007-01-29,PIARA WATERS,premium_98,114.4,114.4,114.4,114.4,1
2007-01-30,PIARA WATERS,premium_98,112.6,112.6,112.6,112.6,1
2007-01-31,PIARA WATERS,premium_98,122.9,122.9,122.9,122.9,1
2007-02-01,PIARA WATERS,premium_98,121.9,121.9,121.9,121.9,1
2007-02-02,PIARA WATERS,premium_98,117.3,117.3,117.3,117.3,1
2007-02-03,PIARA WATERS,premium_98,117.1,117.1,117.1,117.1,1
2007-02-04,PIARA WATERS,premium_98,116.7,116.7,116.7,116.7,1
2007-02-05,PIARA WATERS,premium_98,116.7,116.7,116.7,116.7,1
2007-02-06,PIARA WATERS,premium_98,116.5,116.5,116.5,116.5,1
2007-02-07,PIARA WATERS,premium_98,116.5,116.5,116.5,116.5,1
2007-02-08,PIARA WATERS,premium_98,116.5,116.5,116.5,116.5,1
2007-02-09,PIARA WATERS,premium_98,116.5,116.5,116.5,116.5,1
2007-02-10,PIARA WATERS,premium_98,117.5,117.5,117.5,117.5,1
2007-02-11,PIARA WATERS,premium_98,117.5,117.5,117.5,117.5,1
2007-02-12,PIARA WATERS,premium_98,116.9,116.9,116.9,116.9,1
2007-02-13,PIARA WATERS,premium_98,117.9,117.9,117.9,117.9,1
2007-02-14,PIARA WATERS,premium_98,130.9,130.9,130.9,130.9,1
2007-02-15,PIARA WATERS,premium_98,128.9,128.9,128.9,128.9,1
2007-02-16,PIARA WATERS,premium_98,127.5,127.5,127.5,127.5,1
2007-02-17,PIARA WATERS,premium_98,127.5,127.5,127.5,127.5,1
2007-02-18,PIARA WATERS,premium_98,126.9,126.9,126.9,126.9,1
2007-02-19,PIARA WATERS,premium_98,123.1,123.1,123.1,123.1,1
2007-02-20,PIARA WATERS,premium_98,123.1,123.1,123.1,123.1,1
2007-02-21,PIARA WATERS,premium_98,122.9,122.9,122.9,122.9,1
2007-02-22,PIARA WATERS,premium_98,122.9,122.9,122.9,122.9,1
2007-02-23,PIARA WATERS,premium_98,122.5,122.5,122.5,122.5,1
2007-02-24,PIARA WATERS,premium_98,122.5,122.5,122.5,122.5,1
2007-02-25,PIARA WATERS,premium_98,121.5,121.5,121.5,121.5,1
2007-02-26,PIARA WATERS,premium_98,120.5,120.5,120.5,120.5,1
2007-02-27,PIARA WATERS,premium_98,120.5,120.5,120.5,120.5,1
2007-02-28,PIARA WATERS,premium_98,130.5,130.5,130.5,130.5,1
2008-01-01,PIARA WATERS,premium_98,140.9,140.9,140.9,140.9,1
2008-01-02,PIARA WATERS,premium_98,140.9,140.9,140.9,140.9,1
2008-01-03,PIARA WATERS,premium_98,140.5,140.5,140.5,140.5,1
2008-01-04,PIARA WATERS,premium_98,140.9,140.9,140.9,140.9,1
2008-01-05,PIARA WATERS,premium_98,154.9,154.9,154.9,154.9,1
2008-01-06,PIARA WATERS,premium_98,153.5,153.5,153.5,153.5,1
2008-01-07,PIARA WATERS,premium_98,153.5,153.5,153.5,153.5,1
2008-01-08,PIARA WATERS,premium_98,148.5,148.5,148.5,148.5,1
2008-01-09,PIARA WATERS,premium_98,147.5,147.5,147.5,147.5,1
2008-01-10,PIARA WATERS,premium_98,145.9,145.9,145.9,145.9,1
2008-01-11,PIARA WATERS,premium_98,144.5,144.5,144.5,144.5,1
2008-01-12,PIARA WATERS,premium_98,144.5,144.5,144.5,144.5,1
2008-01-13,PIARA WATERS,premium_98,144.5,144.5,144.5,144.5,1
2008-01-14,PIARA WATERS,premium_98,143.5,143.5,143.5,143.5,1
2008-01-15,PIARA WATERS,premium_98,143.5,143.5,143.5,143.5,1
2008-01-16,PIARA WATERS,premium_98,142.4,142.4,142.4,142.4,1
2008-01-17,PIARA WATERS,premium_98,142.4,142.4,142.4,142.4,1
2008-01-18,PIARA WATERS,premium_98,140.9,140.9,140.9,140.9,1
2008-01-19,PIARA WATERS,premium_98,152.9,152.9,152.9,152.9,1
2008-01-20,PIARA WATERS,premium_98,152.9,152.9,152.9,152.9,1
2008-01-21,PIARA WATERS,premium_98,151.5,151.5,151.5,151.5,1
2008-01-22,PIARA WATERS,premium_98,149.9,149.9,149.9,149.9,1
2008-01-23,PIARA WATERS,premium_98,147.9,147.9,147.9,147.9,1
2008-01-24,PIARA WATERS,premium_98,145.9,145.9,145.9,145.9,1
2008-01-25,PIARA WATERS,premium_98,142.9,142.9,142.9,142.9,1
2008-01-26,PIARA WATERS,premium_98,142.9,142.9,142.9,142.9,1
2008-01-27,PIARA WATERS,premium_98,141.9,141.9,141.9,141.9,1
2008-01-28,PIARA WATERS,premium_98,141.5,141.5,141.5,141.5,1
2008-01-29,PIARA WATERS,premium_98,141.5,141.5,141.5,141.5,1
2008-01-30,PIARA WATERS,premium_98,140.9,140.9,140.9,140.9,1
2008-01-31,PIARA WATERS,premium_98,138.5,138.5,138.5,138.5,1
2008-02-01,PIARA WATERS,premium_98,137.5,137.5,137.5,137.5,1
2008-02-02,PIARA WATERS,premium_98,137.5,137.5,137.5,137.5,1
2008-02-03,PIARA WATERS,premium_98,137.5,137.5,137.5,137.5,1
2008-02-04,PIARA WATERS,premium_98,137.5,137.5,137.5,137.5,1
2008-02-05,PIARA WATERS,premium_98,137.5,137.5,137.5,137.5,1
2008-02-06,PIARA WATERS,premium_98,137.5,137.5,137.5,137.5,1
2008-02-07,PIARA WATERS,premium_98,151.9,151.9,151.9,151.9,1
2008-02-08,PIARA WATERS,premium_98,149.5,149.5,149.5,149.5,1
2008-02-09,PIARA WATERS,premium_98,148.9,148.9,148.9,148.9,1
2008-02-10,PIARA WATERS,premium_98,148.5,148.5,148.5,148.5,1
2008-02-11,PIARA WATERS,premium_98,147.5,147.5,147.5,147.5,1
2008-02-12,PIARA WATERS,premium_98,142.5,142.5,142.5,142.5,1
2008-02-13,PIARA WATERS,premium_98,142.5,142.5,142.5,142.5,1
2008-02-14,PIARA WATERS,premium_98,142.5,142.5,142.5,142.5,1
2008-02-15,PIARA WATERS,premium_98,140.5,140.5,140.5,140.5,1
2008-02-16,PIARA WATERS,premium_98,139.5,139.5,139.5,139.5,1
2008-02-17,PIARA WATERS,premium_98,138.9,138.9,138.9,138.9,1
2008-02-18,PIARA WATERS,premium_98,138.9,138.9,138.9,138.9,1
2008-02-19,PIARA WATERS,premium_98,138.5,138.5,138.5,138.5,1
2008-02-20,PIARA WATERS,premium_98,138.5,138.5,138.5,138.5,1
2008-02-21,PIARA WATERS,premium_98,149.9,149.9,149.9,149.9,1
2008-02-22,PIARA WATERS,premium_98,147.5,147.5,147.5,147.5,1
2008-02-23,PIARA WATERS,premium_98,146.9,146.9,146.9,146.9,1
2008-02-24,PIARA WATERS,premium_98,146.5,146.5,146.5,146.5,1
