date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-02,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-03,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-04,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-05,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-06,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-07,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-08,PICCADILLY,premium_95,102.7,102.7,102.7,102.7,1
2004-01-09,PICCADILLY,premium_95,102.7,102.7,102.7,102.7,1
2004-01-10,PICCADILLY,premium_95,103.9,103.9,103.9,103.9,1
2004-01-11,PICCADILLY,premium_95,103.9,103.9,103.9,103.9,1
2004-01-12,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-13,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-14,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-15,PICCADILLY,premium_95,102.9,102.9,102.9,102.9,1
2004-01-16,PICCADILLY,premium_95,103.9,103.9,103.9,103.9,1
2004-01-17,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-18,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-19,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-20,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-21,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-22,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-23,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-24,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-25,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-26,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-27,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-28,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
2004-01-29,PICCADILLY,premium_95,104.7,104.7,104.7,104.7,1
