date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PICTON EAST,ulp_91,83.9,87.0,90.1,83.9,2
2002-01-02,PICTON EAST,ulp_91,83.9,87.0,90.1,83.9,2
2002-01-03,PICTON EAST,ulp_91,85.8,88.2,90.7,85.8,2
2002-01-04,PICTON EAST,ulp_91,85.8,88.2,90.7,85.8,2
2002-01-05,PICTON EAST,ulp_91,85.8,88.2,90.7,85.8,2
2002-01-06,PICTON EAST,ulp_91,85.8,88.2,90.7,85.8,2
2002-01-07,PICTON EAST,ulp_91,85.8,88.2,90.7,85.8,2
2002-01-08,PICTON EAST,ulp_91,85.8,88.2,90.7,85.8,2
2002-01-09,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-10,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-11,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-12,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-13,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-14,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-15,PICTON EAST,ulp_91,84.9,87.3,89.8,84.9,2
2002-01-16,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-17,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-18,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-19,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-20,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-21,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-22,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-23,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-24,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-25,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-26,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-27,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-28,PICTON EAST,ulp_91,84.5,87.0,89.4,84.5,2
2002-01-29,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-01-30,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-01-31,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-02-01,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-02-02,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-02-03,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-02-04,PICTON EAST,ulp_91,85.1,87.5,90.0,85.1,2
2002-02-05,PICTON EAST,ulp_91,85.9,88.3,90.8,85.9,2
2002-02-06,PICTON EAST,ulp_91,85.9,88.3,90.8,85.9,2
2002-02-07,PICTON EAST,ulp_91,85.9,88.3,90.8,85.9,2
2002-02-08,PICTON EAST,ulp_91,86.9,89.3,91.8,86.9,2
2002-02-09,PICTON EAST,ulp_91,86.9,89.3,91.8,86.9,2
2002-02-10,PICTON EAST,ulp_91,86.9,89.3,91.8,86.9,2
2002-02-11,PICTON EAST,ulp_91,86.9,89.3,91.8,86.9,2
2002-02-12,PICTON EAST,ulp_91,88.5,91.0,93.4,88.5,2
2002-02-13,PICTON EAST,ulp_91,88.5,91.0,93.4,88.5,2
2002-02-14,PICTON EAST,ulp_91,88.5,91.0,93.4,88.5,2
2002-02-15,PICTON EAST,ulp_91,88.5,91.0,93.4,88.5,2
2002-02-16,PICTON EAST,ulp_91,88.5,91.8,95.2,88.5,2
2002-02-17,PICTON EAST,ulp_91,88.5,91.8,95.2,88.5,2
2002-02-18,PICTON EAST,ulp_91,88.5,91.8,95.2,88.5,2
2002-02-19,PICTON EAST,ulp_91,88.5,91.8,95.2,88.5,2
2002-02-20,PICTON EAST,ulp_91,88.5,91.8,95.2,88.5,2
2002-02-21,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-22,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-23,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-24,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-25,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-26,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-27,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2002-02-28,PICTON EAST,ulp_91,89.5,92.8,96.2,89.5,2
2003-01-01,PICTON EAST,ulp_91,95.9,95.9,95.9,95.9,1
2003-01-02,PICTON EAST,ulp_91,96.4,96.4,96.4,96.4,1
2003-01-03,PICTON EAST,ulp_91,96.4,96.4,96.4,96.4,1
2003-01-04,PICTON EAST,ulp_91,97.2,97.2,97.2,97.2,1
2003-01-05,PICTON EAST,ulp_91,97.2,97.2,97.2,97.2,1
2003-01-06,PICTON EAST,ulp_91,97.2,97.2,97.2,97.2,1
2003-01-07,PICTON EAST,ulp_91,97.2,97.2,97.2,97.2,1
2003-01-08,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-09,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-10,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-11,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-12,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-13,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-14,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-15,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-16,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-17,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-18,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-19,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-20,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-21,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-22,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-23,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-24,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-25,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-26,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-27,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-28,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-29,PICTON EAST,ulp_91,98.0,98.0,98.0,98.0,1
2003-01-30,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-01-31,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-02-01,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-02-02,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-02-03,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-02-04,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-02-05,PICTON EAST,ulp_91,99.8,99.8,99.8,99.8,1
2003-02-06,PICTON EAST,ulp_91,101.2,101.2,101.2,101.2,1
2003-02-07,PICTON EAST,ulp_91,101.2,101.2,101.2,101.2,1
2003-02-08,PICTON EAST,ulp_91,101.9,101.9,101.9,101.9,1
2003-02-09,PICTON EAST,ulp_91,101.9,101.9,101.9,101.9,1
2003-02-10,PICTON EAST,ulp_91,101.9,101.9,101.9,101.9,1
2003-02-11,PICTON EAST,ulp_91,101.9,101.9,101.9,101.9,1
2003-02-12,PICTON EAST,ulp_91,101.9,101.9,101.9,101.9,1
2003-02-13,PICTON EAST,ulp_91,101.9,101.9,101.9,101.9,1
2003-02-14,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-15,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-16,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-17,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-18,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-19,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-20,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-21,PICTON EAST,ulp_91,104.9,104.9,104.9,104.9,1
2003-02-22,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2003-02-23,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2003-02-24,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2003-02-25,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2003-02-26,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2003-02-27,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2003-02-28,PICTON EAST,ulp_91,105.9,105.9,105.9,105.9,1
2004-01-01,PICTON EAST,ulp_91,94.6,94.6,94.6,94.6,1
2004-01-02,PICTON EAST,ulp_91,94.6,94.6,94.6,94.6,1
2004-01-03,PICTON EAST,ulp_91,94.6,94.6,94.6,94.6,1
2004-01-04,PICTON EAST,ulp_91,94.6,94.6,94.6,94.6,1
2004-01-05,PICTON EAST,ulp_91,94.6,94.6,94.6,94.6,1
2004-01-06,PICTON EAST,ulp_91,94.6,94.6,94.6,94.6,1
2004-01-07,PICTON EAST,ulp_91,94.9,94.9,94.9,94.9,1
2004-01-08,PICTON EAST,ulp_91,94.9,94.9,94.9,94.9,1
2004-01-09,PICTON EAST,ulp_91,94.9,94.9,94.9,94.9,1
2004-01-10,PICTON EAST,ulp_91,94.9,94.9,94.9,94.9,1
2004-01-11,PICTON EAST,ulp_91,94.9,94.9,94.9,94.9,1
2004-01-12,PICTON EAST,ulp_91,94.9,94.9,94.9,94.9,1
2004-01-13,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-14,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-15,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-16,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-17,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-18,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-19,PICTON EAST,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-20,PICTON EAST,ulp_91,97.5,97.5,97.5,97.5,1
2004-01-21,PICTON EAST,ulp_91,97.5,97.5,97.5,97.5,1
2004-01-22,PICTON EAST,ulp_91,97.2,97.2,97.2,97.2,1
2004-01-23,PICTON EAST,ulp_91,97.2,97.2,97.2,97.2,1
2004-01-24,PICTON EAST,ulp_91,97.5,97.5,97.5,97.5,1
2004-01-25,PICTON EAST,ulp_91,97.5,97.5,97.5,97.5,1
2004-01-26,PICTON EAST,ulp_91,97.5,97.5,97.5,97.5,1
2004-01-27,PICTON EAST,ulp_91,97.5,97.5,97.5,97.5,1
