date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,PINJARRA,diesel,85.3,86.0,86.7,85.3,2
2002-01-02,PINJARRA,diesel,85.3,86.0,86.7,85.3,2
2002-01-03,PINJARRA,diesel,85.3,86.0,86.7,85.3,2
2002-01-04,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-05,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-06,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-07,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-08,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-09,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-10,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-11,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-12,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-13,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-14,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-15,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-16,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-17,PINJARRA,diesel,84.9,85.8,86.7,84.9,2
2002-01-18,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-19,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-20,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-21,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-22,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-23,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-24,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-25,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-26,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-27,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-28,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
2002-01-29,PINJARRA,diesel,84.9,85.4,85.9,84.9,2
