date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2022-01-01,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-02,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-03,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-04,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-05,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-06,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-07,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-08,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-09,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-10,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-11,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-12,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-13,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-14,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-15,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-16,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-17,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-18,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-19,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-20,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-21,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-22,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-23,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-24,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-25,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-26,PINJARRA,e85,210.9,210.9,210.9,210.9,1
2022-01-27,PINJARRA,e85,210.9,210.9,210.9,210.9,1
