date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2003-01-21,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-22,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-23,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-24,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-25,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-26,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-27,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-28,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-29,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-30,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2003-01-31,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-01,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-02,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-03,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-04,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-05,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-06,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-07,PINJARRA,premium_95,102.5,102.5,102.5,102.5,1
2003-02-08,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-09,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-10,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-11,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-12,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-13,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-14,PINJARRA,premium_95,104.9,104.9,104.9,104.9,1
2003-02-15,PINJARRA,premium_95,106.9,106.9,106.9,106.9,1
2003-02-16,PINJARRA,premium_95,106.9,106.9,106.9,106.9,1
2003-02-17,PINJARRA,premium_95,106.9,106.9,106.9,106.9,1
2003-02-18,PINJARRA,premium_95,106.9,106.9,106.9,106.9,1
2003-02-19,PINJARRA,premium_95,106.9,106.9,106.9,106.9,1
2003-02-20,PINJARRA,premium_95,106.9,106.9,106.9,106.9,1
2003-02-21,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-22,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-23,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-24,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-25,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-26,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-27,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2003-02-28,PINJARRA,premium_95,107.9,107.9,107.9,107.9,1
2004-01-01,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-02,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-03,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-04,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-05,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-06,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-07,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-08,PINJARRA,premium_95,98.9,98.9,98.9,98.9,1
2004-01-09,PINJARRA,premium_95,99.9,99.9,99.9,99.9,1
2004-01-10,PINJARRA,premium_95,100.9,100.9,100.9,100.9,1
2004-01-11,PINJARRA,premium_95,100.9,100.9,100.9,100.9,1
2004-01-12,PINJARRA,premium_95,100.9,100.9,100.9,100.9,1
2004-01-13,PINJARRA,premium_95,100.9,100.9,100.9,100.9,1
2004-01-14,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-15,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-16,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-17,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-18,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-19,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-20,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-21,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-22,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-23,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-24,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-25,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-26,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-27,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-28,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-29,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-30,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-01-31,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
2004-02-01,PINJARRA,premium_95,102.9,102.9,102.9,102.9,1
