date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2018-01-01,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-02,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-03,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-04,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-05,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-06,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-07,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-08,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-09,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-10,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-11,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-12,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-13,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-14,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-15,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-16,PORT HEDLAND,premium_98,163.9,163.9,163.9,163.9,1
2018-01-17,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-18,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-19,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-20,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-21,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-22,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-23,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-24,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
2018-01-25,PORT HEDLAND,premium_98,165.9,165.9,165.9,165.9,1
