date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,QUEENS PARK,diesel,85.9,85.9,85.9,85.9,1
2002-01-02,QUEENS PARK,diesel,85.9,85.9,85.9,85.9,1
2002-01-03,QUEENS PARK,diesel,85.9,85.9,85.9,85.9,1
2002-01-04,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-05,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-06,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-07,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-08,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-09,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-10,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-11,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-12,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-13,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-14,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-15,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-16,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-17,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-18,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-19,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-20,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-21,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-22,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-23,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-24,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-25,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-26,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-27,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-28,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-29,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-30,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-01-31,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-01,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-02,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-03,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-04,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-05,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-06,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-07,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-08,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-09,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-10,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-11,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-12,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-13,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-14,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-15,QUEENS PARK,diesel,83.9,83.9,83.9,83.9,1
2002-02-16,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,QUEENS PARK,diesel,82.9,82.9,82.9,82.9,1
