date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-02,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-03,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-04,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-05,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-06,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-07,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-08,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-09,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-10,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-11,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-12,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-13,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-14,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-15,QUINNS ROCKS,diesel,85.9,85.9,85.9,85.9,1
2002-01-16,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-17,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-18,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-19,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-20,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-21,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-22,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-23,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-24,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-25,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-26,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-27,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-28,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-29,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-30,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-01-31,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-02-01,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-02-02,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-02-03,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-02-04,QUINNS ROCKS,diesel,84.9,84.9,84.9,84.9,1
2002-02-05,QUINNS ROCKS,diesel,83.9,83.9,83.9,83.9,1
2002-02-06,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-07,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-08,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-13,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,QUINNS ROCKS,diesel,82.9,82.9,82.9,82.9,1
