date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-02,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-03,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-04,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-05,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-06,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-07,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-08,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-09,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-10,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-11,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-12,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-01-13,RANGEWAY,ulp_91,93.5,95.5,97.5,93.5,2
2002-01-14,RANGEWAY,ulp_91,93.5,95.5,97.5,93.5,2
2002-01-15,RANGEWAY,ulp_91,93.5,95.5,97.5,93.5,2
2002-01-16,RANGEWAY,ulp_91,93.5,95.5,97.5,93.5,2
2002-01-17,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-18,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-19,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-20,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-21,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-22,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-23,RANGEWAY,ulp_91,92.9,94.9,96.9,92.9,2
2002-01-24,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-25,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-26,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-27,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-28,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-29,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-30,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-01-31,RANGEWAY,ulp_91,91.9,93.9,95.9,91.9,2
2002-02-01,RANGEWAY,ulp_91,92.3,94.3,96.3,92.3,2
2002-02-02,RANGEWAY,ulp_91,92.3,94.3,96.3,92.3,2
2002-02-03,RANGEWAY,ulp_91,92.3,94.3,96.3,92.3,2
2002-02-04,RANGEWAY,ulp_91,92.3,94.3,96.3,92.3,2
2002-02-05,RANGEWAY,ulp_91,93.1,95.1,97.1,93.1,2
2002-02-06,RANGEWAY,ulp_91,93.1,95.1,97.1,93.1,2
2002-02-07,RANGEWAY,ulp_91,93.1,95.1,97.1,93.1,2
2002-02-08,RANGEWAY,ulp_91,93.9,95.9,97.9,93.9,2
2002-02-09,RANGEWAY,ulp_91,94.5,96.5,98.5,94.5,2
2002-02-10,RANGEWAY,ulp_91,94.5,96.5,98.5,94.5,2
2002-02-11,RANGEWAY,ulp_91,94.5,96.5,98.5,94.5,2
2002-02-12,RANGEWAY,ulp_91,94.5,96.5,98.5,94.5,2
2002-02-13,RANGEWAY,ulp_91,95.5,97.5,99.5,95.5,2
2002-02-14,RANGEWAY,ulp_91,95.5,97.5,99.5,95.5,2
2002-02-15,RANGEWAY,ulp_91,96.0,98.0,99.9,96.0,2
2002-02-16,RANGEWAY,ulp_91,97.9,99.9,101.9,97.9,2
