date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2019-01-01,RAVENSWOOD,ulp_91,129.7,129.7,129.7,129.7,1
2019-01-02,RAVENSWOOD,ulp_91,126.5,126.5,126.5,126.5,1
2019-01-03,RAVENSWOOD,ulp_91,122.7,122.7,122.7,122.7,1
2019-01-04,RAVENSWOOD,ulp_91,118.7,118.7,118.7,118.7,1
2019-01-05,RAVENSWOOD,ulp_91,121.7,121.7,121.7,121.7,1
2019-01-06,RAVENSWOOD,ulp_91,119.7,119.7,119.7,119.7,1
2019-01-07,RAVENSWOOD,ulp_91,112.7,112.7,112.7,112.7,1
2019-01-08,RAVENSWOOD,ulp_91,129.7,129.7,129.7,129.7,1
2019-01-09,RAVENSWOOD,ulp_91,126.5,126.5,126.5,126.5,1
2019-01-10,RAVENSWOOD,ulp_91,122.7,122.7,122.7,122.7,1
2019-01-11,RAVENSWOOD,ulp_91,119.5,119.5,119.5,119.5,1
2019-01-12,RAVENSWOOD,ulp_91,119.3,119.3,119.3,119.3,1
2019-01-13,RAVENSWOOD,ulp_91,119.3,119.3,119.3,119.3,1
2019-01-14,RAVENSWOOD,ulp_91,114.7,114.7,114.7,114.7,1
2019-01-15,RAVENSWOOD,ulp_91,131.7,131.7,131.7,131.7,1
2019-01-16,RAVENSWOOD,ulp_91,125.7,125.7,125.7,125.7,1
2019-01-17,RAVENSWOOD,ulp_91,123.7,123.7,123.7,123.7,1
2019-01-18,RAVENSWOOD,ulp_91,119.7,119.7,119.7,119.7,1
2019-01-19,RAVENSWOOD,ulp_91,121.7,121.7,121.7,121.7,1
2019-01-20,RAVENSWOOD,ulp_91,121.7,121.7,121.7,121.7,1
2019-01-21,RAVENSWOOD,ulp_91,114.7,114.7,114.7,114.7,1
2019-01-22,RAVENSWOOD,ulp_91,132.9,132.9,132.9,132.9,1
2019-01-23,RAVENSWOOD,ulp_91,123.7,123.7,123.7,123.7,1
2019-01-24,RAVENSWOOD,ulp_91,122.7,122.7,122.7,122.7,1
2019-01-25,RAVENSWOOD,ulp_91,119.3,119.3,119.3,119.3,1
2019-01-26,RAVENSWOOD,ulp_91,122.7,122.7,122.7,122.7,1
2019-01-27,RAVENSWOOD,ulp_91,122.7,122.7,122.7,122.7,1
2019-01-28,RAVENSWOOD,ulp_91,117.7,117.7,117.7,117.7,1
2019-01-29,RAVENSWOOD,ulp_91,125.7,125.7,125.7,125.7,1
2019-01-30,RAVENSWOOD,ulp_91,125.7,125.7,125.7,125.7,1
2019-01-31,RAVENSWOOD,ulp_91,125.7,125.7,125.7,125.7,1
2019-02-01,RAVENSWOOD,ulp_91,125.7,125.7,125.7,125.7,1
2019-02-02,RAVENSWOOD,ulp_91,118.5,118.5,118.5,118.5,1
2019-02-03,RAVENSWOOD,ulp_91,117.5,117.5,117.5,117.5,1
2019-02-04,RAVENSWOOD,ulp_91,113.7,113.7,113.7,113.7,1
2019-02-05,RAVENSWOOD,ulp_91,134.9,134.9,134.9,134.9,1
2019-02-06,RAVENSWOOD,ulp_91,129.7,129.7,129.7,129.7,1
2019-02-07,RAVENSWOOD,ulp_91,127.7,127.7,127.7,127.7,1
2019-02-08,RAVENSWOOD,ulp_91,117.7,117.7,117.7,117.7,1
2019-02-09,RAVENSWOOD,ulp_91,121.5,121.5,121.5,121.5,1
2019-02-10,RAVENSWOOD,ulp_91,121.5,121.5,121.5,121.5,1
2019-02-11,RAVENSWOOD,ulp_91,113.7,113.7,113.7,113.7,1
2019-02-12,RAVENSWOOD,ulp_91,135.9,135.9,135.9,135.9,1
2019-02-13,RAVENSWOOD,ulp_91,133.7,133.7,133.7,133.7,1
2019-02-14,RAVENSWOOD,ulp_91,129.7,129.7,129.7,129.7,1
2019-02-15,RAVENSWOOD,ulp_91,121.7,121.7,121.7,121.7,1
2019-02-16,RAVENSWOOD,ulp_91,122.7,122.7,122.7,122.7,1
