date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-02,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-03,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-04,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-05,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-06,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-07,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-08,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-09,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-10,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-11,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-12,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-13,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-14,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-15,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-16,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-17,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-18,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-19,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-20,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-21,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-22,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-23,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-24,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-25,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-26,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-27,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-28,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-29,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-30,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-01-31,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-01,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-02,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-03,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-04,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-05,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-06,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-07,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-08,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-09,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-10,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-11,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-12,REDCLIFFE,lpg,49.9,49.9,49.9,49.9,1
2002-02-13,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-14,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-15,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-16,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-17,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-18,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-19,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-20,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-21,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-22,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-23,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-24,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-25,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-26,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-27,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2002-02-28,REDCLIFFE,lpg,47.9,47.9,47.9,47.9,1
2003-01-01,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-02,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-03,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-04,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-05,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-06,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-07,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-08,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-09,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-10,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-11,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-12,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-13,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-14,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-15,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-16,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-17,REDCLIFFE,lpg,51.9,52.2,52.5,51.9,2
2003-01-18,REDCLIFFE,lpg,50.9,51.4,51.9,50.9,2
2003-01-19,REDCLIFFE,lpg,50.9,51.4,51.9,50.9,2
2003-01-20,REDCLIFFE,lpg,50.9,51.4,51.9,50.9,2
2003-01-21,REDCLIFFE,lpg,50.9,51.4,51.9,50.9,2
2003-01-22,REDCLIFFE,lpg,50.9,51.4,51.9,50.9,2
2003-01-23,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-24,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-25,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-26,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-27,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-28,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-29,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-30,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-01-31,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-02-01,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-02-02,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-02-03,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-02-04,REDCLIFFE,lpg,51.9,52.4,52.9,51.9,2
2003-02-05,REDCLIFFE,lpg,51.9,51.9,51.9,51.9,2
2003-02-06,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-07,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-08,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-09,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-10,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-11,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-12,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-13,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-14,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-15,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-16,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-17,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-18,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-19,REDCLIFFE,lpg,53.9,54.9,55.9,53.9,2
2003-02-20,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-21,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-22,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-23,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-24,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-25,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-26,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-27,REDCLIFFE,lpg,51.9,52.9,53.9,51.9,2
2003-02-28,REDCLIFFE,lpg,52.5,53.2,53.9,52.5,2
2004-01-01,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-02,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-03,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-04,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-05,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-06,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-07,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-08,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-09,REDCLIFFE,lpg,38.5,38.7,38.9,38.5,2
2004-01-10,REDCLIFFE,lpg,38.9,39.2,39.5,38.9,2
2004-01-11,REDCLIFFE,lpg,38.9,39.2,39.5,38.9,2
2004-01-12,REDCLIFFE,lpg,38.9,39.2,39.5,38.9,2
2004-01-13,REDCLIFFE,lpg,38.9,39.2,39.5,38.9,2
2004-01-14,REDCLIFFE,lpg,36.9,37.9,38.9,36.9,2
2004-01-15,REDCLIFFE,lpg,36.9,37.9,38.9,36.9,2
2004-01-16,REDCLIFFE,lpg,36.9,37.9,38.9,36.9,2
2004-01-17,REDCLIFFE,lpg,36.9,37.9,38.9,36.9,2
