date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2003-01-01,REDCLIFFE,premium_98,102.7,102.7,102.7,102.7,1
2003-01-02,REDCLIFFE,premium_98,101.5,101.5,101.5,101.5,1
2003-01-03,REDCLIFFE,premium_98,99.3,99.3,99.3,99.3,1
2003-01-04,REDCLIFFE,premium_98,99.3,99.3,99.3,99.3,1
2003-01-05,REDCLIFFE,premium_98,99.3,99.3,99.3,99.3,1
2003-01-06,REDCLIFFE,premium_98,99.3,99.3,99.3,99.3,1
2003-01-07,REDCLIFFE,premium_98,96.3,96.3,96.3,96.3,1
2003-01-08,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-09,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-10,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-11,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-12,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-13,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-01-14,REDCLIFFE,premium_98,99.7,99.7,99.7,99.7,1
2003-01-15,REDCLIFFE,premium_98,99.7,99.7,99.7,99.7,1
2003-01-16,REDCLIFFE,premium_98,99.7,99.7,99.7,99.7,1
2003-01-17,REDCLIFFE,premium_98,99.7,99.7,99.7,99.7,1
2003-01-18,REDCLIFFE,premium_98,105.7,105.7,105.7,105.7,1
2003-01-19,REDCLIFFE,premium_98,105.7,105.7,105.7,105.7,1
2003-01-20,REDCLIFFE,premium_98,105.7,105.7,105.7,105.7,1
2003-01-21,REDCLIFFE,premium_98,103.5,103.5,103.5,103.5,1
2003-01-22,REDCLIFFE,premium_98,103.5,103.5,103.5,103.5,1
2003-01-23,REDCLIFFE,premium_98,103.5,103.5,103.5,103.5,1
2003-01-24,REDCLIFFE,premium_98,102.4,102.4,102.4,102.4,1
2003-01-25,REDCLIFFE,premium_98,102.4,102.4,102.4,102.4,1
2003-01-26,REDCLIFFE,premium_98,101.9,101.9,101.9,101.9,1
2003-01-27,REDCLIFFE,premium_98,101.9,101.9,101.9,101.9,1
2003-01-28,REDCLIFFE,premium_98,101.9,101.9,101.9,101.9,1
2003-01-29,REDCLIFFE,premium_98,99.9,99.9,99.9,99.9,1
2003-01-30,REDCLIFFE,premium_98,106.8,106.8,106.8,106.8,1
2003-01-31,REDCLIFFE,premium_98,103.9,103.9,103.9,103.9,1
2003-02-01,REDCLIFFE,premium_98,102.7,102.7,102.7,102.7,1
2003-02-02,REDCLIFFE,premium_98,102.7,102.7,102.7,102.7,1
2003-02-03,REDCLIFFE,premium_98,102.7,102.7,102.7,102.7,1
2003-02-04,REDCLIFFE,premium_98,101.5,101.5,101.5,101.5,1
2003-02-05,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-02-06,REDCLIFFE,premium_98,102.9,102.9,102.9,102.9,1
2003-02-07,REDCLIFFE,premium_98,105.9,105.9,105.9,105.9,1
2003-02-08,REDCLIFFE,premium_98,105.9,105.9,105.9,105.9,1
2003-02-09,REDCLIFFE,premium_98,105.5,105.5,105.5,105.5,1
2003-02-10,REDCLIFFE,premium_98,105.5,105.5,105.5,105.5,1
2003-02-11,REDCLIFFE,premium_98,103.9,103.9,103.9,103.9,1
2003-02-12,REDCLIFFE,premium_98,103.9,103.9,103.9,103.9,1
2003-02-13,REDCLIFFE,premium_98,103.9,103.9,103.9,103.9,1
2003-02-14,REDCLIFFE,premium_98,109.3,109.3,109.3,109.3,1
2003-02-15,REDCLIFFE,premium_98,105.9,105.9,105.9,105.9,1
2003-02-16,REDCLIFFE,premium_98,108.5,108.5,108.5,108.5,1
