date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-02,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-03,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-04,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-05,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-06,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-07,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-08,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-09,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-10,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-11,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-12,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-13,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-14,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-15,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-16,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-17,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-18,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-19,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-20,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-21,REGANS FORD,ulp_91,115.5,115.5,115.5,115.5,1
2016-01-22,REGANS FORD,ulp_91,112.5,112.5,112.5,112.5,1
2016-01-23,REGANS FORD,ulp_91,112.5,112.5,112.5,112.5,1
2016-01-24,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-25,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-26,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-27,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-28,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-29,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-30,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-01-31,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-02-01,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-02-02,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-02-03,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-02-04,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
2016-02-05,REGANS FORD,ulp_91,110.0,110.0,110.0,110.0,1
