date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-02,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-03,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-04,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-05,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-06,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-07,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-08,RIVERTON,diesel,88.9,88.9,88.9,88.9,1
2002-01-09,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-10,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-11,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-12,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-13,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-14,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-15,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-16,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-17,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-18,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-19,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-20,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-21,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-22,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-23,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-24,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-25,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-26,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-27,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-28,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-29,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-30,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-01-31,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-02-01,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-02-02,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-02-03,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-02-04,RIVERTON,diesel,86.9,86.9,86.9,86.9,1
2002-02-05,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-06,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-07,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-08,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-09,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-10,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-11,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-12,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-13,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-14,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-15,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-16,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-17,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-18,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-19,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-20,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-21,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-22,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
2002-02-23,RIVERTON,diesel,83.9,83.9,83.9,83.9,1
