date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2003-01-01,RIVERTON,premium_95,98.5,98.5,98.5,98.5,1
2003-01-02,RIVERTON,premium_95,97.5,97.5,97.5,97.5,1
2003-01-03,RIVERTON,premium_95,96.5,96.5,96.5,96.5,1
2003-01-04,RIVERTON,premium_95,95.5,95.5,95.5,95.5,1
2003-01-05,RIVERTON,premium_95,94.9,94.9,94.9,94.9,1
2003-01-06,RIVERTON,premium_95,94.9,94.9,94.9,94.9,1
2003-01-07,RIVERTON,premium_95,93.9,93.9,93.9,93.9,1
2003-01-08,RIVERTON,premium_95,95.9,95.9,95.9,95.9,1
2003-01-09,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-10,RIVERTON,premium_95,102.5,102.5,102.5,102.5,1
2003-01-11,RIVERTON,premium_95,100.9,100.9,100.9,100.9,1
2003-01-12,RIVERTON,premium_95,99.5,99.5,99.5,99.5,1
2003-01-13,RIVERTON,premium_95,97.9,97.9,97.9,97.9,1
2003-01-14,RIVERTON,premium_95,96.9,96.9,96.9,96.9,1
2003-01-15,RIVERTON,premium_95,95.9,95.9,95.9,95.9,1
2003-01-16,RIVERTON,premium_95,95.9,95.9,95.9,95.9,1
2003-01-17,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-18,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-19,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-20,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-21,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-22,RIVERTON,premium_95,104.9,104.9,104.9,104.9,1
2003-01-23,RIVERTON,premium_95,102.5,102.5,102.5,102.5,1
2003-01-24,RIVERTON,premium_95,101.9,101.9,101.9,101.9,1
2003-01-25,RIVERTON,premium_95,99.5,99.5,99.5,99.5,1
2003-01-26,RIVERTON,premium_95,98.9,98.9,98.9,98.9,1
2003-01-27,RIVERTON,premium_95,98.9,98.9,98.9,98.9,1
2003-01-28,RIVERTON,premium_95,98.9,98.9,98.9,98.9,1
2003-01-29,RIVERTON,premium_95,106.9,106.9,106.9,106.9,1
2003-01-30,RIVERTON,premium_95,103.9,103.9,103.9,103.9,1
2003-01-31,RIVERTON,premium_95,103.9,103.9,103.9,103.9,1
2003-02-01,RIVERTON,premium_95,101.9,101.9,101.9,101.9,1
