date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2007-02-06,ROLEYSTONE,premium_98,119.5,119.5,119.5,119.5,1
2007-02-07,ROLEYSTONE,premium_98,119.5,119.5,119.5,119.5,1
2007-02-08,ROLEYSTONE,premium_98,119.5,119.5,119.5,119.5,1
2007-02-09,ROLEYSTONE,premium_98,118.5,118.5,118.5,118.5,1
2007-02-10,ROLEYSTONE,premium_98,119.9,119.9,119.9,119.9,1
2007-02-11,ROLEYSTONE,premium_98,119.9,119.9,119.9,119.9,1
2007-02-12,ROLEYSTONE,premium_98,119.9,119.9,119.9,119.9,1
2007-02-13,ROLEYSTONE,premium_98,119.9,119.9,119.9,119.9,1
2007-02-14,ROLEYSTONE,premium_98,130.9,130.9,130.9,130.9,1
2007-02-15,ROLEYSTONE,premium_98,129.5,129.5,129.5,129.5,1
2007-02-16,ROLEYSTONE,premium_98,127.9,127.9,127.9,127.9,1
2007-02-17,ROLEYSTONE,premium_98,127.9,127.9,127.9,127.9,1
2007-02-18,ROLEYSTONE,premium_98,127.5,127.5,127.5,127.5,1
2007-02-19,ROLEYSTONE,premium_98,126.5,126.5,126.5,126.5,1
2007-02-20,ROLEYSTONE,premium_98,126.5,126.5,126.5,126.5,1
2007-02-21,ROLEYSTONE,premium_98,124.9,124.9,124.9,124.9,1
2007-02-22,ROLEYSTONE,premium_98,124.9,124.9,124.9,124.9,1
2007-02-23,ROLEYSTONE,premium_98,123.5,123.5,123.5,123.5,1
2007-02-24,ROLEYSTONE,premium_98,122.9,122.9,122.9,122.9,1
2007-02-25,ROLEYSTONE,premium_98,121.9,121.9,121.9,121.9,1
2007-02-26,ROLEYSTONE,premium_98,121.5,121.5,121.5,121.5,1
2007-02-27,ROLEYSTONE,premium_98,121.5,121.5,121.5,121.5,1
2007-02-28,ROLEYSTONE,premium_98,130.5,130.5,130.5,130.5,1
2008-01-01,ROLEYSTONE,premium_98,140.5,140.5,140.5,140.5,1
2008-01-02,ROLEYSTONE,premium_98,140.5,140.5,140.5,140.5,1
2008-01-03,ROLEYSTONE,premium_98,139.9,139.9,139.9,139.9,1
2008-01-04,ROLEYSTONE,premium_98,143.9,143.9,143.9,143.9,1
2008-01-05,ROLEYSTONE,premium_98,154.9,154.9,154.9,154.9,1
2008-01-06,ROLEYSTONE,premium_98,153.9,153.9,153.9,153.9,1
2008-01-07,ROLEYSTONE,premium_98,150.9,150.9,150.9,150.9,1
2008-01-08,ROLEYSTONE,premium_98,146.9,146.9,146.9,146.9,1
2008-01-09,ROLEYSTONE,premium_98,146.9,146.9,146.9,146.9,1
2008-01-10,ROLEYSTONE,premium_98,146.9,146.9,146.9,146.9,1
2008-01-11,ROLEYSTONE,premium_98,145.5,145.5,145.5,145.5,1
2008-01-12,ROLEYSTONE,premium_98,145.5,145.5,145.5,145.5,1
2008-01-13,ROLEYSTONE,premium_98,145.5,145.5,145.5,145.5,1
2008-01-14,ROLEYSTONE,premium_98,144.5,144.5,144.5,144.5,1
2008-01-15,ROLEYSTONE,premium_98,144.5,144.5,144.5,144.5,1
2008-01-16,ROLEYSTONE,premium_98,142.9,142.9,142.9,142.9,1
2008-01-17,ROLEYSTONE,premium_98,142.9,142.9,142.9,142.9,1
2008-01-18,ROLEYSTONE,premium_98,141.9,141.9,141.9,141.9,1
2008-01-19,ROLEYSTONE,premium_98,150.9,150.9,150.9,150.9,1
2008-01-20,ROLEYSTONE,premium_98,150.9,150.9,150.9,150.9,1
