date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-02,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-03,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-04,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-05,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-06,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-07,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-08,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-09,ROSA BROOK,diesel,99.3,99.3,99.3,99.3,1
2004-01-10,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-11,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-12,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-13,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-14,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-15,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-16,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-17,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-18,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-19,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-20,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-21,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-22,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-23,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-24,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-25,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-26,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-27,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-28,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-29,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-30,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-01-31,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-02-01,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-02-02,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-02-03,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-02-04,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-02-05,ROSA BROOK,diesel,102.3,102.3,102.3,102.3,1
2004-02-06,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-07,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-08,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-09,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-10,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-11,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-12,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-13,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-14,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-15,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-16,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-17,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-18,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-19,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-20,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-21,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-22,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-23,ROSA BROOK,diesel,103.8,103.8,103.8,103.8,1
2004-02-24,ROSA BROOK,diesel,102.5,102.5,102.5,102.5,1
2004-02-25,ROSA BROOK,diesel,102.5,102.5,102.5,102.5,1
2004-02-26,ROSA BROOK,diesel,102.5,102.5,102.5,102.5,1
2004-02-27,ROSA BROOK,diesel,102.5,102.5,102.5,102.5,1
2004-02-28,ROSA BROOK,diesel,102.5,102.5,102.5,102.5,1
2004-02-29,ROSA BROOK,diesel,102.5,102.5,102.5,102.5,1
2005-01-01,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-02,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-03,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-04,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-05,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-06,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-07,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-08,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-09,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-10,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-11,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-12,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-13,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-14,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-15,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-16,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
2005-01-17,ROSA BROOK,diesel,116.9,116.9,116.9,116.9,1
