date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SAWYERS VALLEY,lpg,42.9,42.9,42.9,42.9,1
2002-01-02,SAWYERS VALLEY,lpg,42.9,42.9,42.9,42.9,1
2002-01-03,SAWYERS VALLEY,lpg,42.9,42.9,42.9,42.9,1
2002-01-04,SAWYERS VALLEY,lpg,42.9,42.9,42.9,42.9,1
2002-01-05,SAWYERS VALLEY,lpg,41.9,41.9,41.9,41.9,1
2002-01-06,SAWYERS VALLEY,lpg,41.9,41.9,41.9,41.9,1
2002-01-07,SAWYERS VALLEY,lpg,41.9,41.9,41.9,41.9,1
2002-01-08,SAWYERS VALLEY,lpg,40.9,40.9,40.9,40.9,1
2002-01-09,SAWYERS VALLEY,lpg,40.9,40.9,40.9,40.9,1
2002-01-10,SAWYERS VALLEY,lpg,46.9,46.9,46.9,46.9,1
2002-01-11,SAWYERS VALLEY,lpg,46.9,46.9,46.9,46.9,1
2002-01-12,SAWYERS VALLEY,lpg,46.9,46.9,46.9,46.9,1
2002-01-13,SAWYERS VALLEY,lpg,46.9,46.9,46.9,46.9,1
2002-01-14,SAWYERS VALLEY,lpg,46.9,46.9,46.9,46.9,1
2002-01-15,SAWYERS VALLEY,lpg,46.9,46.9,46.9,46.9,1
2002-01-16,SAWYERS VALLEY,lpg,45.9,45.9,45.9,45.9,1
2002-01-17,SAWYERS VALLEY,lpg,45.9,45.9,45.9,45.9,1
2002-01-18,SAWYERS VALLEY,lpg,44.9,44.9,44.9,44.9,1
2002-01-19,SAWYERS VALLEY,lpg,44.9,44.9,44.9,44.9,1
2002-01-20,SAWYERS VALLEY,lpg,44.9,44.9,44.9,44.9,1
2002-01-21,SAWYERS VALLEY,lpg,44.9,44.9,44.9,44.9,1
2002-01-22,SAWYERS VALLEY,lpg,44.7,44.7,44.7,44.7,1
2002-01-23,SAWYERS VALLEY,lpg,44.7,44.7,44.7,44.7,1
2002-01-24,SAWYERS VALLEY,lpg,44.7,44.7,44.7,44.7,1
2002-01-25,SAWYERS VALLEY,lpg,44.5,44.5,44.5,44.5,1
2002-01-26,SAWYERS VALLEY,lpg,43.9,43.9,43.9,43.9,1
2002-01-27,SAWYERS VALLEY,lpg,43.9,43.9,43.9,43.9,1
2002-01-28,SAWYERS VALLEY,lpg,43.9,43.9,43.9,43.9,1
2002-01-29,SAWYERS VALLEY,lpg,43.9,43.9,43.9,43.9,1
2002-01-30,SAWYERS VALLEY,lpg,43.9,43.9,43.9,43.9,1
2002-01-31,SAWYERS VALLEY,lpg,43.5,43.5,43.5,43.5,1
2002-02-01,SAWYERS VALLEY,lpg,43.5,43.5,43.5,43.5,1
2002-02-02,SAWYERS VALLEY,lpg,42.8,42.8,42.8,42.8,1
2002-02-03,SAWYERS VALLEY,lpg,42.8,42.8,42.8,42.8,1
2002-02-04,SAWYERS VALLEY,lpg,45.9,45.9,45.9,45.9,1
2002-02-05,SAWYERS VALLEY,lpg,45.9,45.9,45.9,45.9,1
2002-02-06,SAWYERS VALLEY,lpg,45.9,45.9,45.9,45.9,1
2002-02-07,SAWYERS VALLEY,lpg,43.5,43.5,43.5,43.5,1
2002-02-08,SAWYERS VALLEY,lpg,43.5,43.5,43.5,43.5,1
2002-02-09,SAWYERS VALLEY,lpg,44.3,44.3,44.3,44.3,1
2002-02-10,SAWYERS VALLEY,lpg,44.3,44.3,44.3,44.3,1
2002-02-11,SAWYERS VALLEY,lpg,44.3,44.3,44.3,44.3,1
2002-02-12,SAWYERS VALLEY,lpg,44.3,44.3,44.3,44.3,1
2002-02-13,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-14,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-15,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-16,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-17,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-18,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-19,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-20,SAWYERS VALLEY,lpg,41.5,41.5,41.5,41.5,1
2002-02-21,SAWYERS VALLEY,lpg,40.9,40.9,40.9,40.9,1
2002-02-22,SAWYERS VALLEY,lpg,40.9,40.9,40.9,40.9,1
2002-02-23,SAWYERS VALLEY,lpg,40.9,40.9,40.9,40.9,1
2002-02-24,SAWYERS VALLEY,lpg,39.9,39.9,39.9,39.9,1
2002-02-25,SAWYERS VALLEY,lpg,39.9,39.9,39.9,39.9,1
2002-02-26,SAWYERS VALLEY,lpg,39.9,39.9,39.9,39.9,1
2002-02-27,SAWYERS VALLEY,lpg,39.9,39.9,39.9,39.9,1
2002-02-28,SAWYERS VALLEY,lpg,39.9,39.9,39.9,39.9,1
2003-01-01,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
2003-01-02,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
2003-01-03,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
2003-01-04,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
2003-01-05,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
2003-01-06,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
2003-01-07,SAWYERS VALLEY,lpg,48.5,48.5,48.5,48.5,1
