date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SAWYERS VALLEY,ulp_91,82.8,84.5,86.3,82.8,4
2002-01-02,SAWYERS VALLEY,ulp_91,81.5,83.1,85.0,81.5,4
2002-01-03,SAWYERS VALLEY,ulp_91,79.9,81.8,84.0,79.9,4
2002-01-04,SAWYERS VALLEY,ulp_91,78.7,80.6,82.8,78.7,4
2002-01-05,SAWYERS VALLEY,ulp_91,78.5,80.2,82.0,78.5,4
2002-01-06,SAWYERS VALLEY,ulp_91,78.4,80.1,82.0,78.4,4
2002-01-07,SAWYERS VALLEY,ulp_91,77.9,79.8,81.4,77.9,4
2002-01-08,SAWYERS VALLEY,ulp_91,77.9,79.5,81.4,77.9,4
2002-01-09,SAWYERS VALLEY,ulp_91,77.9,80.5,83.4,77.9,4
2002-01-10,SAWYERS VALLEY,ulp_91,79.9,84.0,88.4,79.9,4
2002-01-11,SAWYERS VALLEY,ulp_91,83.9,85.7,87.8,83.9,4
2002-01-12,SAWYERS VALLEY,ulp_91,82.9,85.0,86.9,82.9,4
2002-01-13,SAWYERS VALLEY,ulp_91,81.9,83.8,86.0,81.9,4
2002-01-14,SAWYERS VALLEY,ulp_91,80.5,82.6,84.9,80.5,4
2002-01-15,SAWYERS VALLEY,ulp_91,79.5,81.2,83.2,79.5,4
2002-01-16,SAWYERS VALLEY,ulp_91,77.9,79.9,82.2,77.9,4
2002-01-17,SAWYERS VALLEY,ulp_91,76.8,79.0,81.4,76.8,4
2002-01-18,SAWYERS VALLEY,ulp_91,77.9,82.3,86.5,77.9,4
2002-01-19,SAWYERS VALLEY,ulp_91,81.9,83.7,85.4,81.9,4
2002-01-20,SAWYERS VALLEY,ulp_91,80.7,82.3,84.2,80.7,4
2002-01-21,SAWYERS VALLEY,ulp_91,79.7,81.4,83.4,79.7,4
2002-01-22,SAWYERS VALLEY,ulp_91,78.5,80.2,82.2,78.5,4
2002-01-23,SAWYERS VALLEY,ulp_91,77.3,79.0,81.0,77.3,4
2002-01-24,SAWYERS VALLEY,ulp_91,76.3,78.5,81.0,76.3,4
2002-01-25,SAWYERS VALLEY,ulp_91,76.3,79.7,82.9,76.3,4
2002-01-26,SAWYERS VALLEY,ulp_91,79.9,82.8,86.0,79.9,4
2002-01-27,SAWYERS VALLEY,ulp_91,79.9,82.0,84.3,79.9,4
2002-01-28,SAWYERS VALLEY,ulp_91,78.9,80.8,83.0,78.9,4
2002-01-29,SAWYERS VALLEY,ulp_91,77.7,79.9,82.3,77.7,4
2002-01-30,SAWYERS VALLEY,ulp_91,77.5,79.2,81.0,77.5,4
2002-01-31,SAWYERS VALLEY,ulp_91,76.9,78.8,80.9,76.9,4
2002-02-01,SAWYERS VALLEY,ulp_91,76.9,78.8,80.9,76.9,4
2002-02-02,SAWYERS VALLEY,ulp_91,79.9,83.8,87.5,79.9,4
2002-02-03,SAWYERS VALLEY,ulp_91,79.9,81.5,83.4,79.9,4
2002-02-04,SAWYERS VALLEY,ulp_91,78.7,80.4,82.4,78.7,4
2002-02-05,SAWYERS VALLEY,ulp_91,77.9,79.4,81.7,77.9,4
2002-02-06,SAWYERS VALLEY,ulp_91,76.9,79.0,81.4,76.9,4
2002-02-07,SAWYERS VALLEY,ulp_91,76.9,78.9,81.2,76.9,4
2002-02-08,SAWYERS VALLEY,ulp_91,76.9,78.5,80.4,76.9,4
2002-02-09,SAWYERS VALLEY,ulp_91,76.9,79.5,81.9,76.9,4
2002-02-10,SAWYERS VALLEY,ulp_91,77.9,80.0,81.9,77.9,4
2002-02-11,SAWYERS VALLEY,ulp_91,77.9,80.0,81.9,77.9,4
2002-02-12,SAWYERS VALLEY,ulp_91,79.9,85.0,90.4,79.9,4
2002-02-13,SAWYERS VALLEY,ulp_91,84.5,86.3,88.0,84.5,4
2002-02-14,SAWYERS VALLEY,ulp_91,83.5,85.8,87.9,83.5,4
2002-02-15,SAWYERS VALLEY,ulp_91,82.5,84.2,86.2,82.5,4
2002-02-16,SAWYERS VALLEY,ulp_91,80.9,82.5,84.4,80.9,4
2002-02-17,SAWYERS VALLEY,ulp_91,79.9,82.0,84.4,79.9,4
2002-02-18,SAWYERS VALLEY,ulp_91,79.9,82.0,84.4,79.9,4
2002-02-19,SAWYERS VALLEY,ulp_91,79.9,81.8,83.5,79.9,4
2002-02-20,SAWYERS VALLEY,ulp_91,79.9,81.8,84.0,79.9,4
2002-02-21,SAWYERS VALLEY,ulp_91,85.9,88.0,90.4,85.9,4
2002-02-22,SAWYERS VALLEY,ulp_91,84.5,86.8,88.9,84.5,4
2002-02-23,SAWYERS VALLEY,ulp_91,83.9,85.5,87.4,83.9,4
2002-02-24,SAWYERS VALLEY,ulp_91,82.9,84.8,87.0,82.9,4
2002-02-25,SAWYERS VALLEY,ulp_91,81.5,83.5,85.8,81.5,4
2002-02-26,SAWYERS VALLEY,ulp_91,80.5,82.1,84.0,80.5,4
2002-02-27,SAWYERS VALLEY,ulp_91,79.9,81.8,83.5,79.9,4
2002-02-28,SAWYERS VALLEY,ulp_91,79.9,81.5,83.4,79.9,4
2003-01-01,SAWYERS VALLEY,ulp_91,90.9,94.6,98.5,90.9,4
2003-01-02,SAWYERS VALLEY,ulp_91,90.9,93.8,96.4,90.9,4
2003-01-03,SAWYERS VALLEY,ulp_91,90.5,92.6,94.9,90.5,4
2003-01-04,SAWYERS VALLEY,ulp_91,89.9,92.1,94.0,89.9,4
2003-01-05,SAWYERS VALLEY,ulp_91,88.9,91.1,93.0,88.9,4
2003-01-06,SAWYERS VALLEY,ulp_91,88.9,90.8,92.9,88.9,4
2003-01-07,SAWYERS VALLEY,ulp_91,88.9,91.1,93.5,88.9,4
2003-01-08,SAWYERS VALLEY,ulp_91,88.9,90.8,92.9,88.9,4
2003-01-09,SAWYERS VALLEY,ulp_91,88.9,93.6,98.0,88.9,4
2003-01-10,SAWYERS VALLEY,ulp_91,92.9,96.8,100.9,92.9,4
2003-01-11,SAWYERS VALLEY,ulp_91,92.9,94.8,96.9,92.9,4
2003-01-12,SAWYERS VALLEY,ulp_91,92.5,94.6,96.9,92.5,4
2003-01-13,SAWYERS VALLEY,ulp_91,91.9,94.3,96.9,91.9,4
2003-01-14,SAWYERS VALLEY,ulp_91,91.5,93.6,95.5,91.5,4
2003-01-15,SAWYERS VALLEY,ulp_91,90.5,92.5,94.5,90.5,4
2003-01-16,SAWYERS VALLEY,ulp_91,89.9,92.2,94.9,89.9,4
2003-01-17,SAWYERS VALLEY,ulp_91,89.5,91.7,94.5,89.5,4
2003-01-18,SAWYERS VALLEY,ulp_91,89.7,91.9,94.9,89.7,4
2003-01-19,SAWYERS VALLEY,ulp_91,89.7,95.5,101.5,89.7,4
2003-01-20,SAWYERS VALLEY,ulp_91,94.9,97.1,99.5,94.9,4
2003-01-21,SAWYERS VALLEY,ulp_91,94.5,96.6,98.5,94.5,4
2003-01-22,SAWYERS VALLEY,ulp_91,93.9,95.8,97.9,93.9,4
2003-01-23,SAWYERS VALLEY,ulp_91,92.9,94.8,96.9,92.9,4
2003-01-24,SAWYERS VALLEY,ulp_91,91.9,94.1,96.0,91.9,4
2003-01-25,SAWYERS VALLEY,ulp_91,91.5,93.4,95.5,91.5,4
2003-01-26,SAWYERS VALLEY,ulp_91,91.5,93.4,95.5,91.5,4
2003-01-27,SAWYERS VALLEY,ulp_91,90.9,93.1,95.0,90.9,4
2003-01-28,SAWYERS VALLEY,ulp_91,90.4,92.5,94.9,90.4,4
2003-01-29,SAWYERS VALLEY,ulp_91,90.4,92.3,94.5,90.4,4
2003-01-30,SAWYERS VALLEY,ulp_91,90.4,93.5,96.9,90.4,4
2003-01-31,SAWYERS VALLEY,ulp_91,92.5,96.6,100.9,92.5,4
2003-02-01,SAWYERS VALLEY,ulp_91,92.5,95.6,98.4,92.5,4
2003-02-02,SAWYERS VALLEY,ulp_91,93.5,95.9,98.5,93.5,4
2003-02-03,SAWYERS VALLEY,ulp_91,92.9,94.8,96.9,92.9,4
2003-02-04,SAWYERS VALLEY,ulp_91,92.5,94.6,96.9,92.5,4
2003-02-05,SAWYERS VALLEY,ulp_91,92.5,94.4,96.5,92.5,4
2003-02-06,SAWYERS VALLEY,ulp_91,92.5,94.4,96.5,92.5,4
2003-02-07,SAWYERS VALLEY,ulp_91,92.5,95.9,99.5,92.5,4
2003-02-08,SAWYERS VALLEY,ulp_91,94.9,97.3,99.9,94.9,4
2003-02-09,SAWYERS VALLEY,ulp_91,94.9,98.1,101.5,94.9,4
2003-02-10,SAWYERS VALLEY,ulp_91,94.9,97.4,99.6,94.9,4
2003-02-11,SAWYERS VALLEY,ulp_91,94.9,96.8,98.9,94.9,4
2003-02-12,SAWYERS VALLEY,ulp_91,94.9,96.8,98.9,94.9,4
2003-02-13,SAWYERS VALLEY,ulp_91,94.9,96.8,98.9,94.9,4
2003-02-14,SAWYERS VALLEY,ulp_91,94.9,96.8,98.9,94.9,4
2003-02-15,SAWYERS VALLEY,ulp_91,95.9,98.3,100.9,95.9,4
2003-02-16,SAWYERS VALLEY,ulp_91,97.9,99.8,101.9,97.9,4
2003-02-17,SAWYERS VALLEY,ulp_91,97.9,100.3,102.4,97.9,4
2003-02-18,SAWYERS VALLEY,ulp_91,97.9,100.3,102.4,97.9,4
2003-02-19,SAWYERS VALLEY,ulp_91,97.9,100.8,103.9,97.9,4
2003-02-20,SAWYERS VALLEY,ulp_91,98.9,101.3,103.4,98.9,4
2003-02-21,SAWYERS VALLEY,ulp_91,99.9,104.3,108.9,99.9,4
2003-02-22,SAWYERS VALLEY,ulp_91,99.9,103.6,107.0,99.9,4
2003-02-23,SAWYERS VALLEY,ulp_91,101.9,104.3,106.4,101.9,4
2003-02-24,SAWYERS VALLEY,ulp_91,99.9,102.3,104.4,99.9,4
2003-02-25,SAWYERS VALLEY,ulp_91,99.7,101.7,103.9,99.7,4
2003-02-26,SAWYERS VALLEY,ulp_91,98.9,101.0,102.9,98.9,4
2003-02-27,SAWYERS VALLEY,ulp_91,98.9,100.8,102.9,98.9,4
2003-02-28,SAWYERS VALLEY,ulp_91,98.9,101.3,103.9,98.9,4
2004-01-01,SAWYERS VALLEY,ulp_91,92.5,93.8,96.5,92.5,3
2004-01-02,SAWYERS VALLEY,ulp_91,89.9,91.8,93.9,89.9,3
2004-01-03,SAWYERS VALLEY,ulp_91,89.5,90.8,93.5,89.5,3
2004-01-04,SAWYERS VALLEY,ulp_91,88.3,90.0,92.3,88.3,3
2004-01-05,SAWYERS VALLEY,ulp_91,88.5,90.2,92.5,88.5,3
2004-01-06,SAWYERS VALLEY,ulp_91,93.7,95.8,98.9,93.7,3
2004-01-07,SAWYERS VALLEY,ulp_91,92.9,94.6,97.5,92.9,3
2004-01-08,SAWYERS VALLEY,ulp_91,90.9,92.8,94.9,90.9,3
2004-01-09,SAWYERS VALLEY,ulp_91,89.5,91.2,93.5,89.5,3
2004-01-10,SAWYERS VALLEY,ulp_91,88.9,90.4,92.9,88.9,3
2004-01-11,SAWYERS VALLEY,ulp_91,88.9,90.2,92.9,88.9,3
2004-01-12,SAWYERS VALLEY,ulp_91,88.9,90.2,92.9,88.9,3
