date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-02,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-03,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-04,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-05,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-06,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-07,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-08,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-09,SHELLEY,diesel,87.9,87.9,87.9,87.9,1
2002-01-10,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-11,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-12,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-13,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-14,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-15,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-16,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-17,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-18,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-19,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-20,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-21,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-22,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-23,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-24,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-25,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-26,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-27,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-28,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-29,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-30,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-01-31,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-01,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-02,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-03,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-04,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-05,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-06,SHELLEY,diesel,86.5,86.5,86.5,86.5,1
2002-02-07,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-08,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-09,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-10,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-11,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-12,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-13,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-14,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-15,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-16,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-17,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-18,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-19,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-20,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-21,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-22,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-23,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-24,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-25,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-26,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-27,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2002-02-28,SHELLEY,diesel,83.7,83.7,83.7,83.7,1
2003-01-01,SHELLEY,diesel,94.9,94.9,94.9,94.9,1
2003-01-02,SHELLEY,diesel,94.9,94.9,94.9,94.9,1
2003-01-03,SHELLEY,diesel,94.9,94.9,94.9,94.9,1
2003-01-04,SHELLEY,diesel,94.9,94.9,94.9,94.9,1
2003-01-05,SHELLEY,diesel,95.5,95.5,95.5,95.5,1
2003-01-06,SHELLEY,diesel,95.5,95.5,95.5,95.5,1
2003-01-07,SHELLEY,diesel,95.5,95.5,95.5,95.5,1
2003-01-08,SHELLEY,diesel,95.5,95.5,95.5,95.5,1
2003-01-09,SHELLEY,diesel,95.5,95.5,95.5,95.5,1
2003-01-10,SHELLEY,diesel,95.5,95.5,95.5,95.5,1
