date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SHELLEY,ulp_91,84.7,86.5,88.2,84.7,2
2002-01-02,SHELLEY,ulp_91,82.3,84.0,85.8,82.3,2
2002-01-03,SHELLEY,ulp_91,80.9,82.7,84.4,80.9,2
2002-01-04,SHELLEY,ulp_91,79.5,81.2,83.0,79.5,2
2002-01-05,SHELLEY,ulp_91,78.5,80.2,82.0,78.5,2
2002-01-06,SHELLEY,ulp_91,78.5,80.2,82.0,78.5,2
2002-01-07,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-01-08,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-01-09,SHELLEY,ulp_91,79.9,81.7,83.4,79.9,2
2002-01-10,SHELLEY,ulp_91,85.9,87.7,89.4,85.9,2
2002-01-11,SHELLEY,ulp_91,84.9,86.7,88.4,84.9,2
2002-01-12,SHELLEY,ulp_91,83.2,85.0,86.7,83.2,2
2002-01-13,SHELLEY,ulp_91,82.4,84.2,85.9,82.4,2
2002-01-14,SHELLEY,ulp_91,80.8,82.5,84.3,80.8,2
2002-01-15,SHELLEY,ulp_91,79.9,81.7,83.4,79.9,2
2002-01-16,SHELLEY,ulp_91,78.7,80.5,82.2,78.7,2
2002-01-17,SHELLEY,ulp_91,78.7,80.5,82.2,78.7,2
2002-01-18,SHELLEY,ulp_91,82.7,84.5,86.2,82.7,2
2002-01-19,SHELLEY,ulp_91,81.9,83.7,85.4,81.9,2
2002-01-20,SHELLEY,ulp_91,81.7,83.5,85.2,81.7,2
2002-01-21,SHELLEY,ulp_91,80.4,82.2,83.9,80.4,2
2002-01-22,SHELLEY,ulp_91,79.5,81.2,83.0,79.5,2
2002-01-23,SHELLEY,ulp_91,78.3,80.0,81.8,78.3,2
2002-01-24,SHELLEY,ulp_91,77.5,79.2,81.0,77.5,2
2002-01-25,SHELLEY,ulp_91,84.9,86.7,88.4,84.9,2
2002-01-26,SHELLEY,ulp_91,82.9,84.7,86.4,82.9,2
2002-01-27,SHELLEY,ulp_91,81.8,83.5,85.3,81.8,2
2002-01-28,SHELLEY,ulp_91,80.8,82.5,84.3,80.8,2
2002-01-29,SHELLEY,ulp_91,79.5,81.2,83.0,79.5,2
2002-01-30,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-01-31,SHELLEY,ulp_91,76.5,78.2,80.0,76.5,2
2002-02-01,SHELLEY,ulp_91,81.9,83.7,85.4,81.9,2
2002-02-02,SHELLEY,ulp_91,79.9,81.7,83.4,79.9,2
2002-02-03,SHELLEY,ulp_91,79.9,81.7,83.4,79.9,2
2002-02-04,SHELLEY,ulp_91,79.9,81.7,83.4,79.9,2
2002-02-05,SHELLEY,ulp_91,78.9,80.7,82.4,78.9,2
2002-02-06,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-07,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-08,SHELLEY,ulp_91,76.5,78.2,80.0,76.5,2
2002-02-09,SHELLEY,ulp_91,76.5,78.2,80.0,76.5,2
2002-02-10,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-11,SHELLEY,ulp_91,77.9,79.7,81.4,77.9,2
2002-02-12,SHELLEY,ulp_91,87.7,89.5,91.2,87.7,2
2002-02-13,SHELLEY,ulp_91,86.5,88.2,90.0,86.5,2
2002-02-14,SHELLEY,ulp_91,85.3,87.0,88.8,85.3,2
2002-02-15,SHELLEY,ulp_91,83.7,85.5,87.2,83.7,2
2002-02-16,SHELLEY,ulp_91,81.9,83.7,85.4,81.9,2
2002-02-17,SHELLEY,ulp_91,81.9,83.7,85.4,81.9,2
2002-02-18,SHELLEY,ulp_91,80.9,82.7,84.4,80.9,2
2002-02-19,SHELLEY,ulp_91,80.5,82.2,84.0,80.5,2
2002-02-20,SHELLEY,ulp_91,81.9,83.7,85.4,81.9,2
2002-02-21,SHELLEY,ulp_91,87.9,89.7,91.4,87.9,2
2002-02-22,SHELLEY,ulp_91,85.5,87.2,89.0,85.5,2
2002-02-23,SHELLEY,ulp_91,83.9,85.7,87.4,83.9,2
2002-02-24,SHELLEY,ulp_91,83.9,85.7,87.4,83.9,2
2002-02-25,SHELLEY,ulp_91,82.3,84.0,85.8,82.3,2
2002-02-26,SHELLEY,ulp_91,80.9,82.7,84.4,80.9,2
2002-02-27,SHELLEY,ulp_91,80.5,82.2,84.0,80.5,2
2002-02-28,SHELLEY,ulp_91,80.5,82.2,84.0,80.5,2
2003-01-01,SHELLEY,ulp_91,96.5,98.2,100.0,96.5,2
2003-01-02,SHELLEY,ulp_91,92.9,94.7,96.4,92.9,2
2003-01-03,SHELLEY,ulp_91,91.5,93.2,95.0,91.5,2
2003-01-04,SHELLEY,ulp_91,90.5,92.2,94.0,90.5,2
2003-01-05,SHELLEY,ulp_91,89.5,91.2,93.0,89.5,2
2003-01-06,SHELLEY,ulp_91,88.5,90.2,92.0,88.5,2
2003-01-07,SHELLEY,ulp_91,89.5,91.2,93.0,89.5,2
2003-01-08,SHELLEY,ulp_91,89.5,91.2,93.0,89.5,2
2003-01-09,SHELLEY,ulp_91,94.5,96.2,98.0,94.5,2
2003-01-10,SHELLEY,ulp_91,94.5,96.2,98.0,94.5,2
2003-01-11,SHELLEY,ulp_91,94.5,96.2,98.0,94.5,2
2003-01-12,SHELLEY,ulp_91,94.5,96.2,98.0,94.5,2
2003-01-13,SHELLEY,ulp_91,93.5,95.2,97.0,93.5,2
2003-01-14,SHELLEY,ulp_91,92.9,94.7,96.4,92.9,2
2003-01-15,SHELLEY,ulp_91,91.7,93.5,95.2,91.7,2
2003-01-16,SHELLEY,ulp_91,89.7,91.5,93.2,89.7,2
2003-01-17,SHELLEY,ulp_91,89.7,91.5,93.2,89.7,2
2003-01-18,SHELLEY,ulp_91,89.7,91.5,93.2,89.7,2
2003-01-19,SHELLEY,ulp_91,98.9,100.7,102.4,98.9,2
2003-01-20,SHELLEY,ulp_91,97.9,99.7,101.4,97.9,2
2003-01-21,SHELLEY,ulp_91,96.5,98.2,100.0,96.5,2
2003-01-22,SHELLEY,ulp_91,95.5,97.2,99.0,95.5,2
2003-01-23,SHELLEY,ulp_91,92.9,94.7,96.4,92.9,2
2003-01-24,SHELLEY,ulp_91,92.5,94.2,96.0,92.5,2
2003-01-25,SHELLEY,ulp_91,91.5,93.2,95.0,91.5,2
2003-01-26,SHELLEY,ulp_91,91.5,93.2,95.0,91.5,2
2003-01-27,SHELLEY,ulp_91,91.5,93.2,95.0,91.5,2
2003-01-28,SHELLEY,ulp_91,89.4,91.2,92.9,89.4,2
2003-01-29,SHELLEY,ulp_91,89.4,91.2,92.9,89.4,2
2003-01-30,SHELLEY,ulp_91,98.9,100.7,102.4,98.9,2
2003-01-31,SHELLEY,ulp_91,97.9,99.7,101.4,97.9,2
2003-02-01,SHELLEY,ulp_91,96.3,98.0,99.8,96.3,2
2003-02-02,SHELLEY,ulp_91,96.3,98.0,99.8,96.3,2
2003-02-03,SHELLEY,ulp_91,94.3,96.0,97.8,94.3,2
2003-02-04,SHELLEY,ulp_91,92.5,94.2,96.0,92.5,2
2003-02-05,SHELLEY,ulp_91,92.5,94.2,96.0,92.5,2
2003-02-06,SHELLEY,ulp_91,92.5,94.2,96.0,92.5,2
2003-02-07,SHELLEY,ulp_91,98.5,100.2,102.0,98.5,2
2003-02-08,SHELLEY,ulp_91,97.9,99.7,101.4,97.9,2
2003-02-09,SHELLEY,ulp_91,97.9,99.7,101.4,97.9,2
2003-02-10,SHELLEY,ulp_91,96.7,98.5,100.2,96.7,2
2003-02-11,SHELLEY,ulp_91,95.3,97.0,98.8,95.3,2
2003-02-12,SHELLEY,ulp_91,94.9,96.7,98.4,94.9,2
2003-02-13,SHELLEY,ulp_91,94.9,96.7,98.4,94.9,2
2003-02-14,SHELLEY,ulp_91,95.5,97.2,99.0,95.5,2
2003-02-15,SHELLEY,ulp_91,96.9,98.7,100.4,96.9,2
2003-02-16,SHELLEY,ulp_91,99.9,101.7,103.4,99.9,2
2003-02-17,SHELLEY,ulp_91,99.9,101.7,103.4,99.9,2
2003-02-18,SHELLEY,ulp_91,99.9,101.7,103.4,99.9,2
2003-02-19,SHELLEY,ulp_91,98.5,100.2,102.0,98.5,2
2003-02-20,SHELLEY,ulp_91,98.5,100.2,102.0,98.5,2
2003-02-21,SHELLEY,ulp_91,105.5,107.2,109.0,105.5,2
2003-02-22,SHELLEY,ulp_91,103.9,105.7,107.4,103.9,2
2003-02-23,SHELLEY,ulp_91,103.9,105.7,107.4,103.9,2
2003-02-24,SHELLEY,ulp_91,101.9,103.7,105.4,101.9,2
2003-02-25,SHELLEY,ulp_91,99.5,101.2,103.0,99.5,2
2003-02-26,SHELLEY,ulp_91,98.5,100.2,102.0,98.5,2
2003-02-27,SHELLEY,ulp_91,97.5,99.2,101.0,97.5,2
2003-02-28,SHELLEY,ulp_91,97.5,99.2,101.0,97.5,2
2004-01-01,SHELLEY,ulp_91,93.5,93.5,93.5,93.5,1
2004-01-02,SHELLEY,ulp_91,92.5,92.5,92.5,92.5,1
2004-01-03,SHELLEY,ulp_91,88.9,88.9,88.9,88.9,1
2004-01-04,SHELLEY,ulp_91,88.9,88.9,88.9,88.9,1
2004-01-05,SHELLEY,ulp_91,88.9,88.9,88.9,88.9,1
2004-01-06,SHELLEY,ulp_91,96.7,96.7,96.7,96.7,1
2004-01-07,SHELLEY,ulp_91,93.9,93.9,93.9,93.9,1
2004-01-08,SHELLEY,ulp_91,92.5,92.5,92.5,92.5,1
2004-01-09,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2004-01-10,SHELLEY,ulp_91,89.5,89.5,89.5,89.5,1
2004-01-11,SHELLEY,ulp_91,89.5,89.5,89.5,89.5,1
2004-01-12,SHELLEY,ulp_91,93.9,93.9,93.9,93.9,1
2004-01-13,SHELLEY,ulp_91,97.7,97.7,97.7,97.7,1
2004-01-14,SHELLEY,ulp_91,96.5,96.5,96.5,96.5,1
2004-01-15,SHELLEY,ulp_91,93.9,93.9,93.9,93.9,1
2004-01-16,SHELLEY,ulp_91,91.9,91.9,91.9,91.9,1
2004-01-17,SHELLEY,ulp_91,89.4,89.4,89.4,89.4,1
2004-01-18,SHELLEY,ulp_91,89.4,89.4,89.4,89.4,1
2004-01-19,SHELLEY,ulp_91,90.5,90.5,90.5,90.5,1
2004-01-20,SHELLEY,ulp_91,98.5,98.5,98.5,98.5,1
2004-01-21,SHELLEY,ulp_91,95.9,95.9,95.9,95.9,1
2004-01-22,SHELLEY,ulp_91,94.5,94.5,94.5,94.5,1
2004-01-23,SHELLEY,ulp_91,92.9,92.9,92.9,92.9,1
2004-01-24,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-01-25,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-01-26,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-01-27,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-01-28,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-01-29,SHELLEY,ulp_91,97.9,97.9,97.9,97.9,1
2004-01-30,SHELLEY,ulp_91,95.7,95.7,95.7,95.7,1
2004-01-31,SHELLEY,ulp_91,94.5,94.5,94.5,94.5,1
2004-02-01,SHELLEY,ulp_91,94.5,94.5,94.5,94.5,1
2004-02-02,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-02-03,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2004-02-04,SHELLEY,ulp_91,87.4,87.4,87.4,87.4,1
2004-02-05,SHELLEY,ulp_91,87.4,87.4,87.4,87.4,1
2004-02-06,SHELLEY,ulp_91,86.9,86.9,86.9,86.9,1
2004-02-07,SHELLEY,ulp_91,86.7,86.7,86.7,86.7,1
2004-02-08,SHELLEY,ulp_91,86.7,86.7,86.7,86.7,1
2004-02-09,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2004-02-10,SHELLEY,ulp_91,95.5,95.5,95.5,95.5,1
2004-02-11,SHELLEY,ulp_91,92.9,92.9,92.9,92.9,1
2004-02-12,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2004-02-13,SHELLEY,ulp_91,87.9,87.9,87.9,87.9,1
2004-02-14,SHELLEY,ulp_91,86.9,86.9,86.9,86.9,1
2004-02-15,SHELLEY,ulp_91,86.9,86.9,86.9,86.9,1
2004-02-16,SHELLEY,ulp_91,85.5,85.5,85.5,85.5,1
2004-02-17,SHELLEY,ulp_91,94.5,94.5,94.5,94.5,1
2004-02-18,SHELLEY,ulp_91,92.7,92.7,92.7,92.7,1
2004-02-19,SHELLEY,ulp_91,88.9,88.9,88.9,88.9,1
2004-02-20,SHELLEY,ulp_91,86.9,86.9,86.9,86.9,1
2004-02-21,SHELLEY,ulp_91,84.5,84.5,84.5,84.5,1
2004-02-22,SHELLEY,ulp_91,84.5,84.5,84.5,84.5,1
2004-02-23,SHELLEY,ulp_91,83.7,83.7,83.7,83.7,1
2004-02-24,SHELLEY,ulp_91,87.9,87.9,87.9,87.9,1
2004-02-25,SHELLEY,ulp_91,92.5,92.5,92.5,92.5,1
2004-02-26,SHELLEY,ulp_91,89.7,89.7,89.7,89.7,1
2004-02-27,SHELLEY,ulp_91,87.9,87.9,87.9,87.9,1
2004-02-28,SHELLEY,ulp_91,85.4,85.4,85.4,85.4,1
2004-02-29,SHELLEY,ulp_91,85.4,85.4,85.4,85.4,1
2005-01-01,SHELLEY,ulp_91,92.5,92.5,92.5,92.5,1
2005-01-02,SHELLEY,ulp_91,92.5,92.5,92.5,92.5,1
2005-01-03,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2005-01-04,SHELLEY,ulp_91,91.5,91.5,91.5,91.5,1
2005-01-05,SHELLEY,ulp_91,98.9,98.9,98.9,98.9,1
2005-01-06,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2005-01-07,SHELLEY,ulp_91,92.5,92.5,92.5,92.5,1
2005-01-08,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2005-01-09,SHELLEY,ulp_91,90.9,90.9,90.9,90.9,1
2005-01-10,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2005-01-11,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2005-01-12,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2005-01-13,SHELLEY,ulp_91,94.9,94.9,94.9,94.9,1
2005-01-14,SHELLEY,ulp_91,90.5,90.5,90.5,90.5,1
2005-01-15,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2005-01-16,SHELLEY,ulp_91,89.9,89.9,89.9,89.9,1
2005-01-17,SHELLEY,ulp_91,88.9,88.9,88.9,88.9,1
