date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2025-01-01,SHOALWATER,premium_98,197.8,197.8,197.8,197.8,1
2025-01-02,SHOALWATER,premium_98,197.8,197.8,197.8,197.8,1
2025-01-03,SHOALWATER,premium_98,196.8,196.8,196.8,196.8,1
2025-01-04,SHOALWATER,premium_98,196.8,196.8,196.8,196.8,1
2025-01-05,SHOALWATER,premium_98,196.8,196.8,196.8,196.8,1
2025-01-06,SHOALWATER,premium_98,196.8,196.8,196.8,196.8,1
2025-01-07,SHOALWATER,premium_98,189.8,189.8,189.8,189.8,1
2025-01-08,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-09,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-10,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-11,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-12,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-13,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-14,SHOALWATER,premium_98,189.8,189.8,189.8,189.8,1
2025-01-15,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-16,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-17,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-18,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-19,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-20,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-21,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-22,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-23,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-24,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-25,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-26,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-27,SHOALWATER,premium_98,197.8,197.8,197.8,197.8,1
2025-01-28,SHOALWATER,premium_98,191.8,191.8,191.8,191.8,1
2025-01-29,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-30,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2025-01-31,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2026-01-01,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2026-01-02,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2026-01-03,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2026-01-04,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2026-01-05,SHOALWATER,premium_98,199.8,199.8,199.8,199.8,1
2026-01-06,SHOALWATER,premium_98,188.5,188.5,188.5,188.5,1
2026-01-07,SHOALWATER,premium_98,197.5,197.5,197.5,197.5,1
2026-01-08,SHOALWATER,premium_98,196.5,196.5,196.5,196.5,1
2026-01-09,SHOALWATER,premium_98,196.5,196.5,196.5,196.5,1
2026-01-10,SHOALWATER,premium_98,191.5,191.5,191.5,191.5,1
2026-01-11,SHOALWATER,premium_98,191.5,191.5,191.5,191.5,1
2026-01-12,SHOALWATER,premium_98,191.5,191.5,191.5,191.5,1
2026-01-13,SHOALWATER,premium_98,188.9,188.9,188.9,188.9,1
2026-01-14,SHOALWATER,premium_98,193.9,193.9,193.9,193.9,1
2026-01-15,SHOALWATER,premium_98,193.9,193.9,193.9,193.9,1
2026-01-16,SHOALWATER,premium_98,193.9,193.9,193.9,193.9,1
2026-01-17,SHOALWATER,premium_98,193.9,193.9,193.9,193.9,1
2026-01-18,SHOALWATER,premium_98,185.9,185.9,185.9,185.9,1
2026-01-19,SHOALWATER,premium_98,185.9,185.9,185.9,185.9,1
2026-01-20,SHOALWATER,premium_98,185.9,185.9,185.9,185.9,1
2026-01-21,SHOALWATER,premium_98,185.9,185.9,185.9,185.9,1
2026-01-22,SHOALWATER,premium_98,192.9,192.9,192.9,192.9,1
2026-01-23,SHOALWATER,premium_98,195.9,195.9,195.9,195.9,1
2026-01-24,SHOALWATER,premium_98,195.9,195.9,195.9,195.9,1
2026-01-25,SHOALWATER,premium_98,195.9,195.9,195.9,195.9,1
2026-01-26,SHOALWATER,premium_98,193.5,193.5,193.5,193.5,1
2026-01-27,SHOALWATER,premium_98,189.9,189.9,189.9,189.9,1
2026-01-28,SHOALWATER,premium_98,193.9,193.9,193.9,193.9,1
2026-01-29,SHOALWATER,premium_98,193.9,193.9,193.9,193.9,1
2026-01-30,SHOALWATER,premium_98,185.9,185.9,185.9,185.9,1
2026-01-31,SHOALWATER,premium_98,185.9,185.9,185.9,185.9,1
