date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2025-01-01,SHOALWATER,ulp_91,178.9,178.9,178.9,178.9,1
2025-01-02,SHOALWATER,ulp_91,178.9,178.9,178.9,178.9,1
2025-01-03,SHOALWATER,ulp_91,176.8,176.8,176.8,176.8,1
2025-01-04,SHOALWATER,ulp_91,176.8,176.8,176.8,176.8,1
2025-01-05,SHOALWATER,ulp_91,176.8,176.8,176.8,176.8,1
2025-01-06,SHOALWATER,ulp_91,176.8,176.8,176.8,176.8,1
2025-01-07,SHOALWATER,ulp_91,165.8,165.8,165.8,165.8,1
2025-01-08,SHOALWATER,ulp_91,177.8,177.8,177.8,177.8,1
2025-01-09,SHOALWATER,ulp_91,177.8,177.8,177.8,177.8,1
2025-01-10,SHOALWATER,ulp_91,177.8,177.8,177.8,177.8,1
2025-01-11,SHOALWATER,ulp_91,177.8,177.8,177.8,177.8,1
2025-01-12,SHOALWATER,ulp_91,177.8,177.8,177.8,177.8,1
2025-01-13,SHOALWATER,ulp_91,177.8,177.8,177.8,177.8,1
2025-01-14,SHOALWATER,ulp_91,166.8,166.8,166.8,166.8,1
2025-01-15,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-16,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-17,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-18,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-19,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-20,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-21,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-22,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-23,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-24,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-25,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-26,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-27,SHOALWATER,ulp_91,174.8,174.8,174.8,174.8,1
2025-01-28,SHOALWATER,ulp_91,169.8,169.8,169.8,169.8,1
2025-01-29,SHOALWATER,ulp_91,176.8,176.8,176.8,176.8,1
2025-01-30,SHOALWATER,ulp_91,179.8,179.8,179.8,179.8,1
2025-01-31,SHOALWATER,ulp_91,179.8,179.8,179.8,179.8,1
2026-01-01,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-02,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-03,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-04,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-05,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-06,SHOALWATER,ulp_91,163.9,163.9,163.9,163.9,1
2026-01-07,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-08,SHOALWATER,ulp_91,173.5,173.5,173.5,173.5,1
2026-01-09,SHOALWATER,ulp_91,173.5,173.5,173.5,173.5,1
2026-01-10,SHOALWATER,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-11,SHOALWATER,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-12,SHOALWATER,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-13,SHOALWATER,ulp_91,159.9,159.9,159.9,159.9,1
2026-01-14,SHOALWATER,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-15,SHOALWATER,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-16,SHOALWATER,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-17,SHOALWATER,ulp_91,167.5,167.5,167.5,167.5,1
2026-01-18,SHOALWATER,ulp_91,161.9,161.9,161.9,161.9,1
2026-01-19,SHOALWATER,ulp_91,161.9,161.9,161.9,161.9,1
2026-01-20,SHOALWATER,ulp_91,161.9,161.9,161.9,161.9,1
2026-01-21,SHOALWATER,ulp_91,160.9,160.9,160.9,160.9,1
2026-01-22,SHOALWATER,ulp_91,167.5,167.5,167.5,167.5,1
2026-01-23,SHOALWATER,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-24,SHOALWATER,ulp_91,172.5,172.5,172.5,172.5,1
2026-01-25,SHOALWATER,ulp_91,172.5,172.5,172.5,172.5,1
2026-01-26,SHOALWATER,ulp_91,167.5,167.5,167.5,167.5,1
2026-01-27,SHOALWATER,ulp_91,161.9,161.9,161.9,161.9,1
2026-01-28,SHOALWATER,ulp_91,172.9,172.9,172.9,172.9,1
2026-01-29,SHOALWATER,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-30,SHOALWATER,ulp_91,162.5,162.5,162.5,162.5,1
2026-01-31,SHOALWATER,ulp_91,162.5,162.5,162.5,162.5,1
