date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTH FREMANTLE,lpg,41.5,41.5,41.5,41.5,1
2002-01-02,SOUTH FREMANTLE,lpg,41.5,41.5,41.5,41.5,1
2002-01-03,SOUTH FREMANTLE,lpg,41.5,41.5,41.5,41.5,1
2002-01-04,SOUTH FREMANTLE,lpg,41.5,41.5,41.5,41.5,1
2002-01-05,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-01-06,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-01-07,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-01-08,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-01-09,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-01-10,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-01-11,SOUTH FREMANTLE,lpg,46.9,46.9,46.9,46.9,1
2002-01-12,SOUTH FREMANTLE,lpg,46.9,46.9,46.9,46.9,1
2002-01-13,SOUTH FREMANTLE,lpg,46.9,46.9,46.9,46.9,1
2002-01-14,SOUTH FREMANTLE,lpg,46.9,46.9,46.9,46.9,1
2002-01-15,SOUTH FREMANTLE,lpg,46.9,46.9,46.9,46.9,1
2002-01-16,SOUTH FREMANTLE,lpg,46.5,46.5,46.5,46.5,1
2002-01-17,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-18,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-19,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-20,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-21,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-22,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-23,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-24,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-25,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-26,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-27,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-28,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-29,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-30,SOUTH FREMANTLE,lpg,43.5,43.5,43.5,43.5,1
2002-01-31,SOUTH FREMANTLE,lpg,42.9,42.9,42.9,42.9,1
2002-02-01,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-02,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-03,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-04,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-05,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-06,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-07,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-08,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-12,SOUTH FREMANTLE,lpg,42.5,42.5,42.5,42.5,1
2002-02-13,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-14,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-15,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-16,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-17,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-18,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-19,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-20,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-21,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-22,SOUTH FREMANTLE,lpg,41.3,41.3,41.3,41.3,1
2002-02-23,SOUTH FREMANTLE,lpg,40.9,40.9,40.9,40.9,1
2002-02-24,SOUTH FREMANTLE,lpg,39.9,39.9,39.9,39.9,1
2002-02-25,SOUTH FREMANTLE,lpg,39.9,39.9,39.9,39.9,1
2002-02-26,SOUTH FREMANTLE,lpg,39.9,39.9,39.9,39.9,1
2002-02-27,SOUTH FREMANTLE,lpg,39.9,39.9,39.9,39.9,1
2002-02-28,SOUTH FREMANTLE,lpg,39.9,39.9,39.9,39.9,1
2003-01-01,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-02,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-03,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-04,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-05,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-06,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-07,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-08,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-09,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-10,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-11,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-12,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-13,SOUTH FREMANTLE,lpg,48.5,48.5,48.5,48.5,1
2003-01-14,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-15,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-16,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-17,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-18,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-19,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-20,SOUTH FREMANTLE,lpg,48.9,48.9,48.9,48.9,1
2003-01-21,SOUTH FREMANTLE,lpg,55.9,55.9,55.9,55.9,1
2003-01-22,SOUTH FREMANTLE,lpg,55.9,55.9,55.9,55.9,1
2003-01-23,SOUTH FREMANTLE,lpg,54.5,54.5,54.5,54.5,1
2003-01-24,SOUTH FREMANTLE,lpg,53.5,53.5,53.5,53.5,1
2003-01-25,SOUTH FREMANTLE,lpg,52.9,52.9,52.9,52.9,1
2003-01-26,SOUTH FREMANTLE,lpg,52.9,52.9,52.9,52.9,1
2003-01-27,SOUTH FREMANTLE,lpg,52.9,52.9,52.9,52.9,1
2003-01-28,SOUTH FREMANTLE,lpg,52.9,52.9,52.9,52.9,1
2003-01-29,SOUTH FREMANTLE,lpg,52.5,52.5,52.5,52.5,1
2003-01-30,SOUTH FREMANTLE,lpg,49.9,49.9,49.9,49.9,1
2003-01-31,SOUTH FREMANTLE,lpg,49.9,49.9,49.9,49.9,1
2003-02-01,SOUTH FREMANTLE,lpg,49.5,49.5,49.5,49.5,1
2003-02-02,SOUTH FREMANTLE,lpg,49.5,49.5,49.5,49.5,1
2003-02-03,SOUTH FREMANTLE,lpg,49.5,49.5,49.5,49.5,1
2003-02-04,SOUTH FREMANTLE,lpg,49.5,49.5,49.5,49.5,1
