date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTH FREMANTLE,ulp_91,79.5,83.1,87.0,79.5,4
2002-01-02,SOUTH FREMANTLE,ulp_91,79.5,82.0,84.8,79.5,4
2002-01-03,SOUTH FREMANTLE,ulp_91,78.9,80.8,83.0,78.9,4
2002-01-04,SOUTH FREMANTLE,ulp_91,77.9,79.7,81.4,77.9,4
2002-01-05,SOUTH FREMANTLE,ulp_91,77.9,79.7,81.4,77.9,4
2002-01-06,SOUTH FREMANTLE,ulp_91,77.9,79.7,81.4,77.9,4
2002-01-07,SOUTH FREMANTLE,ulp_91,77.5,79.3,81.0,77.5,4
2002-01-08,SOUTH FREMANTLE,ulp_91,76.9,78.8,81.0,76.9,4
2002-01-09,SOUTH FREMANTLE,ulp_91,76.9,80.0,83.4,76.9,4
2002-01-10,SOUTH FREMANTLE,ulp_91,79.9,84.3,89.0,79.9,4
2002-01-11,SOUTH FREMANTLE,ulp_91,79.7,83.7,87.5,79.7,4
2002-01-12,SOUTH FREMANTLE,ulp_91,79.7,83.2,86.5,79.7,4
2002-01-13,SOUTH FREMANTLE,ulp_91,78.9,80.9,83.2,78.9,4
2002-01-14,SOUTH FREMANTLE,ulp_91,78.9,80.9,83.2,78.9,4
2002-01-15,SOUTH FREMANTLE,ulp_91,78.2,80.2,82.4,78.2,4
2002-01-16,SOUTH FREMANTLE,ulp_91,77.9,79.7,81.7,77.9,4
2002-01-17,SOUTH FREMANTLE,ulp_91,76.5,78.8,81.4,76.5,4
2002-01-18,SOUTH FREMANTLE,ulp_91,77.9,82.3,86.5,77.9,4
2002-01-19,SOUTH FREMANTLE,ulp_91,81.9,83.7,85.8,81.9,4
2002-01-20,SOUTH FREMANTLE,ulp_91,80.7,82.6,84.8,80.7,4
2002-01-21,SOUTH FREMANTLE,ulp_91,79.9,81.5,83.4,79.9,4
2002-01-22,SOUTH FREMANTLE,ulp_91,78.9,80.5,82.4,78.9,4
2002-01-23,SOUTH FREMANTLE,ulp_91,77.3,79.1,81.2,77.3,4
2002-01-24,SOUTH FREMANTLE,ulp_91,76.3,78.5,81.0,76.3,4
