date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTH LAKE,diesel,83.5,86.4,88.9,83.5,3
2002-01-02,SOUTH LAKE,diesel,83.5,86.4,88.9,83.5,3
2002-01-03,SOUTH LAKE,diesel,83.5,86.4,88.9,83.5,3
2002-01-04,SOUTH LAKE,diesel,82.9,86.2,88.9,82.9,3
2002-01-05,SOUTH LAKE,diesel,82.9,86.2,88.9,82.9,3
2002-01-06,SOUTH LAKE,diesel,82.9,86.2,88.9,82.9,3
2002-01-07,SOUTH LAKE,diesel,82.9,86.2,88.9,82.9,3
2002-01-08,SOUTH LAKE,diesel,82.9,86.2,88.9,82.9,3
2002-01-09,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-10,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-11,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-12,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-13,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-14,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-15,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-16,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-17,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-18,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-19,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-20,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-21,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-22,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-23,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-24,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-25,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-26,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-27,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-28,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-29,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-30,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-01-31,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-02-01,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-02-02,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-02-03,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-02-04,SOUTH LAKE,diesel,82.9,85.6,86.9,82.9,3
2002-02-05,SOUTH LAKE,diesel,82.9,84.6,86.9,82.9,3
2002-02-06,SOUTH LAKE,diesel,82.9,84.6,86.9,82.9,3
2002-02-07,SOUTH LAKE,diesel,82.9,84.6,86.9,82.9,3
2002-02-08,SOUTH LAKE,diesel,82.9,84.6,86.9,82.9,3
2002-02-09,SOUTH LAKE,diesel,82.9,84.6,86.9,82.9,3
