date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTH LAKE,premium_98,88.9,88.9,88.9,88.9,1
2002-01-02,SOUTH LAKE,premium_98,88.5,88.5,88.5,88.5,1
2002-01-03,SOUTH LAKE,premium_98,86.3,86.3,86.3,86.3,1
2002-01-04,SOUTH LAKE,premium_98,84.7,84.7,84.7,84.7,1
2002-01-05,SOUTH LAKE,premium_98,84.5,84.5,84.5,84.5,1
2002-01-06,SOUTH LAKE,premium_98,83.5,83.5,83.5,83.5,1
2002-01-07,SOUTH LAKE,premium_98,83.5,83.5,83.5,83.5,1
2002-01-08,SOUTH LAKE,premium_98,82.3,82.3,82.3,82.3,1
2002-01-09,SOUTH LAKE,premium_98,92.9,92.9,92.9,92.9,1
2002-01-10,SOUTH LAKE,premium_98,92.5,92.5,92.5,92.5,1
2002-01-11,SOUTH LAKE,premium_98,90.9,90.9,90.9,90.9,1
2002-01-12,SOUTH LAKE,premium_98,89.3,89.3,89.3,89.3,1
2002-01-13,SOUTH LAKE,premium_98,87.9,87.9,87.9,87.9,1
2002-01-14,SOUTH LAKE,premium_98,86.3,86.3,86.3,86.3,1
2002-01-15,SOUTH LAKE,premium_98,85.3,85.3,85.3,85.3,1
2002-01-16,SOUTH LAKE,premium_98,83.5,83.5,83.5,83.5,1
2002-01-17,SOUTH LAKE,premium_98,82.3,82.3,82.3,82.3,1
2002-01-18,SOUTH LAKE,premium_98,89.5,89.5,89.5,89.5,1
2002-01-19,SOUTH LAKE,premium_98,88.3,88.3,88.3,88.3,1
2002-01-20,SOUTH LAKE,premium_98,87.5,87.5,87.5,87.5,1
2002-01-21,SOUTH LAKE,premium_98,85.9,85.9,85.9,85.9,1
2002-01-22,SOUTH LAKE,premium_98,84.5,84.5,84.5,84.5,1
2002-01-23,SOUTH LAKE,premium_98,83.3,83.3,83.3,83.3,1
2002-01-24,SOUTH LAKE,premium_98,81.7,81.7,81.7,81.7,1
