date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTH LAKE,ulp_91,82.9,84.7,87.1,82.9,6
2002-01-02,SOUTH LAKE,ulp_91,80.9,83.4,85.5,80.9,6
2002-01-03,SOUTH LAKE,ulp_91,79.5,81.8,84.6,79.5,6
2002-01-04,SOUTH LAKE,ulp_91,77.7,80.1,82.0,77.7,6
2002-01-05,SOUTH LAKE,ulp_91,76.9,79.2,81.5,76.9,6
2002-01-06,SOUTH LAKE,ulp_91,76.5,78.8,81.5,76.5,6
2002-01-07,SOUTH LAKE,ulp_91,75.9,78.3,80.5,75.9,6
2002-01-08,SOUTH LAKE,ulp_91,75.5,81.5,91.3,75.5,6
2002-01-09,SOUTH LAKE,ulp_91,75.5,84.8,90.8,75.5,6
2002-01-10,SOUTH LAKE,ulp_91,85.5,87.7,90.4,85.5,6
2002-01-11,SOUTH LAKE,ulp_91,83.9,85.9,87.9,83.9,6
2002-01-12,SOUTH LAKE,ulp_91,82.7,84.7,86.4,82.7,6
2002-01-13,SOUTH LAKE,ulp_91,81.3,83.1,84.9,81.3,6
2002-01-14,SOUTH LAKE,ulp_91,79.9,81.7,83.8,79.9,6
2002-01-15,SOUTH LAKE,ulp_91,78.5,80.5,82.8,78.5,6
2002-01-16,SOUTH LAKE,ulp_91,76.9,79.0,81.2,76.9,6
2002-01-17,SOUTH LAKE,ulp_91,75.9,78.0,80.8,75.9,6
2002-01-18,SOUTH LAKE,ulp_91,82.9,85.0,87.3,82.9,6
2002-01-19,SOUTH LAKE,ulp_91,81.7,83.6,85.7,81.7,6
2002-01-20,SOUTH LAKE,ulp_91,80.5,82.9,85.7,80.5,6
2002-01-21,SOUTH LAKE,ulp_91,79.2,81.4,84.1,79.2,6
2002-01-22,SOUTH LAKE,ulp_91,77.8,79.8,82.3,77.8,6
2002-01-23,SOUTH LAKE,ulp_91,76.5,78.6,80.8,76.5,6
2002-01-24,SOUTH LAKE,ulp_91,75.5,77.3,79.8,75.5,6
2002-01-25,SOUTH LAKE,ulp_91,75.7,83.1,88.4,75.7,6
2002-01-26,SOUTH LAKE,ulp_91,82.9,84.8,86.6,82.9,6
2002-01-27,SOUTH LAKE,ulp_91,81.3,83.2,84.9,81.3,6
2002-01-28,SOUTH LAKE,ulp_91,79.2,81.3,83.6,79.2,6
2002-01-29,SOUTH LAKE,ulp_91,78.3,80.0,82.4,78.3,6
2002-01-30,SOUTH LAKE,ulp_91,77.1,78.9,81.5,77.1,6
2002-01-31,SOUTH LAKE,ulp_91,76.2,80.0,85.5,76.2,6
2002-02-01,SOUTH LAKE,ulp_91,75.9,83.0,90.3,75.9,6
2002-02-02,SOUTH LAKE,ulp_91,80.9,84.5,90.3,80.9,6
2002-02-03,SOUTH LAKE,ulp_91,79.5,82.1,86.0,79.5,6
2002-02-04,SOUTH LAKE,ulp_91,78.9,80.7,83.3,78.9,6
