date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SOUTHERN RIVER,premium_98,87.9,87.9,87.9,87.9,1
2002-01-02,SOUTHERN RIVER,premium_98,87.5,87.5,87.5,87.5,1
2002-01-03,SOUTHERN RIVER,premium_98,85.9,85.9,85.9,85.9,1
2002-01-04,SOUTHERN RIVER,premium_98,84.7,84.7,84.7,84.7,1
2002-01-05,SOUTHERN RIVER,premium_98,83.6,83.6,83.6,83.6,1
2002-01-06,SOUTHERN RIVER,premium_98,83.6,83.6,83.6,83.6,1
2002-01-07,SOUTHERN RIVER,premium_98,83.6,83.6,83.6,83.6,1
2002-01-08,SOUTHERN RIVER,premium_98,81.3,81.3,81.3,81.3,1
2002-01-09,SOUTHERN RIVER,premium_98,91.9,91.9,91.9,91.9,1
2002-01-10,SOUTHERN RIVER,premium_98,91.5,91.5,91.5,91.5,1
2002-01-11,SOUTHERN RIVER,premium_98,89.5,89.5,89.5,89.5,1
2002-01-12,SOUTHERN RIVER,premium_98,88.3,88.3,88.3,88.3,1
2002-01-13,SOUTHERN RIVER,premium_98,87.4,87.4,87.4,87.4,1
2002-01-14,SOUTHERN RIVER,premium_98,85.8,85.8,85.8,85.8,1
2002-01-15,SOUTHERN RIVER,premium_98,84.7,84.7,84.7,84.7,1
2002-01-16,SOUTHERN RIVER,premium_98,83.5,83.5,83.5,83.5,1
2002-01-17,SOUTHERN RIVER,premium_98,82.3,82.3,82.3,82.3,1
2002-01-18,SOUTHERN RIVER,premium_98,87.9,87.9,87.9,87.9,1
2002-01-19,SOUTHERN RIVER,premium_98,87.3,87.3,87.3,87.3,1
2002-01-20,SOUTHERN RIVER,premium_98,86.5,86.5,86.5,86.5,1
2002-01-21,SOUTHERN RIVER,premium_98,85.9,85.9,85.9,85.9,1
2002-01-22,SOUTHERN RIVER,premium_98,83.9,83.9,83.9,83.9,1
2002-01-23,SOUTHERN RIVER,premium_98,82.5,82.5,82.5,82.5,1
