date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,SPEARWOOD,diesel,84.9,86.4,88.9,84.9,3
2002-01-02,SPEARWOOD,diesel,84.9,86.4,88.9,84.9,3
2002-01-03,SPEARWOOD,diesel,84.5,86.1,88.9,84.5,3
2002-01-04,SPEARWOOD,diesel,84.5,86.1,88.9,84.5,3
2002-01-05,SPEARWOOD,diesel,84.5,86.1,88.9,84.5,3
2002-01-06,SPEARWOOD,diesel,84.5,86.1,88.9,84.5,3
2002-01-07,SPEARWOOD,diesel,84.5,86.1,88.9,84.5,3
2002-01-08,SPEARWOOD,diesel,84.5,86.1,88.9,84.5,3
2002-01-09,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-10,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-11,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-12,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-13,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-14,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-15,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-16,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-17,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-18,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-19,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-20,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-21,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-22,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-23,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-24,SPEARWOOD,diesel,84.5,85.4,86.9,84.5,3
2002-01-25,SPEARWOOD,diesel,84.5,85.3,86.9,84.5,3
2002-01-26,SPEARWOOD,diesel,84.5,85.3,86.9,84.5,3
2002-01-27,SPEARWOOD,diesel,84.5,85.3,86.9,84.5,3
2002-01-28,SPEARWOOD,diesel,84.5,85.3,86.9,84.5,3
2002-01-29,SPEARWOOD,diesel,84.5,85.3,86.9,84.5,3
2002-01-30,SPEARWOOD,diesel,83.9,85.1,86.9,83.9,3
2002-01-31,SPEARWOOD,diesel,83.9,85.1,86.9,83.9,3
2002-02-01,SPEARWOOD,diesel,83.9,85.1,86.9,83.9,3
2002-02-02,SPEARWOOD,diesel,83.9,85.1,86.9,83.9,3
2002-02-03,SPEARWOOD,diesel,83.9,85.1,86.9,83.9,3
2002-02-04,SPEARWOOD,diesel,83.9,85.1,86.9,83.9,3
2002-02-05,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-06,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-07,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-08,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-09,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-10,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-11,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-12,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-13,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-14,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-15,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-16,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-17,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-18,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-19,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
2002-02-20,SPEARWOOD,diesel,83.9,84.1,84.5,83.9,3
