date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2025-01-01,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2025-01-02,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2025-01-03,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2025-01-04,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2025-01-05,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2025-01-06,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2025-01-07,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-08,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-09,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-10,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-11,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-12,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-13,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-14,STAKE HILL,diesel,181.6,181.6,181.6,181.6,1
2025-01-15,STAKE HILL,diesel,184.5,184.5,184.5,184.5,1
2025-01-16,STAKE HILL,diesel,184.5,184.5,184.5,184.5,1
2025-01-17,STAKE HILL,diesel,186.5,186.5,186.5,186.5,1
2025-01-18,STAKE HILL,diesel,186.5,186.5,186.5,186.5,1
2025-01-19,STAKE HILL,diesel,186.5,186.5,186.5,186.5,1
2025-01-20,STAKE HILL,diesel,186.5,186.5,186.5,186.5,1
2025-01-21,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-22,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-23,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-24,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-25,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-26,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-27,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-28,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-29,STAKE HILL,diesel,189.5,189.5,189.5,189.5,1
2025-01-30,STAKE HILL,diesel,184.5,184.5,184.5,184.5,1
2025-01-31,STAKE HILL,diesel,184.5,184.5,184.5,184.5,1
2026-01-01,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
2026-01-02,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
2026-01-03,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
2026-01-04,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
2026-01-05,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
2026-01-06,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
2026-01-07,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-08,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-09,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-10,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-11,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-12,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-13,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-14,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-15,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-16,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-17,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-18,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-19,STAKE HILL,diesel,172.9,172.9,172.9,172.9,1
2026-01-20,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-21,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-22,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-23,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-24,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-25,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-26,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-27,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-28,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-29,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-30,STAKE HILL,diesel,174.9,174.9,174.9,174.9,1
2026-01-31,STAKE HILL,diesel,176.9,176.9,176.9,176.9,1
