date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2006-01-01,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-02,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-03,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-04,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-05,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-06,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-07,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-08,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-09,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-10,STOVE HILL,premium_95,138.9,138.9,138.9,138.9,1
2006-01-11,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-12,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-13,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-14,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-15,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-16,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-17,STOVE HILL,premium_95,142.9,142.9,142.9,142.9,1
2006-01-18,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-19,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-20,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-21,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-22,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-23,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-24,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-25,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-26,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-27,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-28,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-29,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-30,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-01-31,STOVE HILL,premium_95,144.9,144.9,144.9,144.9,1
2006-02-01,STOVE HILL,premium_95,146.9,146.9,146.9,146.9,1
2006-02-02,STOVE HILL,premium_95,146.9,146.9,146.9,146.9,1
2006-02-03,STOVE HILL,premium_95,146.9,146.9,146.9,146.9,1
2006-02-04,STOVE HILL,premium_95,146.9,146.9,146.9,146.9,1
