date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2007-02-21,STRATTON,premium_98,125.9,125.9,125.9,125.9,1
2007-02-22,STRATTON,premium_98,124.9,124.9,124.9,124.9,1
2007-02-23,STRATTON,premium_98,123.9,123.9,123.9,123.9,1
2007-02-24,STRATTON,premium_98,122.9,122.9,122.9,122.9,1
2007-02-25,STRATTON,premium_98,122.9,122.9,122.9,122.9,1
2007-02-26,STRATTON,premium_98,121.9,121.9,121.9,121.9,1
2007-02-27,STRATTON,premium_98,132.9,132.9,132.9,132.9,1
2007-02-28,STRATTON,premium_98,131.9,131.9,131.9,131.9,1
2008-01-01,STRATTON,premium_98,142.9,143.4,143.9,142.9,2
2008-01-02,STRATTON,premium_98,142.9,143.4,143.9,142.9,2
2008-01-03,STRATTON,premium_98,143.9,150.4,156.9,143.9,2
2008-01-04,STRATTON,premium_98,143.9,150.4,156.9,143.9,2
2008-01-05,STRATTON,premium_98,154.9,155.9,156.9,154.9,2
2008-01-06,STRATTON,premium_98,153.9,154.4,154.9,153.9,2
2008-01-07,STRATTON,premium_98,151.9,152.7,153.5,151.9,2
2008-01-08,STRATTON,premium_98,151.5,151.5,151.5,151.5,2
2008-01-09,STRATTON,premium_98,150.5,151.2,151.9,150.5,2
2008-01-10,STRATTON,premium_98,149.5,150.2,150.9,149.5,2
2008-01-11,STRATTON,premium_98,147.9,148.9,149.8,147.9,2
2008-01-12,STRATTON,premium_98,147.9,148.2,148.5,147.9,2
2008-01-13,STRATTON,premium_98,147.9,147.9,147.9,147.9,2
2008-01-14,STRATTON,premium_98,145.9,146.9,147.9,145.9,2
2008-01-15,STRATTON,premium_98,145.9,146.2,146.5,145.9,2
2008-01-16,STRATTON,premium_98,144.9,145.4,145.9,144.9,2
2008-01-17,STRATTON,premium_98,144.9,145.4,145.9,144.9,2
2008-01-18,STRATTON,premium_98,145.9,151.4,156.9,145.9,2
2008-01-19,STRATTON,premium_98,151.9,154.4,156.9,151.9,2
2008-01-20,STRATTON,premium_98,146.9,149.4,151.9,146.9,2
2008-01-21,STRATTON,premium_98,150.9,151.7,152.5,150.9,2
2008-01-22,STRATTON,premium_98,150.9,150.9,150.9,150.9,2
2008-01-23,STRATTON,premium_98,148.9,149.7,150.5,148.9,2
2008-01-24,STRATTON,premium_98,146.9,147.7,148.5,146.9,2
2008-01-25,STRATTON,premium_98,145.5,146.5,147.5,145.5,2
2008-01-26,STRATTON,premium_98,144.9,145.1,145.2,144.9,2
2008-01-27,STRATTON,premium_98,144.9,145.1,145.2,144.9,2
2008-01-28,STRATTON,premium_98,144.9,145.1,145.2,144.9,2
2008-01-29,STRATTON,premium_98,143.9,144.6,145.2,143.9,2
2008-01-30,STRATTON,premium_98,143.9,144.2,144.5,143.9,2
2008-01-31,STRATTON,premium_98,140.9,141.9,142.9,140.9,2
2008-02-01,STRATTON,premium_98,139.9,140.4,140.9,139.9,2
2008-02-02,STRATTON,premium_98,139.9,140.2,140.5,139.9,2
2008-02-03,STRATTON,premium_98,139.9,140.2,140.5,139.9,2
2008-02-04,STRATTON,premium_98,139.9,140.9,141.9,139.9,2
2008-02-05,STRATTON,premium_98,139.5,140.7,141.9,139.5,2
2008-02-06,STRATTON,premium_98,139.5,140.7,141.9,139.5,2
2008-02-07,STRATTON,premium_98,141.9,147.9,153.9,141.9,2
2008-02-08,STRATTON,premium_98,141.9,147.2,152.5,141.9,2
2008-02-09,STRATTON,premium_98,140.9,141.4,141.9,140.9,2
2008-02-10,STRATTON,premium_98,149.9,149.9,149.9,149.9,2
2008-02-11,STRATTON,premium_98,148.9,149.4,149.9,148.9,2
2008-02-12,STRATTON,premium_98,147.8,147.9,147.9,147.8,2
2008-02-13,STRATTON,premium_98,147.2,147.6,147.9,147.2,2
2008-02-14,STRATTON,premium_98,146.5,147.2,147.9,146.5,2
2008-02-15,STRATTON,premium_98,140.9,142.9,144.8,140.9,2
2008-02-16,STRATTON,premium_98,140.9,141.4,141.8,140.9,2
2008-02-17,STRATTON,premium_98,140.5,140.7,140.9,140.5,2
