date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,STRATTON,ulp_91,83.9,85.7,87.9,83.9,4
2002-01-02,STRATTON,ulp_91,80.9,84.2,86.9,80.9,4
2002-01-03,STRATTON,ulp_91,80.9,84.2,86.9,80.9,4
2002-01-04,STRATTON,ulp_91,79.9,83.7,86.9,79.9,4
2002-01-05,STRATTON,ulp_91,78.9,83.2,86.9,78.9,4
2002-01-06,STRATTON,ulp_91,78.9,83.2,86.9,78.9,4
2002-01-07,STRATTON,ulp_91,77.9,82.7,86.9,77.9,4
2002-01-08,STRATTON,ulp_91,83.9,87.7,91.9,83.9,4
2002-01-09,STRATTON,ulp_91,83.9,87.7,91.9,83.9,4
2002-01-10,STRATTON,ulp_91,85.9,87.7,89.9,85.9,4
2002-01-11,STRATTON,ulp_91,82.9,86.2,88.9,82.9,4
2002-01-12,STRATTON,ulp_91,82.9,86.2,88.9,82.9,4
2002-01-13,STRATTON,ulp_91,81.9,85.7,88.9,81.9,4
2002-01-14,STRATTON,ulp_91,80.9,85.2,88.9,80.9,4
2002-01-15,STRATTON,ulp_91,79.9,83.7,86.9,79.9,4
2002-01-16,STRATTON,ulp_91,78.9,83.2,86.9,78.9,4
2002-01-17,STRATTON,ulp_91,83.9,86.7,89.9,83.9,4
2002-01-18,STRATTON,ulp_91,83.9,86.7,89.9,83.9,4
2002-01-19,STRATTON,ulp_91,82.9,85.2,86.9,82.9,4
2002-01-20,STRATTON,ulp_91,82.9,85.2,86.9,82.9,4
2002-01-21,STRATTON,ulp_91,80.9,84.2,86.9,80.9,4
2002-01-22,STRATTON,ulp_91,79.9,83.7,86.9,79.9,4
2002-01-23,STRATTON,ulp_91,77.9,81.7,84.9,77.9,4
2002-01-24,STRATTON,ulp_91,81.9,85.7,89.9,81.9,4
2002-01-25,STRATTON,ulp_91,84.9,86.7,88.9,84.9,4
2002-01-26,STRATTON,ulp_91,82.9,85.7,87.9,82.9,4
2002-01-27,STRATTON,ulp_91,81.9,85.2,87.9,81.9,4
2002-01-28,STRATTON,ulp_91,79.9,84.2,87.9,79.9,4
2002-01-29,STRATTON,ulp_91,78.9,83.7,87.9,78.9,4
2002-01-30,STRATTON,ulp_91,77.9,82.2,85.9,77.9,4
2002-01-31,STRATTON,ulp_91,76.9,81.7,85.9,76.9,4
2002-02-01,STRATTON,ulp_91,82.9,86.7,90.9,82.9,4
2002-02-02,STRATTON,ulp_91,82.9,86.7,90.9,82.9,4
2002-02-03,STRATTON,ulp_91,82.9,85.7,87.9,82.9,4
2002-02-04,STRATTON,ulp_91,79.9,84.2,87.9,79.9,4
2002-02-05,STRATTON,ulp_91,78.9,83.2,86.9,78.9,4
2002-02-06,STRATTON,ulp_91,77.9,82.7,86.9,77.9,4
2002-02-07,STRATTON,ulp_91,76.9,82.2,86.9,76.9,4
2002-02-08,STRATTON,ulp_91,76.9,82.2,86.9,76.9,4
2002-02-09,STRATTON,ulp_91,76.9,82.2,86.9,76.9,4
2002-02-10,STRATTON,ulp_91,76.9,82.2,86.9,76.9,4
2002-02-11,STRATTON,ulp_91,83.9,88.7,93.9,83.9,4
2002-02-12,STRATTON,ulp_91,83.9,87.7,91.9,83.9,4
2002-02-13,STRATTON,ulp_91,86.9,88.7,90.9,86.9,4
2002-02-14,STRATTON,ulp_91,84.9,87.7,89.9,84.9,4
2002-02-15,STRATTON,ulp_91,83.9,87.2,89.9,83.9,4
2002-02-16,STRATTON,ulp_91,82.9,86.7,89.9,82.9,4
2002-02-17,STRATTON,ulp_91,80.9,85.7,89.9,80.9,4
2002-02-18,STRATTON,ulp_91,80.9,85.7,89.9,80.9,4
2002-02-19,STRATTON,ulp_91,85.9,90.7,95.9,85.9,4
2002-02-20,STRATTON,ulp_91,85.9,90.2,94.9,85.9,4
2002-02-21,STRATTON,ulp_91,87.9,90.2,92.9,87.9,4
2002-02-22,STRATTON,ulp_91,86.9,89.2,90.9,86.9,4
2002-02-23,STRATTON,ulp_91,84.9,87.7,89.9,84.9,4
2002-02-24,STRATTON,ulp_91,83.9,87.2,89.9,83.9,4
2002-02-25,STRATTON,ulp_91,83.9,87.2,89.9,83.9,4
2002-02-26,STRATTON,ulp_91,81.9,86.2,89.9,81.9,4
2002-02-27,STRATTON,ulp_91,79.9,84.7,88.9,79.9,4
2002-02-28,STRATTON,ulp_91,79.9,84.7,88.9,79.9,4
2003-01-01,STRATTON,ulp_91,92.9,95.1,97.3,92.9,4
2003-01-02,STRATTON,ulp_91,89.9,93.2,96.5,89.9,4
2003-01-03,STRATTON,ulp_91,89.9,92.4,94.9,89.9,4
2003-01-04,STRATTON,ulp_91,89.9,91.9,93.9,89.9,4
2003-01-05,STRATTON,ulp_91,88.9,91.4,93.9,88.9,4
2003-01-06,STRATTON,ulp_91,88.9,91.4,93.9,88.9,4
2003-01-07,STRATTON,ulp_91,88.9,91.4,93.9,88.9,4
2003-01-08,STRATTON,ulp_91,88.9,91.9,94.9,88.9,4
2003-01-09,STRATTON,ulp_91,89.9,96.9,103.9,89.9,4
2003-01-10,STRATTON,ulp_91,96.9,99.4,101.9,96.9,4
2003-01-11,STRATTON,ulp_91,96.5,98.5,100.5,96.5,4
2003-01-12,STRATTON,ulp_91,94.9,97.7,100.5,94.9,4
2003-01-13,STRATTON,ulp_91,94.9,96.9,98.9,94.9,4
2003-01-14,STRATTON,ulp_91,91.9,94.9,97.9,91.9,4
2003-01-15,STRATTON,ulp_91,90.9,93.9,96.9,90.9,4
2003-01-16,STRATTON,ulp_91,89.9,92.9,95.9,89.9,4
2003-01-17,STRATTON,ulp_91,89.5,96.7,103.9,89.5,4
2003-01-18,STRATTON,ulp_91,89.9,96.9,103.9,89.9,4
2003-01-19,STRATTON,ulp_91,97.5,100.7,103.9,97.5,4
2003-01-20,STRATTON,ulp_91,96.5,100.2,103.9,96.5,4
2003-01-21,STRATTON,ulp_91,95.5,99.7,103.9,95.5,4
2003-01-22,STRATTON,ulp_91,94.5,99.2,103.9,94.5,4
2003-01-23,STRATTON,ulp_91,93.5,97.2,100.9,93.5,4
2003-01-24,STRATTON,ulp_91,92.9,96.9,100.9,92.9,4
2003-01-25,STRATTON,ulp_91,92.5,95.7,98.9,92.5,4
