date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,THORNLIE,premium_95,87.7,87.7,87.7,87.7,2
2002-01-02,THORNLIE,premium_95,86.6,86.6,86.6,86.6,2
2002-01-03,THORNLIE,premium_95,85.6,85.6,85.6,85.6,2
2002-01-04,THORNLIE,premium_95,83.7,83.7,83.7,83.7,2
2002-01-05,THORNLIE,premium_95,82.7,82.7,82.7,82.7,2
2002-01-06,THORNLIE,premium_95,82.7,82.7,82.7,82.7,2
2002-01-07,THORNLIE,premium_95,81.5,81.5,81.5,81.5,2
2002-01-08,THORNLIE,premium_95,92.9,92.9,92.9,92.9,2
2002-01-09,THORNLIE,premium_95,92.4,92.4,92.4,92.4,2
2002-01-10,THORNLIE,premium_95,90.5,90.5,90.5,90.5,2
2002-01-11,THORNLIE,premium_95,88.9,88.9,88.9,88.9,2
2002-01-12,THORNLIE,premium_95,87.2,87.2,87.2,87.2,2
2002-01-13,THORNLIE,premium_95,86.3,86.3,86.3,86.3,2
2002-01-14,THORNLIE,premium_95,84.9,84.9,84.9,84.9,2
2002-01-15,THORNLIE,premium_95,83.9,84.1,84.3,83.9,2
2002-01-16,THORNLIE,premium_95,82.5,83.0,83.6,82.5,2
2002-01-17,THORNLIE,premium_95,90.5,90.5,90.5,90.5,2
2002-01-18,THORNLIE,premium_95,87.5,87.7,87.9,87.5,2
2002-01-19,THORNLIE,premium_95,86.9,86.9,86.9,86.9,2
2002-01-20,THORNLIE,premium_95,86.9,86.9,86.9,86.9,2
2002-01-21,THORNLIE,premium_95,84.9,85.4,85.9,84.9,2
2002-01-22,THORNLIE,premium_95,84.5,84.5,84.6,84.5,2
2002-01-23,THORNLIE,premium_95,81.7,82.3,82.9,81.7,2
2002-01-24,THORNLIE,premium_95,90.9,90.9,90.9,90.9,2
2002-01-25,THORNLIE,premium_95,89.9,89.9,89.9,89.9,2
2002-01-26,THORNLIE,premium_95,87.9,87.9,87.9,87.9,2
2002-01-27,THORNLIE,premium_95,86.3,86.8,87.3,86.3,2
2002-01-28,THORNLIE,premium_95,82.9,83.7,84.5,82.9,2
2002-01-29,THORNLIE,premium_95,81.5,81.9,82.3,81.5,2
2002-01-30,THORNLIE,premium_95,81.5,81.7,81.9,81.5,2
2002-01-31,THORNLIE,premium_95,80.8,81.0,81.2,80.8,2
2002-02-01,THORNLIE,premium_95,91.9,91.9,91.9,91.9,2
2002-02-02,THORNLIE,premium_95,91.9,91.9,91.9,91.9,2
2002-02-03,THORNLIE,premium_95,87.5,87.5,87.5,87.5,2
2002-02-04,THORNLIE,premium_95,84.5,85.2,85.9,84.5,2
2002-02-05,THORNLIE,premium_95,82.9,83.1,83.3,82.9,2
2002-02-06,THORNLIE,premium_95,81.7,82.0,82.3,81.7,2
2002-02-07,THORNLIE,premium_95,81.7,81.8,81.9,81.7,2
2002-02-08,THORNLIE,premium_95,81.5,81.5,81.5,81.5,2
2002-02-09,THORNLIE,premium_95,81.5,81.5,81.5,81.5,2
2002-02-10,THORNLIE,premium_95,81.5,81.5,81.5,81.5,2
2002-02-11,THORNLIE,premium_95,93.9,93.9,93.9,93.9,2
2002-02-12,THORNLIE,premium_95,92.3,92.4,92.5,92.3,2
2002-02-13,THORNLIE,premium_95,90.7,90.8,90.9,90.7,2
