date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,UPPER SWAN,premium_95,88.1,88.1,88.1,88.1,1
2002-01-02,UPPER SWAN,premium_95,86.5,86.5,86.5,86.5,1
2002-01-03,UPPER SWAN,premium_95,85.5,85.5,85.5,85.5,1
2002-01-04,UPPER SWAN,premium_95,83.5,83.5,83.5,83.5,1
2002-01-05,UPPER SWAN,premium_95,82.5,82.5,82.5,82.5,1
2002-01-06,UPPER SWAN,premium_95,82.3,82.3,82.3,82.3,1
2002-01-07,UPPER SWAN,premium_95,80.7,80.7,80.7,80.7,1
2002-01-08,UPPER SWAN,premium_95,80.5,80.5,80.5,80.5,1
2002-01-09,UPPER SWAN,premium_95,90.5,90.5,90.5,90.5,1
2002-01-10,UPPER SWAN,premium_95,90.3,90.3,90.3,90.3,1
2002-01-11,UPPER SWAN,premium_95,88.7,88.7,88.7,88.7,1
2002-01-12,UPPER SWAN,premium_95,87.5,87.5,87.5,87.5,1
2002-01-13,UPPER SWAN,premium_95,87.3,87.3,87.3,87.3,1
2002-01-14,UPPER SWAN,premium_95,85.3,85.3,85.3,85.3,1
2002-01-15,UPPER SWAN,premium_95,83.7,83.7,83.7,83.7,1
2002-01-16,UPPER SWAN,premium_95,88.9,88.9,88.9,88.9,1
2002-01-17,UPPER SWAN,premium_95,82.7,82.7,82.7,82.7,1
2002-01-18,UPPER SWAN,premium_95,82.7,82.7,82.7,82.7,1
2002-01-19,UPPER SWAN,premium_95,86.3,86.3,86.3,86.3,1
2002-01-20,UPPER SWAN,premium_95,85.5,85.5,85.5,85.5,1
2002-01-21,UPPER SWAN,premium_95,84.1,84.1,84.1,84.1,1
2002-01-22,UPPER SWAN,premium_95,83.9,83.9,83.9,83.9,1
2002-01-23,UPPER SWAN,premium_95,82.5,82.5,82.5,82.5,1
2002-01-24,UPPER SWAN,premium_95,81.5,81.5,81.5,81.5,1
2002-01-25,UPPER SWAN,premium_95,88.5,88.5,88.5,88.5,1
2002-01-26,UPPER SWAN,premium_95,86.7,86.7,86.7,86.7,1
2002-01-27,UPPER SWAN,premium_95,85.7,85.7,85.7,85.7,1
2002-01-28,UPPER SWAN,premium_95,84.7,84.7,84.7,84.7,1
2002-01-29,UPPER SWAN,premium_95,84.9,84.9,84.9,84.9,1
2002-01-30,UPPER SWAN,premium_95,82.9,82.9,82.9,82.9,1
2002-01-31,UPPER SWAN,premium_95,82.7,82.7,82.7,82.7,1
2002-02-01,UPPER SWAN,premium_95,86.5,86.5,86.5,86.5,1
2002-02-02,UPPER SWAN,premium_95,86.3,86.3,86.3,86.3,1
2002-02-03,UPPER SWAN,premium_95,84.7,84.7,84.7,84.7,1
2002-02-04,UPPER SWAN,premium_95,84.3,84.3,84.3,84.3,1
2002-02-05,UPPER SWAN,premium_95,84.0,84.0,84.0,84.0,1
2002-02-06,UPPER SWAN,premium_95,83.2,83.2,83.2,83.2,1
2002-02-07,UPPER SWAN,premium_95,82.2,82.2,82.2,82.2,1
2002-02-08,UPPER SWAN,premium_95,81.9,81.9,81.9,81.9,1
2002-02-09,UPPER SWAN,premium_95,81.3,81.3,81.3,81.3,1
2002-02-10,UPPER SWAN,premium_95,92.9,92.9,92.9,92.9,1
2002-02-11,UPPER SWAN,premium_95,92.5,92.5,92.5,92.5,1
2002-02-12,UPPER SWAN,premium_95,92.5,92.5,92.5,92.5,1
2002-02-13,UPPER SWAN,premium_95,91.5,91.5,91.5,91.5,1
2002-02-14,UPPER SWAN,premium_95,90.3,90.3,90.3,90.3,1
2002-02-15,UPPER SWAN,premium_95,88.5,88.5,88.5,88.5,1
2002-02-16,UPPER SWAN,premium_95,86.7,86.7,86.7,86.7,1
2002-02-17,UPPER SWAN,premium_95,85.9,85.9,85.9,85.9,1
2002-02-18,UPPER SWAN,premium_95,84.7,84.7,84.7,84.7,1
2002-02-19,UPPER SWAN,premium_95,84.5,84.5,84.5,84.5,1
2002-02-20,UPPER SWAN,premium_95,85.3,85.3,85.3,85.3,1
2002-02-21,UPPER SWAN,premium_95,94.7,94.7,94.7,94.7,1
2002-02-22,UPPER SWAN,premium_95,91.7,91.7,91.7,91.7,1
2002-02-23,UPPER SWAN,premium_95,89.5,89.5,89.5,89.5,1
2002-02-24,UPPER SWAN,premium_95,89.3,89.3,89.3,89.3,1
2002-02-25,UPPER SWAN,premium_95,87.5,87.5,87.5,87.5,1
2002-02-26,UPPER SWAN,premium_95,86.5,86.5,86.5,86.5,1
2002-02-27,UPPER SWAN,premium_95,84.5,84.5,84.5,84.5,1
2002-02-28,UPPER SWAN,premium_95,83.9,83.9,83.9,83.9,1
2003-01-01,UPPER SWAN,premium_95,101.5,101.5,101.5,101.5,1
2003-01-02,UPPER SWAN,premium_95,101.5,101.5,101.5,101.5,1
2003-01-03,UPPER SWAN,premium_95,94.9,94.9,94.9,94.9,1
2003-01-04,UPPER SWAN,premium_95,93.7,93.7,93.7,93.7,1
2003-01-05,UPPER SWAN,premium_95,93.7,93.7,93.7,93.7,1
2003-01-06,UPPER SWAN,premium_95,92.9,92.9,92.9,92.9,1
2003-01-07,UPPER SWAN,premium_95,92.9,92.9,92.9,92.9,1
2003-01-08,UPPER SWAN,premium_95,92.5,92.5,92.5,92.5,1
2003-01-09,UPPER SWAN,premium_95,92.5,92.5,92.5,92.5,1
