date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,UPPER SWAN,ulp_91,83.6,85.5,87.1,83.6,4
2002-01-02,UPPER SWAN,ulp_91,82.5,84.3,86.3,82.5,4
2002-01-03,UPPER SWAN,ulp_91,81.3,83.0,84.8,81.3,4
2002-01-04,UPPER SWAN,ulp_91,79.5,81.3,83.4,79.5,4
2002-01-05,UPPER SWAN,ulp_91,78.5,80.2,82.2,78.5,4
2002-01-06,UPPER SWAN,ulp_91,78.1,79.8,81.6,78.1,4
2002-01-07,UPPER SWAN,ulp_91,76.7,78.9,81.4,76.7,4
2002-01-08,UPPER SWAN,ulp_91,76.5,78.8,81.4,76.5,4
2002-01-09,UPPER SWAN,ulp_91,79.9,84.8,89.5,79.9,4
2002-01-10,UPPER SWAN,ulp_91,85.5,87.5,89.3,85.5,4
2002-01-11,UPPER SWAN,ulp_91,84.7,86.7,88.9,84.7,4
2002-01-12,UPPER SWAN,ulp_91,83.5,85.2,87.2,83.5,4
2002-01-13,UPPER SWAN,ulp_91,82.4,84.5,86.3,82.4,4
2002-01-14,UPPER SWAN,ulp_91,81.3,83.2,85.3,81.3,4
2002-01-15,UPPER SWAN,ulp_91,79.7,81.6,83.8,79.7,4
2002-01-16,UPPER SWAN,ulp_91,78.9,83.5,87.9,78.9,4
2002-01-17,UPPER SWAN,ulp_91,78.7,80.4,82.4,78.7,4
2002-01-18,UPPER SWAN,ulp_91,78.7,80.3,82.2,78.7,4
2002-01-19,UPPER SWAN,ulp_91,81.9,83.7,85.4,81.9,4
2002-01-20,UPPER SWAN,ulp_91,81.2,83.0,84.7,81.2,4
2002-01-21,UPPER SWAN,ulp_91,80.1,81.9,84.0,80.1,4
2002-01-22,UPPER SWAN,ulp_91,79.3,81.2,82.9,79.3,4
2002-01-23,UPPER SWAN,ulp_91,78.5,80.1,82.0,78.5,4
2002-01-24,UPPER SWAN,ulp_91,77.5,79.1,81.0,77.5,4
2002-01-25,UPPER SWAN,ulp_91,77.5,82.6,87.5,77.5,4
2002-01-26,UPPER SWAN,ulp_91,82.7,84.7,87.0,82.7,4
2002-01-27,UPPER SWAN,ulp_91,81.6,83.3,85.1,81.6,4
2002-01-28,UPPER SWAN,ulp_91,80.4,82.2,83.9,80.4,4
2002-01-29,UPPER SWAN,ulp_91,79.3,81.2,82.9,79.3,4
2002-01-30,UPPER SWAN,ulp_91,78.5,80.3,82.0,78.5,4
2002-01-31,UPPER SWAN,ulp_91,77.7,79.4,81.4,77.7,4
2002-02-01,UPPER SWAN,ulp_91,81.5,83.3,85.4,81.5,4
2002-02-02,UPPER SWAN,ulp_91,79.9,82.2,84.3,79.9,4
