date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,WALPOLE,premium_95,104.5,104.9,105.3,104.5,2
2004-01-02,WALPOLE,premium_95,104.5,104.9,105.3,104.5,2
2004-01-03,WALPOLE,premium_95,104.5,105.2,105.9,104.5,2
2004-01-04,WALPOLE,premium_95,104.5,105.2,105.9,104.5,2
2004-01-05,WALPOLE,premium_95,104.5,105.2,105.9,104.5,2
2004-01-06,WALPOLE,premium_95,104.5,105.2,105.9,104.5,2
2004-01-07,WALPOLE,premium_95,104.5,105.7,106.9,104.5,2
2004-01-08,WALPOLE,premium_95,104.5,105.7,106.9,104.5,2
2004-01-09,WALPOLE,premium_95,104.5,105.7,106.9,104.5,2
2004-01-10,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-11,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-12,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-13,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-14,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-15,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-16,WALPOLE,premium_95,104.5,106.7,108.8,104.5,2
2004-01-17,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-18,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-19,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-20,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-21,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-22,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-23,WALPOLE,premium_95,105.5,107.7,109.8,105.5,2
2004-01-24,WALPOLE,premium_95,105.5,107.2,108.9,105.5,2
2004-01-25,WALPOLE,premium_95,105.5,107.2,108.9,105.5,2
2004-01-26,WALPOLE,premium_95,105.5,107.2,108.9,105.5,2
2004-01-27,WALPOLE,premium_95,105.5,107.2,108.9,105.5,2
2004-01-28,WALPOLE,premium_95,105.5,107.2,108.9,105.5,2
2004-01-29,WALPOLE,premium_95,105.5,107.2,108.9,105.5,2
2004-01-30,WALPOLE,premium_95,105.5,106.5,107.6,105.5,2
2004-01-31,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-01,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-02,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-03,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-04,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-05,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-06,WALPOLE,premium_95,104.1,105.3,106.5,104.1,2
2004-02-07,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-08,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
2004-02-09,WALPOLE,premium_95,106.4,106.5,106.5,106.4,2
