date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-02,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-03,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-04,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-05,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-06,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-07,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-08,WANGARA,diesel,84.7,84.8,84.9,84.7,2
2002-01-09,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-10,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-11,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-12,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-13,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-14,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-15,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-16,WANGARA,diesel,84.5,84.7,84.9,84.5,2
2002-01-17,WANGARA,diesel,83.7,84.3,84.9,83.7,2
2002-01-18,WANGARA,diesel,83.7,84.3,84.9,83.7,2
2002-01-19,WANGARA,diesel,83.7,84.3,84.9,83.7,2
2002-01-20,WANGARA,diesel,83.7,84.3,84.9,83.7,2
2002-01-21,WANGARA,diesel,83.7,84.3,84.9,83.7,2
2002-01-22,WANGARA,diesel,83.3,84.1,84.9,83.3,2
2002-01-23,WANGARA,diesel,83.3,83.6,83.9,83.3,2
2002-01-24,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-25,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-26,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-27,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-28,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-29,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-30,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-01-31,WANGARA,diesel,82.9,83.4,83.9,82.9,2
2002-02-01,WANGARA,diesel,82.4,83.2,83.9,82.4,2
2002-02-02,WANGARA,diesel,82.4,83.2,83.9,82.4,2
2002-02-03,WANGARA,diesel,82.4,83.2,83.9,82.4,2
2002-02-04,WANGARA,diesel,82.4,82.7,82.9,82.4,2
2002-02-05,WANGARA,diesel,82.4,82.7,82.9,82.4,2
2002-02-06,WANGARA,diesel,82.4,82.7,82.9,82.4,2
2002-02-07,WANGARA,diesel,81.9,82.4,82.9,81.9,2
2002-02-08,WANGARA,diesel,81.9,82.4,82.9,81.9,2
2002-02-09,WANGARA,diesel,81.9,82.4,82.9,81.9,2
2002-02-10,WANGARA,diesel,81.9,82.4,82.9,81.9,2
