date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WANGARA,premium_95,86.9,86.9,86.9,86.9,1
2002-01-02,WANGARA,premium_95,85.8,85.8,85.8,85.8,1
2002-01-03,WANGARA,premium_95,84.5,84.5,84.5,84.5,1
2002-01-04,WANGARA,premium_95,83.5,83.5,83.5,83.5,1
2002-01-05,WANGARA,premium_95,82.2,82.2,82.2,82.2,1
2002-01-06,WANGARA,premium_95,82.2,82.2,82.2,82.2,1
2002-01-07,WANGARA,premium_95,81.5,81.5,81.5,81.5,1
2002-01-08,WANGARA,premium_95,81.5,81.5,81.5,81.5,1
2002-01-09,WANGARA,premium_95,83.9,83.9,83.9,83.9,1
2002-01-10,WANGARA,premium_95,89.9,89.9,89.9,89.9,1
2002-01-11,WANGARA,premium_95,89.8,89.8,89.8,89.8,1
2002-01-12,WANGARA,premium_95,87.5,87.5,87.5,87.5,1
2002-01-13,WANGARA,premium_95,86.4,86.4,86.4,86.4,1
2002-01-14,WANGARA,premium_95,84.4,84.4,84.4,84.4,1
2002-01-15,WANGARA,premium_95,83.5,83.5,83.5,83.5,1
2002-01-16,WANGARA,premium_95,82.9,82.9,82.9,82.9,1
2002-01-17,WANGARA,premium_95,82.3,82.3,82.3,82.3,1
2002-01-18,WANGARA,premium_95,86.7,86.7,86.7,86.7,1
2002-01-19,WANGARA,premium_95,85.9,85.9,85.9,85.9,1
2002-01-20,WANGARA,premium_95,84.9,84.9,84.9,84.9,1
2002-01-21,WANGARA,premium_95,83.9,83.9,83.9,83.9,1
2002-01-22,WANGARA,premium_95,82.9,82.9,82.9,82.9,1
2002-01-23,WANGARA,premium_95,81.9,81.9,81.9,81.9,1
2002-01-24,WANGARA,premium_95,81.5,81.5,81.5,81.5,1
2002-01-25,WANGARA,premium_95,88.9,88.9,88.9,88.9,1
2002-01-26,WANGARA,premium_95,86.7,86.7,86.7,86.7,1
2002-01-27,WANGARA,premium_95,85.6,85.6,85.6,85.6,1
2002-01-28,WANGARA,premium_95,84.4,84.4,84.4,84.4,1
2002-01-29,WANGARA,premium_95,82.8,82.8,82.8,82.8,1
2002-01-30,WANGARA,premium_95,81.9,81.9,81.9,81.9,1
2002-01-31,WANGARA,premium_95,81.5,81.5,81.5,81.5,1
2002-02-01,WANGARA,premium_95,81.5,81.5,81.5,81.5,1
2002-02-02,WANGARA,premium_95,83.9,83.9,83.9,83.9,1
2002-02-03,WANGARA,premium_95,83.9,83.9,83.9,83.9,1
2002-02-04,WANGARA,premium_95,83.3,83.3,83.3,83.3,1
2002-02-05,WANGARA,premium_95,82.5,82.5,82.5,82.5,1
2002-02-06,WANGARA,premium_95,81.9,81.9,81.9,81.9,1
2002-02-07,WANGARA,premium_95,81.9,81.9,81.9,81.9,1
2002-02-08,WANGARA,premium_95,80.5,80.5,80.5,80.5,1
2002-02-09,WANGARA,premium_95,80.5,80.5,80.5,80.5,1
2002-02-10,WANGARA,premium_95,81.9,81.9,81.9,81.9,1
2002-02-11,WANGARA,premium_95,81.9,81.9,81.9,81.9,1
2002-02-12,WANGARA,premium_95,91.5,91.5,91.5,91.5,1
2002-02-13,WANGARA,premium_95,89.9,89.9,89.9,89.9,1
2002-02-14,WANGARA,premium_95,88.5,88.5,88.5,88.5,1
2002-02-15,WANGARA,premium_95,86.9,86.9,86.9,86.9,1
2002-02-16,WANGARA,premium_95,85.7,85.7,85.7,85.7,1
2002-02-17,WANGARA,premium_95,84.9,84.9,84.9,84.9,1
2002-02-18,WANGARA,premium_95,84.9,84.9,84.9,84.9,1
2002-02-19,WANGARA,premium_95,84.5,84.5,84.5,84.5,1
2002-02-20,WANGARA,premium_95,85.9,85.9,85.9,85.9,1
2002-02-21,WANGARA,premium_95,91.9,91.9,91.9,91.9,1
2002-02-22,WANGARA,premium_95,89.7,89.7,89.7,89.7,1
2002-02-23,WANGARA,premium_95,88.7,88.7,88.7,88.7,1
2002-02-24,WANGARA,premium_95,87.7,87.7,87.7,87.7,1
2002-02-25,WANGARA,premium_95,86.3,86.3,86.3,86.3,1
2002-02-26,WANGARA,premium_95,84.9,84.9,84.9,84.9,1
2002-02-27,WANGARA,premium_95,84.5,84.5,84.5,84.5,1
2002-02-28,WANGARA,premium_95,85.5,85.5,85.5,85.5,1
2003-01-01,WANGARA,premium_95,99.5,100.2,100.9,99.5,2
2003-01-02,WANGARA,premium_95,98.3,98.5,98.7,98.3,2
2003-01-03,WANGARA,premium_95,96.9,96.9,96.9,96.9,2
2003-01-04,WANGARA,premium_95,95.5,95.7,95.9,95.5,2
2003-01-05,WANGARA,premium_95,94.5,94.7,94.9,94.5,2
2003-01-06,WANGARA,premium_95,93.9,94.4,94.9,93.9,2
2003-01-07,WANGARA,premium_95,94.5,94.7,94.9,94.5,2
2003-01-08,WANGARA,premium_95,94.9,95.4,95.9,94.9,2
2003-01-09,WANGARA,premium_95,102.5,103.7,104.9,102.5,2
2003-01-10,WANGARA,premium_95,100.9,101.4,101.9,100.9,2
2003-01-11,WANGARA,premium_95,100.9,100.9,100.9,100.9,2
2003-01-12,WANGARA,premium_95,99.9,99.9,99.9,99.9,2
2003-01-13,WANGARA,premium_95,98.7,98.8,98.9,98.7,2
2003-01-14,WANGARA,premium_95,97.9,98.2,98.4,97.9,2
2003-01-15,WANGARA,premium_95,96.9,97.2,97.5,96.9,2
2003-01-16,WANGARA,premium_95,95.5,95.7,95.9,95.5,2
2003-01-17,WANGARA,premium_95,95.3,100.1,104.9,95.3,2
2003-01-18,WANGARA,premium_95,94.5,99.7,104.9,94.5,2
2003-01-19,WANGARA,premium_95,101.9,103.4,104.9,101.9,2
2003-01-20,WANGARA,premium_95,101.9,103.4,104.9,101.9,2
2003-01-21,WANGARA,premium_95,100.5,102.7,104.9,100.5,2
2003-01-22,WANGARA,premium_95,100.5,102.7,104.9,100.5,2
2003-01-23,WANGARA,premium_95,98.9,100.9,102.9,98.9,2
2003-01-24,WANGARA,premium_95,97.9,99.9,101.9,97.9,2
2003-01-25,WANGARA,premium_95,96.5,98.2,99.9,96.5,2
2003-01-26,WANGARA,premium_95,95.7,97.3,98.9,95.7,2
2003-01-27,WANGARA,premium_95,95.7,97.3,98.9,95.7,2
2003-01-28,WANGARA,premium_95,95.7,97.3,98.9,95.7,2
2003-01-29,WANGARA,premium_95,95.7,101.3,106.9,95.7,2
2003-01-30,WANGARA,premium_95,103.9,103.9,103.9,103.9,2
2003-01-31,WANGARA,premium_95,102.9,102.9,102.9,102.9,2
2003-02-01,WANGARA,premium_95,101.3,101.4,101.5,101.3,2
2003-02-02,WANGARA,premium_95,99.5,99.9,100.3,99.5,2
2003-02-03,WANGARA,premium_95,98.9,98.9,98.9,98.9,2
2003-02-04,WANGARA,premium_95,97.9,97.9,97.9,97.9,2
2003-02-05,WANGARA,premium_95,97.9,97.9,97.9,97.9,2
2003-02-06,WANGARA,premium_95,97.9,97.9,97.9,97.9,2
2003-02-07,WANGARA,premium_95,103.5,104.2,104.9,103.5,2
2003-02-08,WANGARA,premium_95,102.9,103.4,103.9,102.9,2
2003-02-09,WANGARA,premium_95,100.9,101.4,101.9,100.9,2
2003-02-10,WANGARA,premium_95,100.9,100.9,100.9,100.9,2
2003-02-11,WANGARA,premium_95,99.9,100.1,100.3,99.9,2
2003-02-12,WANGARA,premium_95,99.9,99.9,99.9,99.9,2
2003-02-13,WANGARA,premium_95,99.9,99.9,99.9,99.9,2
2003-02-14,WANGARA,premium_95,99.9,100.7,101.5,99.9,2
2003-02-15,WANGARA,premium_95,101.5,105.2,108.9,101.5,2
2003-02-16,WANGARA,premium_95,103.9,105.9,107.9,103.9,2
2003-02-17,WANGARA,premium_95,105.9,106.4,106.9,105.9,2
2003-02-18,WANGARA,premium_95,104.9,105.4,105.9,104.9,2
2003-02-19,WANGARA,premium_95,103.5,108.2,112.9,103.5,2
2003-02-20,WANGARA,premium_95,104.9,107.9,110.9,104.9,2
2003-02-21,WANGARA,premium_95,109.9,109.9,109.9,109.9,2
2003-02-22,WANGARA,premium_95,107.9,108.4,108.9,107.9,2
2003-02-23,WANGARA,premium_95,106.9,107.6,108.3,106.9,2
2003-02-24,WANGARA,premium_95,105.9,106.2,106.5,105.9,2
2003-02-25,WANGARA,premium_95,104.5,105.0,105.5,104.5,2
2003-02-26,WANGARA,premium_95,103.5,103.7,103.9,103.5,2
2003-02-27,WANGARA,premium_95,102.9,102.9,102.9,102.9,2
2003-02-28,WANGARA,premium_95,102.9,107.4,111.9,102.9,2
2004-01-01,WANGARA,premium_95,97.7,98.3,98.9,97.7,2
2004-01-02,WANGARA,premium_95,96.9,97.4,97.9,96.9,2
2004-01-03,WANGARA,premium_95,94.9,95.4,95.9,94.9,2
2004-01-04,WANGARA,premium_95,94.5,94.7,94.9,94.5,2
2004-01-05,WANGARA,premium_95,94.5,99.2,103.9,94.5,2
2004-01-06,WANGARA,premium_95,101.5,101.7,101.9,101.5,2
2004-01-07,WANGARA,premium_95,98.9,99.4,99.9,98.9,2
2004-01-08,WANGARA,premium_95,97.9,98.4,98.9,97.9,2
2004-01-09,WANGARA,premium_95,95.9,95.9,95.9,95.9,2
2004-01-10,WANGARA,premium_95,94.7,95.3,95.9,94.7,2
2004-01-11,WANGARA,premium_95,94.7,95.3,95.9,94.7,2
2004-01-12,WANGARA,premium_95,98.9,102.4,105.9,98.9,2
2004-01-13,WANGARA,premium_95,102.7,103.3,103.9,102.7,2
2004-01-14,WANGARA,premium_95,100.7,101.6,102.5,100.7,2
2004-01-15,WANGARA,premium_95,98.9,99.7,100.5,98.9,2
2004-01-16,WANGARA,premium_95,94.8,96.8,98.9,94.8,2
2004-01-17,WANGARA,premium_95,94.7,95.3,95.9,94.7,2
2004-01-18,WANGARA,premium_95,94.7,95.3,95.9,94.7,2
2004-01-19,WANGARA,premium_95,94.7,100.3,105.9,94.7,2
2004-01-20,WANGARA,premium_95,103.5,103.7,103.9,103.5,2
2004-01-21,WANGARA,premium_95,100.9,101.9,102.9,100.9,2
2004-01-22,WANGARA,premium_95,99.5,100.0,100.5,99.5,2
2004-01-23,WANGARA,premium_95,98.3,98.6,98.9,98.3,2
2004-01-24,WANGARA,premium_95,96.7,97.3,97.9,96.7,2
2004-01-25,WANGARA,premium_95,95.9,96.2,96.5,95.9,2
2004-01-26,WANGARA,premium_95,95.9,100.9,105.9,95.9,2
2004-01-27,WANGARA,premium_95,94.9,95.4,95.9,94.9,2
2004-01-28,WANGARA,premium_95,95.9,100.9,105.9,95.9,2
2004-01-29,WANGARA,premium_95,95.9,100.4,104.9,95.9,2
2004-01-30,WANGARA,premium_95,101.7,102.8,103.9,101.7,2
2004-01-31,WANGARA,premium_95,99.9,100.7,101.5,99.9,2
2004-02-01,WANGARA,premium_95,98.2,98.8,99.5,98.2,2
2004-02-02,WANGARA,premium_95,97.9,98.1,98.2,97.9,2
2004-02-03,WANGARA,premium_95,94.5,94.7,94.9,94.5,2
2004-02-04,WANGARA,premium_95,93.5,94.0,94.5,93.5,2
2004-02-05,WANGARA,premium_95,92.4,93.2,93.9,92.4,2
2004-02-06,WANGARA,premium_95,92.4,93.2,93.9,92.4,2
2004-02-07,WANGARA,premium_95,91.7,92.0,92.2,91.7,2
2004-02-08,WANGARA,premium_95,91.7,91.8,91.9,91.7,2
2004-02-09,WANGARA,premium_95,94.9,99.4,103.9,94.9,2
2004-02-10,WANGARA,premium_95,99.9,100.4,100.9,99.9,2
2004-02-11,WANGARA,premium_95,97.9,98.4,98.9,97.9,2
2004-02-12,WANGARA,premium_95,96.5,97.0,97.5,96.5,2
2004-02-13,WANGARA,premium_95,93.9,99.4,104.9,93.9,2
2004-02-14,WANGARA,premium_95,91.9,92.1,92.3,91.9,2
2004-02-15,WANGARA,premium_95,90.5,91.0,91.5,90.5,2
2004-02-16,WANGARA,premium_95,89.9,96.4,102.9,89.9,2
2004-02-17,WANGARA,premium_95,99.9,100.9,101.9,99.9,2
2004-02-18,WANGARA,premium_95,96.5,97.2,97.9,96.5,2
2004-02-19,WANGARA,premium_95,94.9,95.4,95.9,94.9,2
2004-02-20,WANGARA,premium_95,91.9,92.7,93.5,91.9,2
2004-02-21,WANGARA,premium_95,88.9,89.9,90.9,88.9,2
2004-02-22,WANGARA,premium_95,88.9,89.2,89.5,88.9,2
2004-02-23,WANGARA,premium_95,87.9,95.4,102.9,87.9,2
2004-02-24,WANGARA,premium_95,89.5,95.7,101.9,89.5,2
2004-02-25,WANGARA,premium_95,97.5,97.7,97.9,97.5,2
2004-02-26,WANGARA,premium_95,93.7,94.8,95.9,93.7,2
2004-02-27,WANGARA,premium_95,92.5,93.2,93.9,92.5,2
2004-02-28,WANGARA,premium_95,90.4,92.2,93.9,90.4,2
2004-02-29,WANGARA,premium_95,90.4,92.0,93.5,90.4,2
2005-01-01,WANGARA,premium_95,96.7,97.8,98.9,96.7,2
2005-01-02,WANGARA,premium_95,96.7,97.8,98.9,96.7,2
2005-01-03,WANGARA,premium_95,96.7,97.8,98.9,96.7,2
2005-01-04,WANGARA,premium_95,95.3,97.1,98.9,95.3,2
2005-01-05,WANGARA,premium_95,94.9,100.9,106.9,94.9,2
2005-01-06,WANGARA,premium_95,95.5,99.2,102.9,95.5,2
2005-01-07,WANGARA,premium_95,95.5,97.2,98.9,95.5,2
2005-01-08,WANGARA,premium_95,94.7,96.8,98.9,94.7,2
2005-01-09,WANGARA,premium_95,94.7,96.8,98.9,94.7,2
2005-01-10,WANGARA,premium_95,94.5,96.2,97.9,94.5,2
2005-01-11,WANGARA,premium_95,94.5,96.2,97.9,94.5,2
2005-01-12,WANGARA,premium_95,94.4,100.2,105.9,94.4,2
2005-01-13,WANGARA,premium_95,94.3,96.1,97.9,94.3,2
2005-01-14,WANGARA,premium_95,95.9,96.4,96.9,95.9,2
2005-01-15,WANGARA,premium_95,94.5,95.7,96.9,94.5,2
2005-01-16,WANGARA,premium_95,94.5,95.7,96.9,94.5,2
2005-01-17,WANGARA,premium_95,94.5,95.7,96.9,94.5,2
2005-01-18,WANGARA,premium_95,94.4,96.0,97.5,94.4,2
2005-01-19,WANGARA,premium_95,94.4,100.2,105.9,94.4,2
2005-01-20,WANGARA,premium_95,99.9,101.4,102.9,99.9,2
2005-01-21,WANGARA,premium_95,99.5,100.2,100.9,99.5,2
2005-01-22,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-23,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-24,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-25,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-26,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-27,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-28,WANGARA,premium_95,98.9,99.9,100.9,98.9,2
2005-01-29,WANGARA,premium_95,98.9,100.9,102.9,98.9,2
2005-01-30,WANGARA,premium_95,99.9,101.4,102.9,99.9,2
2005-01-31,WANGARA,premium_95,99.9,101.4,102.9,99.9,2
2005-02-01,WANGARA,premium_95,99.9,101.4,102.9,99.9,2
2005-02-02,WANGARA,premium_95,99.9,105.9,111.9,99.9,2
2005-02-03,WANGARA,premium_95,99.9,103.4,106.9,99.9,2
2005-02-04,WANGARA,premium_95,99.9,102.4,104.9,99.9,2
2005-02-05,WANGARA,premium_95,102.9,103.7,104.5,102.9,2
2005-02-06,WANGARA,premium_95,101.9,102.4,102.9,101.9,2
2005-02-07,WANGARA,premium_95,101.9,102.4,102.9,101.9,2
2005-02-08,WANGARA,premium_95,100.9,101.9,102.9,100.9,2
2005-02-09,WANGARA,premium_95,100.9,106.4,111.9,100.9,2
2005-02-10,WANGARA,premium_95,100.9,101.9,102.9,100.9,2
2005-02-11,WANGARA,premium_95,100.9,101.9,102.9,100.9,2
2005-02-12,WANGARA,premium_95,100.7,101.8,102.9,100.7,2
2005-02-13,WANGARA,premium_95,100.7,101.8,102.9,100.7,2
2005-02-14,WANGARA,premium_95,99.9,101.4,102.9,99.9,2
2005-02-15,WANGARA,premium_95,99.8,101.3,102.9,99.8,2
2005-02-16,WANGARA,premium_95,101.9,102.4,102.9,101.9,2
2005-02-17,WANGARA,premium_95,101.7,104.3,106.9,101.7,2
2005-02-18,WANGARA,premium_95,101.7,102.8,103.9,101.7,2
2005-02-19,WANGARA,premium_95,101.5,102.6,103.7,101.5,2
2005-02-20,WANGARA,premium_95,101.5,102.6,103.7,101.5,2
2005-02-21,WANGARA,premium_95,101.5,102.6,103.7,101.5,2
2005-02-22,WANGARA,premium_95,101.5,102.6,103.7,101.5,2
2005-02-23,WANGARA,premium_95,102.9,108.9,114.9,102.9,2
2005-02-24,WANGARA,premium_95,103.9,106.9,109.9,103.9,2
2005-02-25,WANGARA,premium_95,104.9,105.9,106.9,104.9,2
2005-02-26,WANGARA,premium_95,104.9,105.9,106.9,104.9,2
2005-02-27,WANGARA,premium_95,104.7,105.8,106.9,104.7,2
2005-02-28,WANGARA,premium_95,104.3,105.6,106.9,104.3,2
2006-01-01,WANGARA,premium_95,116.9,117.4,117.9,116.9,2
2006-01-02,WANGARA,premium_95,116.9,117.4,117.9,116.9,2
2006-01-03,WANGARA,premium_95,116.9,117.9,118.9,116.9,2
2006-01-04,WANGARA,premium_95,116.9,122.4,127.9,116.9,2
2006-01-05,WANGARA,premium_95,123.9,125.9,127.9,123.9,2
2006-01-06,WANGARA,premium_95,123.9,125.9,127.9,123.9,2
2006-01-07,WANGARA,premium_95,121.9,123.9,125.9,121.9,2
2006-01-08,WANGARA,premium_95,121.9,123.9,125.9,121.9,2
2006-01-09,WANGARA,premium_95,121.9,123.4,124.9,121.9,2
2006-01-10,WANGARA,premium_95,120.9,122.4,123.9,120.9,2
