date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WEBBERTON,diesel,92.5,92.5,92.5,92.5,1
2002-01-02,WEBBERTON,diesel,92.5,92.5,92.5,92.5,1
2002-01-03,WEBBERTON,diesel,92.5,92.5,92.5,92.5,1
2002-01-04,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-05,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-06,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-07,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-08,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-09,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-10,WEBBERTON,diesel,93.2,93.2,93.2,93.2,1
2002-01-11,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-12,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-13,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-14,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-15,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-16,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-17,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-01-18,WEBBERTON,diesel,92.9,92.9,92.9,92.9,1
2002-01-19,WEBBERTON,diesel,92.9,92.9,92.9,92.9,1
2002-01-20,WEBBERTON,diesel,92.9,92.9,92.9,92.9,1
2002-01-21,WEBBERTON,diesel,92.9,92.9,92.9,92.9,1
2002-01-22,WEBBERTON,diesel,92.9,92.9,92.9,92.9,1
2002-01-23,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-24,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-25,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-26,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-27,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-28,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-29,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-30,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-01-31,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-02-01,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-02-02,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-02-03,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-02-04,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-02-05,WEBBERTON,diesel,92.3,92.3,92.3,92.3,1
2002-02-06,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-07,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-08,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-09,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-10,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-11,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-12,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-13,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-14,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-15,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-16,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-17,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-18,WEBBERTON,diesel,93.0,93.0,93.0,93.0,1
2002-02-19,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-20,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-21,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-22,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-23,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-24,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-25,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-26,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-27,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2002-02-28,WEBBERTON,diesel,93.7,93.7,93.7,93.7,1
2003-01-01,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-02,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-03,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-04,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-05,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-06,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-07,WEBBERTON,diesel,106.9,106.9,106.9,106.9,1
2003-01-08,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-09,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-10,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-11,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-12,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-13,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-14,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-15,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-16,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-17,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-18,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-19,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-20,WEBBERTON,diesel,107.5,107.5,107.5,107.5,1
2003-01-21,WEBBERTON,diesel,106.5,106.5,106.5,106.5,1
2003-01-22,WEBBERTON,diesel,106.5,106.5,106.5,106.5,1
2003-01-23,WEBBERTON,diesel,106.5,106.5,106.5,106.5,1
2003-01-24,WEBBERTON,diesel,106.5,106.5,106.5,106.5,1
2003-01-25,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-01-26,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-01-27,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-01-28,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-01-29,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-01-30,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-01-31,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-01,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-02,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-03,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-04,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-05,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-06,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-07,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-08,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-09,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-10,WEBBERTON,diesel,107.2,107.2,107.2,107.2,1
2003-02-11,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-12,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-13,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-14,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-15,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-16,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-17,WEBBERTON,diesel,107.9,107.9,107.9,107.9,1
2003-02-18,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-19,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-20,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-21,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-22,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-23,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-24,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-25,WEBBERTON,diesel,108.9,108.9,108.9,108.9,1
2003-02-26,WEBBERTON,diesel,109.9,109.9,109.9,109.9,1
2003-02-27,WEBBERTON,diesel,109.9,109.9,109.9,109.9,1
2003-02-28,WEBBERTON,diesel,109.9,109.9,109.9,109.9,1
2004-01-01,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-02,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-03,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-04,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-05,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-06,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-07,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-08,WEBBERTON,diesel,99.8,99.8,99.8,99.8,1
2004-01-09,WEBBERTON,diesel,100.9,100.9,100.9,100.9,1
2004-01-10,WEBBERTON,diesel,100.9,100.9,100.9,100.9,1
2004-01-11,WEBBERTON,diesel,100.9,100.9,100.9,100.9,1
2004-01-12,WEBBERTON,diesel,100.9,100.9,100.9,100.9,1
2004-01-13,WEBBERTON,diesel,101.8,101.8,101.8,101.8,1
2004-01-14,WEBBERTON,diesel,101.8,101.8,101.8,101.8,1
2004-01-15,WEBBERTON,diesel,101.8,101.8,101.8,101.8,1
2004-01-16,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-17,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-18,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-19,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-20,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-21,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-22,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-23,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-24,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-25,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-26,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-27,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-28,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-29,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-30,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-01-31,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-02-01,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-02-02,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-02-03,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-02-04,WEBBERTON,diesel,102.8,102.8,102.8,102.8,1
2004-02-05,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-06,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-07,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-08,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-09,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-10,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-11,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-12,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-13,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-14,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-15,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-16,WEBBERTON,diesel,101.9,102.3,102.8,101.9,2
2004-02-17,WEBBERTON,diesel,100.9,101.4,101.9,100.9,2
2004-02-18,WEBBERTON,diesel,100.9,101.4,101.9,100.9,2
2004-02-19,WEBBERTON,diesel,100.9,101.4,101.9,100.9,2
2004-02-20,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-21,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-22,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-23,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-24,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-25,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-26,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-27,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-28,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2004-02-29,WEBBERTON,diesel,99.9,100.9,101.9,99.9,2
2005-01-01,WEBBERTON,diesel,114.9,115.2,115.4,114.9,2
2005-01-02,WEBBERTON,diesel,114.9,115.2,115.4,114.9,2
2005-01-03,WEBBERTON,diesel,114.9,115.2,115.4,114.9,2
2005-01-04,WEBBERTON,diesel,114.9,115.2,115.4,114.9,2
2005-01-05,WEBBERTON,diesel,114.9,115.2,115.4,114.9,2
2005-01-06,WEBBERTON,diesel,113.8,114.3,114.9,113.8,2
2005-01-07,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-08,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-09,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-10,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-11,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-12,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-13,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-14,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-15,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
2005-01-16,WEBBERTON,diesel,113.8,113.8,113.9,113.8,2
