date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WELSHPOOL,lpg,44.5,44.5,44.5,44.5,1
2002-01-02,WELSHPOOL,lpg,44.5,44.5,44.5,44.5,1
2002-01-03,WELSHPOOL,lpg,44.5,44.5,44.5,44.5,1
2002-01-04,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-05,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-06,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-07,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-08,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-09,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-10,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-11,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-12,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-13,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-14,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-15,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-16,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-17,WELSHPOOL,lpg,44.3,44.3,44.3,44.3,1
2002-01-18,WELSHPOOL,lpg,44.2,44.2,44.2,44.2,1
2002-01-19,WELSHPOOL,lpg,44.2,44.2,44.2,44.2,1
2002-01-20,WELSHPOOL,lpg,44.2,44.2,44.2,44.2,1
2002-01-21,WELSHPOOL,lpg,44.2,44.2,44.2,44.2,1
2002-01-22,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-23,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-24,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-25,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-26,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-27,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-28,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-29,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-30,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-01-31,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-01,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-02,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-03,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-04,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-05,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-06,WELSHPOOL,lpg,45.9,45.9,45.9,45.9,1
2002-02-07,WELSHPOOL,lpg,45.9,45.9,45.9,45.9,1
2002-02-08,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-09,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-10,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-11,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
2002-02-12,WELSHPOOL,lpg,43.7,43.7,43.7,43.7,1
