date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2007-02-03,WELSHPOOL,premium_98,117.7,117.7,117.7,117.7,1
2007-02-04,WELSHPOOL,premium_98,117.2,117.2,117.2,117.2,1
2007-02-05,WELSHPOOL,premium_98,116.5,116.5,116.5,116.5,1
2007-02-06,WELSHPOOL,premium_98,116.2,116.2,116.2,116.2,1
2007-02-07,WELSHPOOL,premium_98,115.7,115.7,115.7,115.7,1
2007-02-08,WELSHPOOL,premium_98,115.7,115.7,115.7,115.7,1
2007-02-09,WELSHPOOL,premium_98,115.5,115.5,115.5,115.5,1
2007-02-10,WELSHPOOL,premium_98,116.9,116.9,116.9,116.9,1
2007-02-11,WELSHPOOL,premium_98,116.9,116.9,116.9,116.9,1
2007-02-12,WELSHPOOL,premium_98,116.9,116.9,116.9,116.9,1
2007-02-13,WELSHPOOL,premium_98,116.9,116.9,116.9,116.9,1
2007-02-14,WELSHPOOL,premium_98,130.9,130.9,130.9,130.9,1
2007-02-15,WELSHPOOL,premium_98,129.9,129.9,129.9,129.9,1
2007-02-16,WELSHPOOL,premium_98,127.5,127.5,127.5,127.5,1
2007-02-17,WELSHPOOL,premium_98,126.9,126.9,126.9,126.9,1
2007-02-18,WELSHPOOL,premium_98,126.5,126.5,126.5,126.5,1
2007-02-19,WELSHPOOL,premium_98,123.8,123.8,123.8,123.8,1
2007-02-20,WELSHPOOL,premium_98,123.8,123.8,123.8,123.8,1
2007-02-21,WELSHPOOL,premium_98,122.9,122.9,122.9,122.9,1
2007-02-22,WELSHPOOL,premium_98,122.5,122.5,122.5,122.5,1
2007-02-23,WELSHPOOL,premium_98,120.2,120.2,120.2,120.2,1
2007-02-24,WELSHPOOL,premium_98,119.9,119.9,119.9,119.9,1
2007-02-25,WELSHPOOL,premium_98,119.3,119.3,119.3,119.3,1
2007-02-26,WELSHPOOL,premium_98,118.7,118.7,118.7,118.7,1
2007-02-27,WELSHPOOL,premium_98,118.7,118.7,118.7,118.7,1
2007-02-28,WELSHPOOL,premium_98,130.5,130.5,130.5,130.5,1
2008-01-01,WELSHPOOL,premium_98,141.5,141.5,141.5,141.5,1
2008-01-02,WELSHPOOL,premium_98,140.9,140.9,140.9,140.9,1
2008-01-03,WELSHPOOL,premium_98,140.5,140.5,140.5,140.5,1
2008-01-04,WELSHPOOL,premium_98,153.9,153.9,153.9,153.9,1
2008-01-05,WELSHPOOL,premium_98,153.9,153.9,153.9,153.9,1
2008-01-06,WELSHPOOL,premium_98,152.9,152.9,152.9,152.9,1
2008-01-07,WELSHPOOL,premium_98,151.9,151.9,151.9,151.9,1
2008-01-08,WELSHPOOL,premium_98,150.5,150.5,150.5,150.5,1
2008-01-09,WELSHPOOL,premium_98,149.5,149.5,149.5,149.5,1
2008-01-10,WELSHPOOL,premium_98,148.5,148.5,148.5,148.5,1
2008-01-11,WELSHPOOL,premium_98,146.9,146.9,146.9,146.9,1
2008-01-12,WELSHPOOL,premium_98,146.9,146.9,146.9,146.9,1
2008-01-13,WELSHPOOL,premium_98,145.7,145.7,145.7,145.7,1
2008-01-14,WELSHPOOL,premium_98,144.9,144.9,144.9,144.9,1
2008-01-15,WELSHPOOL,premium_98,144.9,144.9,144.9,144.9,1
2008-01-16,WELSHPOOL,premium_98,142.9,142.9,142.9,142.9,1
2008-01-17,WELSHPOOL,premium_98,142.9,142.9,142.9,142.9,1
2008-01-18,WELSHPOOL,premium_98,141.5,141.5,141.5,141.5,1
2008-01-19,WELSHPOOL,premium_98,152.9,152.9,152.9,152.9,1
2008-01-20,WELSHPOOL,premium_98,152.9,152.9,152.9,152.9,1
2008-01-21,WELSHPOOL,premium_98,150.9,150.9,150.9,150.9,1
2008-01-22,WELSHPOOL,premium_98,148.9,148.9,148.9,148.9,1
2008-01-23,WELSHPOOL,premium_98,147.9,147.9,147.9,147.9,1
2008-01-24,WELSHPOOL,premium_98,147.5,147.5,147.5,147.5,1
2008-01-25,WELSHPOOL,premium_98,145.9,145.9,145.9,145.9,1
2008-01-26,WELSHPOOL,premium_98,145.5,145.5,145.5,145.5,1
2008-01-27,WELSHPOOL,premium_98,144.5,144.5,144.5,144.5,1
2008-01-28,WELSHPOOL,premium_98,143.9,143.9,143.9,143.9,1
2008-01-29,WELSHPOOL,premium_98,142.9,142.9,142.9,142.9,1
2008-01-30,WELSHPOOL,premium_98,141.9,141.9,141.9,141.9,1
2008-01-31,WELSHPOOL,premium_98,140.7,140.7,140.7,140.7,1
2008-02-01,WELSHPOOL,premium_98,138.9,138.9,138.9,138.9,1
2008-02-02,WELSHPOOL,premium_98,138.9,138.9,138.9,138.9,1
