date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-02,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-03,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-04,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-05,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-06,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-07,WEST BUSSELTON,premium_95,102.9,102.9,102.9,102.9,1
2004-01-08,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-09,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-10,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-11,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-12,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-13,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-14,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-15,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-16,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-17,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-18,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-19,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-20,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-21,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-22,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-23,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-24,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-25,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-26,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-27,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
2004-01-28,WEST BUSSELTON,premium_95,105.9,105.9,105.9,105.9,1
