date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-02,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-03,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-04,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-05,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-06,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-07,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-08,WEST PERTH,lpg,41.5,41.5,41.5,41.5,1
2002-01-09,WEST PERTH,lpg,40.9,40.9,40.9,40.9,1
2002-01-10,WEST PERTH,lpg,40.9,40.9,40.9,40.9,1
2002-01-11,WEST PERTH,lpg,40.9,40.9,40.9,40.9,1
2002-01-12,WEST PERTH,lpg,40.9,40.9,40.9,40.9,1
2002-01-13,WEST PERTH,lpg,40.9,40.9,40.9,40.9,1
2002-01-14,WEST PERTH,lpg,46.9,46.9,46.9,46.9,1
2002-01-15,WEST PERTH,lpg,46.9,46.9,46.9,46.9,1
2002-01-16,WEST PERTH,lpg,46.9,46.9,46.9,46.9,1
2002-01-17,WEST PERTH,lpg,46.9,46.9,46.9,46.9,1
2002-01-18,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-19,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-20,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-21,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-22,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-23,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-24,WEST PERTH,lpg,45.9,45.9,45.9,45.9,1
2002-01-25,WEST PERTH,lpg,43.9,43.9,43.9,43.9,1
2002-01-26,WEST PERTH,lpg,43.9,43.9,43.9,43.9,1
2002-01-27,WEST PERTH,lpg,43.9,43.9,43.9,43.9,1
2002-01-28,WEST PERTH,lpg,43.9,43.9,43.9,43.9,1
2002-01-29,WEST PERTH,lpg,43.9,43.9,43.9,43.9,1
2002-01-30,WEST PERTH,lpg,43.9,43.9,43.9,43.9,1
2002-01-31,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-01,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-02,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-03,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-04,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-05,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-06,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-07,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-08,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-09,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-10,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-11,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-12,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-13,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-14,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-15,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-16,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-17,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-18,WEST PERTH,lpg,43.5,43.5,43.5,43.5,1
2002-02-19,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-20,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-21,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-22,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-23,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-24,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-25,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-26,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-27,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2002-02-28,WEST PERTH,lpg,41.9,41.9,41.9,41.9,1
2003-01-01,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-02,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-03,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-04,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-05,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-06,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-07,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-08,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-09,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-10,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-11,WEST PERTH,lpg,51.9,51.9,51.9,51.9,1
2003-01-12,WEST PERTH,lpg,51.9,51.9,51.9,51.9,1
2003-01-13,WEST PERTH,lpg,51.9,51.9,51.9,51.9,1
2003-01-14,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-15,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-16,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-17,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-18,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-19,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-20,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-21,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-22,WEST PERTH,lpg,47.9,47.9,47.9,47.9,1
2003-01-23,WEST PERTH,lpg,52.9,52.9,52.9,52.9,1
2003-01-24,WEST PERTH,lpg,52.9,52.9,52.9,52.9,1
