date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WEST PERTH,premium_95,87.5,87.5,87.5,87.5,2
2002-01-02,WEST PERTH,premium_95,84.5,86.0,87.5,84.5,2
2002-01-03,WEST PERTH,premium_95,83.5,85.5,87.5,83.5,2
2002-01-04,WEST PERTH,premium_95,81.7,84.6,87.5,81.7,2
2002-01-05,WEST PERTH,premium_95,81.5,84.5,87.5,81.5,2
2002-01-06,WEST PERTH,premium_95,81.3,84.4,87.5,81.3,2
2002-01-07,WEST PERTH,premium_95,79.7,83.6,87.5,79.7,2
2002-01-08,WEST PERTH,premium_95,80.5,84.0,87.5,80.5,2
2002-01-09,WEST PERTH,premium_95,87.5,89.5,91.5,87.5,2
2002-01-10,WEST PERTH,premium_95,87.5,89.4,91.3,87.5,2
2002-01-11,WEST PERTH,premium_95,87.5,87.5,87.5,87.5,2
2002-01-12,WEST PERTH,premium_95,87.5,87.5,87.5,87.5,2
2002-01-13,WEST PERTH,premium_95,87.5,87.5,87.5,87.5,2
2002-01-14,WEST PERTH,premium_95,87.5,87.5,87.5,87.5,2
2002-01-15,WEST PERTH,premium_95,86.5,87.0,87.5,86.5,2
2002-01-16,WEST PERTH,premium_95,87.5,88.7,89.9,87.5,2
2002-01-17,WEST PERTH,premium_95,87.5,88.0,88.5,87.5,2
2002-01-18,WEST PERTH,premium_95,87.5,88.0,88.5,87.5,2
2002-01-19,WEST PERTH,premium_95,84.7,86.1,87.5,84.7,2
2002-01-20,WEST PERTH,premium_95,83.5,85.5,87.5,83.5,2
2002-01-21,WEST PERTH,premium_95,83.5,85.5,87.5,83.5,2
2002-01-22,WEST PERTH,premium_95,83.3,85.4,87.5,83.3,2
2002-01-23,WEST PERTH,premium_95,81.7,84.6,87.5,81.7,2
2002-01-24,WEST PERTH,premium_95,80.5,84.0,87.5,80.5,2
2002-01-25,WEST PERTH,premium_95,87.5,88.5,89.5,87.5,2
2002-01-26,WEST PERTH,premium_95,86.7,87.1,87.5,86.7,2
2002-01-27,WEST PERTH,premium_95,85.3,86.4,87.5,85.3,2
2002-01-28,WEST PERTH,premium_95,83.7,85.6,87.5,83.7,2
2002-01-29,WEST PERTH,premium_95,84.3,85.9,87.5,84.3,2
2002-01-30,WEST PERTH,premium_95,82.3,84.9,87.5,82.3,2
2002-01-31,WEST PERTH,premium_95,81.5,84.5,87.5,81.5,2
2002-02-01,WEST PERTH,premium_95,87.5,87.5,87.5,87.5,2
2002-02-02,WEST PERTH,premium_95,85.9,86.7,87.5,85.9,2
2002-02-03,WEST PERTH,premium_95,85.5,86.5,87.5,85.5,2
2002-02-04,WEST PERTH,premium_95,84.5,86.0,87.5,84.5,2
2002-02-05,WEST PERTH,premium_95,84.3,85.9,87.5,84.3,2
2002-02-06,WEST PERTH,premium_95,82.7,85.1,87.5,82.7,2
2002-02-07,WEST PERTH,premium_95,81.9,84.7,87.5,81.9,2
2002-02-08,WEST PERTH,premium_95,81.6,84.5,87.5,81.6,2
2002-02-09,WEST PERTH,premium_95,80.9,84.2,87.5,80.9,2
2002-02-10,WEST PERTH,premium_95,87.5,90.7,93.9,87.5,2
2002-02-11,WEST PERTH,premium_95,87.5,90.5,93.5,87.5,2
2002-02-12,WEST PERTH,premium_95,87.5,89.7,91.9,87.5,2
2002-02-13,WEST PERTH,premium_95,87.5,89.0,90.5,87.5,2
2002-02-14,WEST PERTH,premium_95,88.5,88.6,88.7,88.5,2
2002-02-15,WEST PERTH,premium_95,87.3,87.9,88.5,87.3,2
2002-02-16,WEST PERTH,premium_95,84.9,86.7,88.5,84.9,2
2002-02-17,WEST PERTH,premium_95,84.5,86.5,88.5,84.5,2
2002-02-18,WEST PERTH,premium_95,83.7,86.1,88.5,83.7,2
2002-02-19,WEST PERTH,premium_95,83.5,86.0,88.5,83.5,2
2002-02-20,WEST PERTH,premium_95,88.5,92.5,96.5,88.5,2
2002-02-21,WEST PERTH,premium_95,88.5,91.1,93.7,88.5,2
2002-02-22,WEST PERTH,premium_95,88.5,88.9,89.3,88.5,2
2002-02-23,WEST PERTH,premium_95,88.5,88.5,88.5,88.5,2
2002-02-24,WEST PERTH,premium_95,88.3,88.4,88.5,88.3,2
2002-02-25,WEST PERTH,premium_95,86.5,87.5,88.5,86.5,2
2002-02-26,WEST PERTH,premium_95,84.9,86.7,88.5,84.9,2
2002-02-27,WEST PERTH,premium_95,83.5,86.0,88.5,83.5,2
2002-02-28,WEST PERTH,premium_95,82.9,85.7,88.5,82.9,2
2003-01-01,WEST PERTH,premium_95,97.9,98.7,99.5,97.9,2
2003-01-02,WEST PERTH,premium_95,97.9,98.7,99.5,97.9,2
2003-01-03,WEST PERTH,premium_95,93.9,95.9,97.9,93.9,2
2003-01-04,WEST PERTH,premium_95,93.9,95.9,97.9,93.9,2
2003-01-05,WEST PERTH,premium_95,93.9,95.9,97.9,93.9,2
2003-01-06,WEST PERTH,premium_95,92.5,95.2,97.9,92.5,2
2003-01-07,WEST PERTH,premium_95,92.5,95.2,97.9,92.5,2
2003-01-08,WEST PERTH,premium_95,93.5,94.7,95.9,93.5,2
2003-01-09,WEST PERTH,premium_95,95.9,100.4,104.9,95.9,2
2003-01-10,WEST PERTH,premium_95,95.9,99.9,103.9,95.9,2
2003-01-11,WEST PERTH,premium_95,99.9,101.2,102.5,99.9,2
2003-01-12,WEST PERTH,premium_95,99.9,101.2,102.5,99.9,2
2003-01-13,WEST PERTH,premium_95,96.7,98.3,99.9,96.7,2
2003-01-14,WEST PERTH,premium_95,96.7,98.3,99.9,96.7,2
2003-01-15,WEST PERTH,premium_95,93.5,96.7,99.9,93.5,2
2003-01-16,WEST PERTH,premium_95,95.5,97.7,99.9,95.5,2
2003-01-17,WEST PERTH,premium_95,94.7,97.3,99.9,94.7,2
2003-01-18,WEST PERTH,premium_95,99.9,102.4,104.9,99.9,2
2003-01-19,WEST PERTH,premium_95,99.9,101.9,103.9,99.9,2
2003-01-20,WEST PERTH,premium_95,99.9,100.7,101.5,99.9,2
2003-01-21,WEST PERTH,premium_95,99.9,100.7,101.5,99.9,2
2003-01-22,WEST PERTH,premium_95,99.9,99.9,99.9,99.9,2
2003-01-23,WEST PERTH,premium_95,97.3,98.6,99.9,97.3,2
2003-01-24,WEST PERTH,premium_95,96.9,98.4,99.9,96.9,2
2003-01-25,WEST PERTH,premium_95,96.3,98.1,99.9,96.3,2
2003-01-26,WEST PERTH,premium_95,96.9,98.4,99.9,96.9,2
2003-01-27,WEST PERTH,premium_95,96.9,98.4,99.9,96.9,2
2003-01-28,WEST PERTH,premium_95,95.7,97.8,99.9,95.7,2
2003-01-29,WEST PERTH,premium_95,95.7,97.8,99.9,95.7,2
2003-01-30,WEST PERTH,premium_95,99.9,102.4,104.9,99.9,2
2003-01-31,WEST PERTH,premium_95,99.9,101.9,103.9,99.9,2
2003-02-01,WEST PERTH,premium_95,99.9,100.9,101.9,99.9,2
2003-02-02,WEST PERTH,premium_95,99.9,100.4,100.9,99.9,2
2003-02-03,WEST PERTH,premium_95,98.9,99.4,99.9,98.9,2
2003-02-04,WEST PERTH,premium_95,97.9,98.9,99.9,97.9,2
2003-02-05,WEST PERTH,premium_95,96.5,98.2,99.9,96.5,2
2003-02-06,WEST PERTH,premium_95,96.5,98.2,99.9,96.5,2
2003-02-07,WEST PERTH,premium_95,99.9,102.4,104.9,99.9,2
2003-02-08,WEST PERTH,premium_95,99.9,100.4,100.9,99.9,2
2003-02-09,WEST PERTH,premium_95,99.9,100.7,101.5,99.9,2
2003-02-10,WEST PERTH,premium_95,99.7,99.8,99.9,99.7,2
2003-02-11,WEST PERTH,premium_95,99.7,99.8,99.9,99.7,2
2003-02-12,WEST PERTH,premium_95,99.7,99.8,99.9,99.7,2
2003-02-13,WEST PERTH,premium_95,99.7,99.8,99.9,99.7,2
2003-02-14,WEST PERTH,premium_95,99.9,99.9,99.9,99.9,2
2003-02-15,WEST PERTH,premium_95,101.9,105.4,108.9,101.9,2
2003-02-16,WEST PERTH,premium_95,101.9,105.4,108.9,101.9,2
2003-02-17,WEST PERTH,premium_95,101.9,102.7,103.5,101.9,2
2003-02-18,WEST PERTH,premium_95,101.9,102.7,103.5,101.9,2
2003-02-19,WEST PERTH,premium_95,101.9,102.7,103.5,101.9,2
2003-02-20,WEST PERTH,premium_95,102.9,106.9,110.9,102.9,2
2003-02-21,WEST PERTH,premium_95,105.9,108.4,110.9,105.9,2
2003-02-22,WEST PERTH,premium_95,105.9,107.8,109.7,105.9,2
2003-02-23,WEST PERTH,premium_95,105.9,107.8,109.7,105.9,2
2003-02-24,WEST PERTH,premium_95,104.7,105.3,105.9,104.7,2
2003-02-25,WEST PERTH,premium_95,105.5,105.7,105.9,105.5,2
2003-02-26,WEST PERTH,premium_95,105.5,105.7,105.9,105.5,2
2003-02-27,WEST PERTH,premium_95,102.3,104.1,105.9,102.3,2
2003-02-28,WEST PERTH,premium_95,105.9,109.4,112.9,105.9,2
2004-01-01,WEST PERTH,premium_95,95.9,97.6,99.5,95.9,3
2004-01-02,WEST PERTH,premium_95,95.9,96.7,97.5,95.9,3
2004-01-03,WEST PERTH,premium_95,93.9,94.9,95.9,93.9,3
2004-01-04,WEST PERTH,premium_95,93.9,94.9,95.9,93.9,3
2004-01-05,WEST PERTH,premium_95,92.7,94.2,95.9,92.7,3
2004-01-06,WEST PERTH,premium_95,94.9,97.6,101.9,94.9,3
2004-01-07,WEST PERTH,premium_95,95.9,98.2,100.9,95.9,3
2004-01-08,WEST PERTH,premium_95,95.9,96.8,97.7,95.9,3
2004-01-09,WEST PERTH,premium_95,94.2,95.0,95.9,94.2,3
2004-01-10,WEST PERTH,premium_95,94.2,95.0,95.9,94.2,3
2004-01-11,WEST PERTH,premium_95,94.2,98.3,104.9,94.2,3
2004-01-12,WEST PERTH,premium_95,95.9,98.8,103.9,95.9,3
2004-01-13,WEST PERTH,premium_95,95.9,100.4,102.9,95.9,3
2004-01-14,WEST PERTH,premium_95,95.9,99.2,101.9,95.9,3
2004-01-15,WEST PERTH,premium_95,95.9,97.6,98.5,95.9,3
2004-01-16,WEST PERTH,premium_95,94.5,95.1,95.9,94.5,3
2004-01-17,WEST PERTH,premium_95,94.4,95.1,95.9,94.4,3
2004-01-18,WEST PERTH,premium_95,94.4,97.4,99.9,94.4,3
2004-01-19,WEST PERTH,premium_95,95.9,100.2,104.9,95.9,3
2004-01-20,WEST PERTH,premium_95,95.9,100.1,104.5,95.9,3
2004-01-21,WEST PERTH,premium_95,99.9,102.1,103.5,99.9,3
2004-01-22,WEST PERTH,premium_95,99.9,100.9,101.9,99.9,3
2004-01-23,WEST PERTH,premium_95,97.2,98.5,99.9,97.2,3
2004-01-24,WEST PERTH,premium_95,95.9,97.4,99.9,95.9,3
2004-01-25,WEST PERTH,premium_95,95.9,97.4,99.9,95.9,3
2004-01-26,WEST PERTH,premium_95,93.9,96.2,99.9,93.9,3
2004-01-27,WEST PERTH,premium_95,93.9,96.2,99.9,93.9,3
2004-01-28,WEST PERTH,premium_95,94.9,96.6,99.9,94.9,3
2004-01-29,WEST PERTH,premium_95,99.9,102.8,104.5,99.9,3
2004-01-30,WEST PERTH,premium_95,99.9,101.5,102.9,99.9,3
2004-01-31,WEST PERTH,premium_95,99.9,100.4,100.9,99.9,3
2004-02-01,WEST PERTH,premium_95,99.7,100.2,100.9,99.7,3
2004-02-02,WEST PERTH,premium_95,94.9,97.8,99.9,94.9,3
2004-02-03,WEST PERTH,premium_95,93.9,96.2,99.9,93.9,3
2004-02-04,WEST PERTH,premium_95,92.5,95.4,99.9,92.5,3
2004-02-05,WEST PERTH,premium_95,92.5,95.0,99.9,92.5,3
2004-02-06,WEST PERTH,premium_95,90.7,94.2,99.9,90.7,3
2004-02-07,WEST PERTH,premium_95,90.7,93.8,99.9,90.7,3
2004-02-08,WEST PERTH,premium_95,90.7,97.8,102.9,90.7,3
2004-02-09,WEST PERTH,premium_95,90.7,97.7,102.5,90.7,3
2004-02-10,WEST PERTH,premium_95,99.5,100.1,100.9,99.5,3
2004-02-11,WEST PERTH,premium_95,97.9,99.2,99.9,97.9,3
2004-02-12,WEST PERTH,premium_95,94.9,97.1,99.9,94.9,3
2004-02-13,WEST PERTH,premium_95,90.7,93.5,95.9,90.7,3
2004-02-14,WEST PERTH,premium_95,90.5,92.4,95.9,90.5,3
2004-02-15,WEST PERTH,premium_95,90.3,96.0,101.9,90.3,3
2004-02-16,WEST PERTH,premium_95,89.3,95.4,100.9,89.3,3
2004-02-17,WEST PERTH,premium_95,89.3,95.0,99.9,89.3,3
2004-02-18,WEST PERTH,premium_95,95.9,96.9,98.9,95.9,3
2004-02-19,WEST PERTH,premium_95,93.5,94.4,95.9,93.5,3
2004-02-20,WEST PERTH,premium_95,90.7,92.8,95.9,90.7,3
2004-02-21,WEST PERTH,premium_95,88.8,91.8,95.9,88.8,3
2004-02-22,WEST PERTH,premium_95,88.8,91.5,95.9,88.8,3
2004-02-23,WEST PERTH,premium_95,88.7,91.4,95.9,88.7,3
2004-02-24,WEST PERTH,premium_95,87.9,90.8,95.9,87.9,3
2004-02-25,WEST PERTH,premium_95,92.9,96.4,100.5,92.9,3
2004-02-26,WEST PERTH,premium_95,91.5,95.1,97.9,91.5,3
2004-02-27,WEST PERTH,premium_95,91.5,93.0,95.9,91.5,3
2004-02-28,WEST PERTH,premium_95,90.9,92.8,95.9,90.9,3
2004-02-29,WEST PERTH,premium_95,90.9,96.9,103.9,90.9,3
2005-01-01,WEST PERTH,premium_95,96.9,98.2,99.9,96.9,3
2005-01-02,WEST PERTH,premium_95,96.9,98.2,99.9,96.9,3
2005-01-03,WEST PERTH,premium_95,96.9,97.9,99.9,96.9,3
2005-01-04,WEST PERTH,premium_95,96.9,97.9,99.9,96.9,3
2005-01-05,WEST PERTH,premium_95,95.4,97.4,99.9,95.4,3
2005-01-06,WEST PERTH,premium_95,95.2,98.0,99.9,95.2,3
