date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WEST PERTH,ulp_91,82.7,84.8,86.5,82.7,6
2002-01-02,WEST PERTH,ulp_91,80.5,83.7,86.5,80.5,6
2002-01-03,WEST PERTH,ulp_91,79.5,82.8,86.5,79.5,6
2002-01-04,WEST PERTH,ulp_91,77.7,81.8,86.5,77.7,6
2002-01-05,WEST PERTH,ulp_91,77.5,81.3,86.5,77.5,6
2002-01-06,WEST PERTH,ulp_91,77.3,81.2,86.5,77.3,6
2002-01-07,WEST PERTH,ulp_91,75.7,80.5,86.5,75.7,6
2002-01-08,WEST PERTH,ulp_91,76.5,80.8,86.5,76.5,6
2002-01-09,WEST PERTH,ulp_91,79.9,85.2,90.5,79.9,6
2002-01-10,WEST PERTH,ulp_91,83.5,87.1,90.3,83.5,6
2002-01-11,WEST PERTH,ulp_91,83.5,85.8,89.1,83.5,6
2002-01-12,WEST PERTH,ulp_91,83.3,85.0,86.8,83.3,6
2002-01-13,WEST PERTH,ulp_91,81.8,84.5,86.5,81.8,6
2002-01-14,WEST PERTH,ulp_91,80.8,84.2,86.5,80.8,6
2002-01-15,WEST PERTH,ulp_91,79.5,83.4,86.5,79.5,6
2002-01-16,WEST PERTH,ulp_91,78.3,84.2,88.9,78.3,6
2002-01-17,WEST PERTH,ulp_91,78.3,83.7,87.5,78.3,6
2002-01-18,WEST PERTH,ulp_91,78.3,83.7,87.5,78.3,6
2002-01-19,WEST PERTH,ulp_91,80.7,83.6,86.5,80.7,6
2002-01-20,WEST PERTH,ulp_91,79.5,82.8,86.5,79.5,6
2002-01-21,WEST PERTH,ulp_91,79.5,82.5,86.5,79.5,6
2002-01-22,WEST PERTH,ulp_91,78.9,82.2,86.5,78.9,6
2002-01-23,WEST PERTH,ulp_91,77.5,81.2,86.5,77.5,6
2002-01-24,WEST PERTH,ulp_91,76.5,80.8,86.5,76.5,6
2002-01-25,WEST PERTH,ulp_91,77.5,83.8,88.5,77.5,6
2002-01-26,WEST PERTH,ulp_91,82.7,84.8,87.0,82.7,6
2002-01-27,WEST PERTH,ulp_91,81.3,83.7,86.5,81.3,6
2002-01-28,WEST PERTH,ulp_91,79.7,82.6,86.5,79.7,6
2002-01-29,WEST PERTH,ulp_91,78.3,82.0,86.5,78.3,6
2002-01-30,WEST PERTH,ulp_91,77.5,81.3,86.5,77.5,6
2002-01-31,WEST PERTH,ulp_91,76.5,80.5,86.5,76.5,6
2002-02-01,WEST PERTH,ulp_91,76.7,82.5,86.5,76.7,6
2002-02-02,WEST PERTH,ulp_91,79.9,83.0,86.5,79.9,6
2002-02-03,WEST PERTH,ulp_91,79.9,82.9,86.5,79.9,6
