date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WESTFIELD,premium_95,88.9,88.9,88.9,88.9,1
2002-01-02,WESTFIELD,premium_95,85.9,85.9,85.9,85.9,1
2002-01-03,WESTFIELD,premium_95,85.9,85.9,85.9,85.9,1
2002-01-04,WESTFIELD,premium_95,83.9,83.9,83.9,83.9,1
2002-01-05,WESTFIELD,premium_95,83.3,83.3,83.3,83.3,1
2002-01-06,WESTFIELD,premium_95,83.3,83.3,83.3,83.3,1
2002-01-07,WESTFIELD,premium_95,83.7,83.7,83.7,83.7,1
2002-01-08,WESTFIELD,premium_95,93.9,93.9,93.9,93.9,1
2002-01-09,WESTFIELD,premium_95,93.5,93.5,93.5,93.5,1
2002-01-10,WESTFIELD,premium_95,91.0,91.0,91.0,91.0,1
2002-01-11,WESTFIELD,premium_95,90.3,90.3,90.3,90.3,1
2002-01-12,WESTFIELD,premium_95,88.7,88.7,88.7,88.7,1
2002-01-13,WESTFIELD,premium_95,87.3,87.3,87.3,87.3,1
2002-01-14,WESTFIELD,premium_95,86.4,86.4,86.4,86.4,1
2002-01-15,WESTFIELD,premium_95,84.7,84.7,84.7,84.7,1
2002-01-16,WESTFIELD,premium_95,83.9,83.9,83.9,83.9,1
2002-01-17,WESTFIELD,premium_95,91.4,91.4,91.4,91.4,1
2002-01-18,WESTFIELD,premium_95,89.6,89.6,89.6,89.6,1
2002-01-19,WESTFIELD,premium_95,87.5,87.5,87.5,87.5,1
2002-01-20,WESTFIELD,premium_95,87.5,87.5,87.5,87.5,1
2002-01-21,WESTFIELD,premium_95,86.9,86.9,86.9,86.9,1
2002-01-22,WESTFIELD,premium_95,84.7,84.7,84.7,84.7,1
2002-01-23,WESTFIELD,premium_95,83.3,83.3,83.3,83.3,1
2002-01-24,WESTFIELD,premium_95,91.8,91.8,91.8,91.8,1
2002-01-25,WESTFIELD,premium_95,90.9,90.9,90.9,90.9,1
2002-01-26,WESTFIELD,premium_95,88.2,88.2,88.2,88.2,1
2002-01-27,WESTFIELD,premium_95,87.3,87.3,87.3,87.3,1
2002-01-28,WESTFIELD,premium_95,85.5,85.5,85.5,85.5,1
2002-01-29,WESTFIELD,premium_95,84.3,84.3,84.3,84.3,1
2002-01-30,WESTFIELD,premium_95,83.6,83.6,83.6,83.6,1
2002-01-31,WESTFIELD,premium_95,82.3,82.3,82.3,82.3,1
2002-02-01,WESTFIELD,premium_95,92.8,92.8,92.8,92.8,1
2002-02-02,WESTFIELD,premium_95,92.8,92.8,92.8,92.8,1
2002-02-03,WESTFIELD,premium_95,88.9,88.9,88.9,88.9,1
2002-02-04,WESTFIELD,premium_95,85.9,85.9,85.9,85.9,1
2002-02-05,WESTFIELD,premium_95,84.3,84.3,84.3,84.3,1
2002-02-06,WESTFIELD,premium_95,83.3,83.3,83.3,83.3,1
2002-02-07,WESTFIELD,premium_95,82.7,82.7,82.7,82.7,1
2002-02-08,WESTFIELD,premium_95,82.7,82.7,82.7,82.7,1
2002-02-09,WESTFIELD,premium_95,82.7,82.7,82.7,82.7,1
2002-02-10,WESTFIELD,premium_95,82.7,82.7,82.7,82.7,1
2002-02-11,WESTFIELD,premium_95,94.8,94.8,94.8,94.8,1
2002-02-12,WESTFIELD,premium_95,92.9,92.9,92.9,92.9,1
2002-02-13,WESTFIELD,premium_95,91.3,91.3,91.3,91.3,1
2002-02-14,WESTFIELD,premium_95,90.3,90.3,90.3,90.3,1
2002-02-15,WESTFIELD,premium_95,88.7,88.7,88.7,88.7,1
2002-02-16,WESTFIELD,premium_95,87.7,87.7,87.7,87.7,1
2002-02-17,WESTFIELD,premium_95,86.8,86.8,86.8,86.8,1
2002-02-18,WESTFIELD,premium_95,86.8,86.8,86.8,86.8,1
2002-02-19,WESTFIELD,premium_95,97.8,97.8,97.8,97.8,1
2002-02-20,WESTFIELD,premium_95,96.9,96.9,96.9,96.9,1
2002-02-21,WESTFIELD,premium_95,94.0,94.0,94.0,94.0,1
2002-02-22,WESTFIELD,premium_95,92.2,92.2,92.2,92.2,1
2002-02-23,WESTFIELD,premium_95,91.2,91.2,91.2,91.2,1
2002-02-24,WESTFIELD,premium_95,89.5,89.5,89.5,89.5,1
2002-02-25,WESTFIELD,premium_95,89.5,89.5,89.5,89.5,1
2002-02-26,WESTFIELD,premium_95,87.7,87.7,87.7,87.7,1
2002-02-27,WESTFIELD,premium_95,86.7,86.7,86.7,86.7,1
2002-02-28,WESTFIELD,premium_95,85.8,85.8,85.8,85.8,1
2003-01-01,WESTFIELD,premium_95,97.9,97.9,97.9,97.9,1
2003-01-02,WESTFIELD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-03,WESTFIELD,premium_95,95.9,95.9,95.9,95.9,1
2003-01-04,WESTFIELD,premium_95,94.9,94.9,94.9,94.9,1
2003-01-05,WESTFIELD,premium_95,94.9,94.9,94.9,94.9,1
2003-01-06,WESTFIELD,premium_95,94.9,94.9,94.9,94.9,1
2003-01-07,WESTFIELD,premium_95,93.9,93.9,93.9,93.9,1
2003-01-08,WESTFIELD,premium_95,95.9,95.9,95.9,95.9,1
2003-01-09,WESTFIELD,premium_95,104.9,104.9,104.9,104.9,1
2003-01-10,WESTFIELD,premium_95,102.5,102.5,102.5,102.5,1
2003-01-11,WESTFIELD,premium_95,100.9,100.9,100.9,100.9,1
2003-01-12,WESTFIELD,premium_95,99.5,99.5,99.5,99.5,1
2003-01-13,WESTFIELD,premium_95,98.9,98.9,98.9,98.9,1
2003-01-14,WESTFIELD,premium_95,96.9,96.9,96.9,96.9,1
2003-01-15,WESTFIELD,premium_95,95.9,95.9,95.9,95.9,1
2003-01-16,WESTFIELD,premium_95,94.9,94.9,94.9,94.9,1
2003-01-17,WESTFIELD,premium_95,104.9,104.9,104.9,104.9,1
2003-01-18,WESTFIELD,premium_95,104.9,104.9,104.9,104.9,1
2003-01-19,WESTFIELD,premium_95,104.9,104.9,104.9,104.9,1
2003-01-20,WESTFIELD,premium_95,104.9,104.9,104.9,104.9,1
2003-01-21,WESTFIELD,premium_95,104.9,104.9,104.9,104.9,1
