date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-02,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-03,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-04,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-05,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-06,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-07,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-08,WILLETTON,diesel,87.9,91.2,96.9,87.9,4
2002-01-09,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-10,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-11,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-12,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-13,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-14,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-15,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-16,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-17,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-18,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-19,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-20,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-21,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-22,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-23,WILLETTON,diesel,85.9,90.2,96.9,85.9,4
2002-01-24,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-25,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-26,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-27,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-28,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-29,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-30,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-01-31,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-02-01,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-02-02,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-02-03,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
2002-02-04,WILLETTON,diesel,85.9,89.4,96.9,85.9,4
