date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,WILLIAMS,premium_98,106.1,106.1,106.1,106.1,1
2004-01-02,WILLIAMS,premium_98,106.1,106.1,106.1,106.1,1
2004-01-03,WILLIAMS,premium_98,106.1,106.1,106.1,106.1,1
2004-01-04,WILLIAMS,premium_98,106.1,106.1,106.1,106.1,1
2004-01-05,WILLIAMS,premium_98,106.1,106.1,106.1,106.1,1
2004-01-06,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-07,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-08,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-09,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-10,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-11,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-12,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-13,WILLIAMS,premium_98,106.8,106.8,106.8,106.8,1
2004-01-14,WILLIAMS,premium_98,109.2,109.2,109.2,109.2,1
2004-01-15,WILLIAMS,premium_98,109.2,109.2,109.2,109.2,1
2004-01-16,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-17,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-18,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-19,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-20,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-21,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-22,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-23,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-24,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-25,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-26,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-27,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-28,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-29,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-30,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-01-31,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-02-01,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-02-02,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-02-03,WILLIAMS,premium_98,110.6,110.6,110.6,110.6,1
2004-02-04,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-05,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-06,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-07,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-08,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-09,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-10,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-11,WILLIAMS,premium_98,107.4,107.4,107.4,107.4,1
2004-02-12,WILLIAMS,premium_98,104.7,104.7,104.7,104.7,1
2004-02-13,WILLIAMS,premium_98,104.7,104.7,104.7,104.7,1
2004-02-14,WILLIAMS,premium_98,104.7,104.7,104.7,104.7,1
2004-02-15,WILLIAMS,premium_98,104.7,104.7,104.7,104.7,1
2004-02-16,WILLIAMS,premium_98,104.7,104.7,104.7,104.7,1
2004-02-17,WILLIAMS,premium_98,104.7,104.7,104.7,104.7,1
2004-02-18,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-19,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-20,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-21,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-22,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-23,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-24,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-25,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-26,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-27,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-28,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2004-02-29,WILLIAMS,premium_98,103.1,103.1,103.1,103.1,1
2005-01-01,WILLIAMS,premium_98,110.8,110.8,110.8,110.8,1
2005-01-02,WILLIAMS,premium_98,110.8,110.8,110.8,110.8,1
2005-01-03,WILLIAMS,premium_98,110.8,110.8,110.8,110.8,1
2005-01-04,WILLIAMS,premium_98,110.8,110.8,110.8,110.8,1
2005-01-05,WILLIAMS,premium_98,110.8,110.8,110.8,110.8,1
2005-01-06,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-07,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-08,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-09,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-10,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-11,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-12,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-13,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-14,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-15,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-16,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-17,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-18,WILLIAMS,premium_98,109.5,109.5,109.5,109.5,1
2005-01-19,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-20,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-21,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-22,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-23,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-24,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-25,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-26,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-27,WILLIAMS,premium_98,112.4,112.4,112.4,112.4,1
2005-01-28,WILLIAMS,premium_98,115.0,115.0,115.0,115.0,1
2005-01-29,WILLIAMS,premium_98,115.0,115.0,115.0,115.0,1
2005-01-30,WILLIAMS,premium_98,115.0,115.0,115.0,115.0,1
2005-01-31,WILLIAMS,premium_98,115.0,115.0,115.0,115.0,1
2005-02-01,WILLIAMS,premium_98,115.0,115.0,115.0,115.0,1
2005-02-02,WILLIAMS,premium_98,115.0,115.0,115.0,115.0,1
2005-02-03,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-04,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-05,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-06,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-07,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-08,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-09,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-10,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-11,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-12,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
2005-02-13,WILLIAMS,premium_98,114.8,114.8,114.8,114.8,1
