date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2013-01-01,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-02,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-03,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-04,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-05,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-06,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-07,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-08,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-09,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-10,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-11,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-12,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-13,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-14,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-01-15,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-16,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-17,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-18,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-19,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-20,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-21,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-22,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-23,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-24,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-25,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-26,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-27,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-28,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-29,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-30,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-01-31,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-02-01,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-02-02,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-02-03,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-02-04,WILLYUNG,diesel,148.9,149.9,150.9,148.9,2
2013-02-05,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-02-06,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-02-07,WILLYUNG,diesel,149.9,150.9,151.9,149.9,2
2013-02-08,WILLYUNG,diesel,151.9,152.9,153.9,151.9,2
2013-02-09,WILLYUNG,diesel,151.9,152.9,153.9,151.9,2
2013-02-10,WILLYUNG,diesel,151.9,152.9,153.9,151.9,2
2013-02-11,WILLYUNG,diesel,151.9,152.9,153.9,151.9,2
2013-02-12,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-13,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-14,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-15,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-16,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-17,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-18,WILLYUNG,diesel,152.9,153.9,154.9,152.9,2
2013-02-19,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-20,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-21,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-22,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-23,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-24,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-25,WILLYUNG,diesel,154.9,155.9,156.9,154.9,2
2013-02-26,WILLYUNG,diesel,155.9,156.9,157.9,155.9,2
2013-02-27,WILLYUNG,diesel,155.9,156.9,157.9,155.9,2
2013-02-28,WILLYUNG,diesel,155.9,156.9,157.9,155.9,2
2014-01-01,WILLYUNG,diesel,163.9,164.9,165.9,163.9,2
2014-01-02,WILLYUNG,diesel,163.9,164.9,165.9,163.9,2
2014-01-03,WILLYUNG,diesel,163.9,164.9,165.9,163.9,2
