date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2025-01-01,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-02,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-03,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-04,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-05,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-06,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-07,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-08,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-09,WITHERS,premium_98,196.9,196.9,196.9,196.9,1
2025-01-10,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-11,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-12,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-13,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-14,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-15,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-16,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-17,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-18,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-19,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2025-01-20,WITHERS,premium_98,200.9,200.9,200.9,200.9,1
2025-01-21,WITHERS,premium_98,200.9,200.9,200.9,200.9,1
2025-01-22,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-23,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-24,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-25,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-26,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-27,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-28,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-29,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-30,WITHERS,premium_98,203.9,203.9,203.9,203.9,1
2025-01-31,WITHERS,premium_98,202.9,202.9,202.9,202.9,1
2026-01-01,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-02,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-03,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-04,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-05,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-06,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-07,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-08,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-09,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-10,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-11,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-12,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-13,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-14,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-15,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-16,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-17,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-18,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-19,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-20,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-21,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-22,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-23,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-24,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-25,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-26,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-27,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-28,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-29,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-30,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
2026-01-31,WITHERS,premium_98,198.9,198.9,198.9,198.9,1
