date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2025-01-01,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-02,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-03,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-04,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-05,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-06,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-07,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-08,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-09,WITHERS,ulp_91,173.9,173.9,173.9,173.9,1
2025-01-10,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-11,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-12,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-13,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-14,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-15,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-16,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-17,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-18,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-19,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2025-01-20,WITHERS,ulp_91,177.9,177.9,177.9,177.9,1
2025-01-21,WITHERS,ulp_91,177.9,177.9,177.9,177.9,1
2025-01-22,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-23,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-24,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-25,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-26,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-27,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-28,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-29,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-30,WITHERS,ulp_91,180.9,180.9,180.9,180.9,1
2025-01-31,WITHERS,ulp_91,179.9,179.9,179.9,179.9,1
2026-01-01,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-02,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-03,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-04,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-05,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-06,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-07,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-08,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-09,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-10,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-11,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-12,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-13,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-14,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-15,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-16,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-17,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-18,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-19,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-20,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-21,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-22,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-23,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-24,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-25,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-26,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-27,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-28,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-29,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-30,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-31,WITHERS,ulp_91,175.9,175.9,175.9,175.9,1
