date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-02,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-03,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-04,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-05,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-06,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-07,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-08,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-09,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-10,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-11,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-12,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-13,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-14,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-15,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-16,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-17,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-18,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-19,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-20,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-21,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-22,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-23,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-24,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-25,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-26,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-27,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-28,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-29,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-30,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-01-31,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-01,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-02,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-03,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-04,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-05,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-06,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-07,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-08,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-09,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-10,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-11,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-12,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-13,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-14,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-15,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-16,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-17,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-18,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-19,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-20,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-21,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-22,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-23,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-24,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-25,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-26,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-27,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2002-02-28,WONTHELLA,lpg,62.7,62.7,62.7,62.7,1
2003-01-01,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-02,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-03,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-04,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-05,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-06,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-07,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-08,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-09,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
2003-01-10,WONTHELLA,lpg,64.4,64.4,64.4,64.4,1
