date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2026-01-01,WOOROLOO,premium_98,220.9,220.9,220.9,220.9,1
2026-01-02,WOOROLOO,premium_98,202.9,202.9,202.9,202.9,1
2026-01-03,WOOROLOO,premium_98,198.9,198.9,198.9,198.9,1
2026-01-04,WOOROLOO,premium_98,192.9,192.9,192.9,192.9,1
2026-01-05,WOOROLOO,premium_98,190.9,190.9,190.9,190.9,1
2026-01-06,WOOROLOO,premium_98,188.9,188.9,188.9,188.9,1
2026-01-07,WOOROLOO,premium_98,230.9,230.9,230.9,230.9,1
2026-01-08,WOOROLOO,premium_98,216.9,216.9,216.9,216.9,1
2026-01-09,WOOROLOO,premium_98,200.9,200.9,200.9,200.9,1
2026-01-10,WOOROLOO,premium_98,196.9,196.9,196.9,196.9,1
2026-01-11,WOOROLOO,premium_98,192.9,192.9,192.9,192.9,1
2026-01-12,WOOROLOO,premium_98,190.9,190.9,190.9,190.9,1
2026-01-13,WOOROLOO,premium_98,186.9,186.9,186.9,186.9,1
2026-01-14,WOOROLOO,premium_98,230.9,230.9,230.9,230.9,1
2026-01-15,WOOROLOO,premium_98,210.9,210.9,210.9,210.9,1
2026-01-16,WOOROLOO,premium_98,198.9,198.9,198.9,198.9,1
2026-01-17,WOOROLOO,premium_98,196.9,196.9,196.9,196.9,1
2026-01-18,WOOROLOO,premium_98,192.9,192.9,192.9,192.9,1
2026-01-19,WOOROLOO,premium_98,190.9,190.9,190.9,190.9,1
2026-01-20,WOOROLOO,premium_98,186.9,186.9,186.9,186.9,1
2026-01-21,WOOROLOO,premium_98,226.9,226.9,226.9,226.9,1
2026-01-22,WOOROLOO,premium_98,206.9,206.9,206.9,206.9,1
2026-01-23,WOOROLOO,premium_98,198.9,198.9,198.9,198.9,1
2026-01-24,WOOROLOO,premium_98,196.9,196.9,196.9,196.9,1
2026-01-25,WOOROLOO,premium_98,192.9,192.9,192.9,192.9,1
2026-01-26,WOOROLOO,premium_98,188.9,188.9,188.9,188.9,1
2026-01-27,WOOROLOO,premium_98,186.9,186.9,186.9,186.9,1
2026-01-28,WOOROLOO,premium_98,226.9,226.9,226.9,226.9,1
2026-01-29,WOOROLOO,premium_98,206.9,206.9,206.9,206.9,1
2026-01-30,WOOROLOO,premium_98,196.9,196.9,196.9,196.9,1
2026-01-31,WOOROLOO,premium_98,192.9,192.9,192.9,192.9,1
