date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2026-01-01,WOOROLOO,ulp_91,193.9,193.9,193.9,193.9,1
2026-01-02,WOOROLOO,ulp_91,175.9,175.9,175.9,175.9,1
2026-01-03,WOOROLOO,ulp_91,171.9,171.9,171.9,171.9,1
2026-01-04,WOOROLOO,ulp_91,165.9,165.9,165.9,165.9,1
2026-01-05,WOOROLOO,ulp_91,163.9,163.9,163.9,163.9,1
2026-01-06,WOOROLOO,ulp_91,161.9,161.9,161.9,161.9,1
2026-01-07,WOOROLOO,ulp_91,203.9,203.9,203.9,203.9,1
2026-01-08,WOOROLOO,ulp_91,189.9,189.9,189.9,189.9,1
2026-01-09,WOOROLOO,ulp_91,173.9,173.9,173.9,173.9,1
2026-01-10,WOOROLOO,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-11,WOOROLOO,ulp_91,165.9,165.9,165.9,165.9,1
2026-01-12,WOOROLOO,ulp_91,163.9,163.9,163.9,163.9,1
2026-01-13,WOOROLOO,ulp_91,159.9,159.9,159.9,159.9,1
2026-01-14,WOOROLOO,ulp_91,203.9,203.9,203.9,203.9,1
2026-01-15,WOOROLOO,ulp_91,183.9,183.9,183.9,183.9,1
2026-01-16,WOOROLOO,ulp_91,171.9,171.9,171.9,171.9,1
2026-01-17,WOOROLOO,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-18,WOOROLOO,ulp_91,165.9,165.9,165.9,165.9,1
2026-01-19,WOOROLOO,ulp_91,163.9,163.9,163.9,163.9,1
2026-01-20,WOOROLOO,ulp_91,159.9,159.9,159.9,159.9,1
2026-01-21,WOOROLOO,ulp_91,199.9,199.9,199.9,199.9,1
2026-01-22,WOOROLOO,ulp_91,179.9,179.9,179.9,179.9,1
2026-01-23,WOOROLOO,ulp_91,171.9,171.9,171.9,171.9,1
2026-01-24,WOOROLOO,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-25,WOOROLOO,ulp_91,165.9,165.9,165.9,165.9,1
2026-01-26,WOOROLOO,ulp_91,161.9,161.9,161.9,161.9,1
2026-01-27,WOOROLOO,ulp_91,159.9,159.9,159.9,159.9,1
2026-01-28,WOOROLOO,ulp_91,199.9,199.9,199.9,199.9,1
2026-01-29,WOOROLOO,ulp_91,179.9,179.9,179.9,179.9,1
2026-01-30,WOOROLOO,ulp_91,169.9,169.9,169.9,169.9,1
2026-01-31,WOOROLOO,ulp_91,165.9,165.9,165.9,165.9,1
