date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2005-01-01,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-02,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-03,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-04,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-05,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-06,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-07,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-08,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-09,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-10,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-11,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-12,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-13,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-14,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-15,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-16,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-17,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-18,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-19,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-20,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-21,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-22,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-23,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-24,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-25,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-26,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-27,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-28,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-29,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-30,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-01-31,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-01,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-02,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-03,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-04,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-05,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-06,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-07,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-08,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-09,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-10,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-11,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-12,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-13,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-14,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-15,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-16,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-17,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-18,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-19,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-20,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-21,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-22,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-23,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-24,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-25,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-26,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-27,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2005-02-28,WOORREE,premium_95,120.0,120.0,120.0,120.0,1
2006-01-01,WOORREE,premium_95,139.0,139.0,139.0,139.0,1
