date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-02,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-03,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-04,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-05,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-06,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-07,WUBIN,lpg,61.6,61.6,61.6,61.6,1
2004-01-08,WUBIN,lpg,61.6,61.6,61.6,61.6,1
2004-01-09,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-10,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-11,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-12,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-13,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-14,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-15,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-16,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-17,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-18,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-19,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-20,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-21,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-22,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-23,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-24,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-25,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-26,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-27,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-28,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-29,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-30,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-01-31,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-01,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-02,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-03,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-04,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-05,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-06,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-07,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-08,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-09,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-10,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-11,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-12,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-13,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-14,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-15,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-16,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-17,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-18,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-19,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-20,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-21,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-22,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-23,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-24,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-25,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-26,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-27,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-28,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2004-02-29,WUBIN,lpg,60.6,60.6,60.6,60.6,1
2005-01-01,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-02,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-03,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-04,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-05,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-06,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-07,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-08,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-09,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-10,WUBIN,lpg,64.7,64.7,64.7,64.7,1
2005-01-11,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-12,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-13,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-14,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-15,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-16,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-17,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-18,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-19,WUBIN,lpg,61.2,61.2,61.2,61.2,1
2005-01-20,WUBIN,lpg,61.2,61.2,61.2,61.2,1
